file,tau,redrafts,advances,rejects,call_ratio
2room_pairbat_2300025_10.log,0.2,378,0,314,1.000
2room_pairbat_2300025_11.log,0.2,379,0,315,1.000
2room_pairbat_2300025_8.log,0.2,124,0,60,1.000
2room_pairbat_2300025_9.log,0.2,123,0,59,1.000
2room_pairbat_2300235_10.log,0.2,299,23,234,0.929
2room_pairbat_2300235_11.log,0.2,320,32,256,0.909
2room_pairbat_2300235_8.log,0.2,98,8,34,0.925
2room_pairbat_2300235_9.log,0.2,106,4,42,0.964
2room_pair_specLeWM_t020_t25_seed42.log,0.2,98,8,34,0.925
2room_pair_specLeWM_t020_t25_seed43.log,0.2,106,4,42,0.964
2room_pair_specLeWM_t020_t75_seed42.log,0.2,299,23,234,0.929
2room_pair_specLeWM_t020_t75_seed43.log,0.2,320,32,256,0.909
2room_rh1_specLeWM_t020_t25_seed42.log,0.2,443,0,379,1.000
2room_rh1_specLeWM_t020_t25_seed43.log,0.2,508,0,444,1.000
2room_rh1_specLeWM_t020_t75_seed42.log,0.2,1707,5,1643,0.997
2room_rh1_specLeWM_t020_t75_seed43.log,0.2,1800,4,1736,0.998
2room_rh2_specLeWM_t020_t25_seed42.log,0.2,234,0,170,1.000
2room_rh2_specLeWM_t020_t25_seed43.log,0.2,269,0,205,1.000
2room_rh2_specLeWM_t020_t75_seed42.log,0.2,816,2,752,0.998
2room_rh2_specLeWM_t020_t75_seed43.log,0.2,864,1,800,0.999
2room_rhmatch_2300331_14.log,0.2,443,0,379,1.000
2room_rhmatch_2300331_15.log,0.2,508,0,444,1.000
2room_rhmatch_2300331_20.log,0.2,234,0,170,1.000
2room_rhmatch_2300331_21.log,0.2,269,0,205,1.000
2room_rhmatch_2300331_2.log,0.2,1707,5,1643,0.997
2room_rhmatch_2300331_3.log,0.2,1800,4,1736,0.998
2room_rhmatch_2300331_8.log,0.2,816,2,752,0.998
2room_rhmatch_2300331_9.log,0.2,864,1,800,0.999
cube_arm_s10spec_seed42.log,0.2,2157,759,1928,0.740
cube_arm_s10spec_seed43.log,0.2,2294,853,2045,0.729
cube_arm_s10spec_seed44.log,0.2,2084,757,1849,0.734
cube_arm_s10spec_seed45.log,0.2,2115,730,1894,0.743
cube_armsjob_2272378_4.log,0.2,2157,759,1928,0.740
cube_armsjob_2272378_5.log,0.2,2294,853,2045,0.729
cube_armsjob_2272378_6.log,0.2,2084,757,1849,0.734
cube_armsjob_2272378_7.log,0.2,2115,730,1894,0.743
cube_batt2job_2272298_20.log,0.2,463,158,319,0.746
cube_batt2job_2272298_21.log,0.2,468,163,317,0.742
cube_batt2job_2272298_22.log,0.2,950,273,786,0.777
cube_batt2job_2272298_23.log,0.2,1007,250,847,0.801
cube_batt2job_2272298_24.log,0.2,1397,460,1201,0.752
cube_batt2job_2272298_25.log,0.2,1474,408,1288,0.783
cube_batt2job_2272298_26.log,0.2,1897,637,1688,0.749
cube_batt2job_2272298_27.log,0.2,1899,626,1691,0.752
cube_batt2job_2272298_28.log,0.2,2739,913,2489,0.750
cube_batt2job_2272298_29.log,0.2,2865,885,2624,0.764
cube_batteryjob_2272069_20.log,0.4,128,0,0,1.000
cube_batteryjob_2272069_21.log,0.4,128,0,0,1.000
cube_batteryjob_2272069_22.log,0.4,192,47,56,0.803
cube_batteryjob_2272069_23.log,0.4,205,55,65,0.788
cube_batteryjob_2272069_24.log,0.4,377,220,190,0.631
cube_batteryjob_2272069_25.log,0.4,380,240,198,0.613
cube_batteryjob_2272069_26.log,0.4,128,0,0,1.000
cube_batteryjob_2272069_27.log,0.4,128,0,0,1.000
cube_batteryjob_2272069_28.log,0.4,1636,1471,1168,0.527
cube_batteryjob_2272069_29.log,0.4,1605,1363,1152,0.541
cube_finaljob_2272510_10.log,0.2,2179,740,1962,0.746
cube_finaljob_2272510_11.log,0.2,2235,700,2026,0.761
cube_finaljob_2272510_8.log,0.2,2178,707,1961,0.755
cube_finaljob_2272510_9.log,0.2,2186,764,1960,0.741
cubeF_s10spec_seed42.log,0.2,2178,707,1961,0.755
cubeF_s10spec_seed43.log,0.2,2186,764,1960,0.741
cubeF_s10spec_seed44.log,0.2,2179,740,1962,0.746
cubeF_s10spec_seed45.log,0.2,2235,700,2026,0.761
cubeG_2273854_0.log,0.2,720,139,310,0.838
cubeG_2273854_10.log,0.2,577,197,408,0.745
cubeG_2273854_11.log,0.2,575,201,417,0.741
cubeG_2273854_12.log,0.2,873,185,556,0.825
cubeG_2273854_13.log,0.2,940,172,619,0.845
cubeG_2273854_14.log,0.2,948,182,579,0.839
cubeG_2273854_15.log,0.2,843,128,562,0.868
cubeG_2273854_16.log,0.2,956,241,823,0.799
cubeG_2273854_17.log,0.2,1076,271,924,0.799
cubeG_2273854_18.log,0.2,1054,248,905,0.810
cubeG_2273854_19.log,0.2,998,353,841,0.739
cubeG_2273854_1.log,0.2,694,120,273,0.853
cubeG_2273854_2.log,0.2,812,146,306,0.848
cubeG_2273854_3.log,0.2,881,138,354,0.865
cubeG_2273854_4.log,0.2,1034,25,906,0.976
cubeG_2273854_5.log,0.2,1086,28,957,0.975
cubeG_2273854_6.log,0.2,1091,24,963,0.978
cubeG_2273854_7.log,0.2,938,23,806,0.976
cubeG_2273854_8.log,0.2,577,212,425,0.731
cubeG_2273854_9.log,0.2,615,216,469,0.740
cubeG_gc15_gate_seed42.log,0.2,577,212,425,0.731
cubeG_gc15_gate_seed43.log,0.2,615,216,469,0.740
cubeG_gc15_gate_seed44.log,0.2,577,197,408,0.745
cubeG_gc15_gate_seed45.log,0.2,575,201,417,0.741
cubeG_gc15_nogate_seed42.log,0.2,1034,25,906,0.976
cubeG_gc15_nogate_seed43.log,0.2,1086,28,957,0.975
cubeG_gc15_nogate_seed44.log,0.2,1091,24,963,0.978
cubeG_gc15_nogate_seed45.log,0.2,938,23,806,0.976
cubeG_gc25_gate_seed42.log,0.2,956,241,823,0.799
cubeG_gc25_gate_seed43.log,0.2,1076,271,924,0.799
cubeG_gc25_gate_seed44.log,0.2,1054,248,905,0.810
cubeG_gc25_gate_seed45.log,0.2,998,353,841,0.739
cubeG_gc5_gate_seed42.log,0.2,873,185,556,0.825
cubeG_gc5_gate_seed43.log,0.2,940,172,619,0.845
cubeG_gc5_gate_seed44.log,0.2,948,182,579,0.839
cubeG_gc5_gate_seed45.log,0.2,843,128,562,0.868
cubeG_gff10_gate_seed42.log,0.2,720,139,310,0.838
cubeG_gff10_gate_seed43.log,0.2,694,120,273,0.853
cubeG_gff10_gate_seed44.log,0.2,812,146,306,0.848
cubeG_gff10_gate_seed45.log,0.2,881,138,354,0.865
cubeK3C_2276035_0.log,0.2,862,145,684,0.856
cubeK3C_2276035_1.log,0.2,1002,165,831,0.859
cubeK3C_2276035_2.log,0.2,960,126,753,0.884
cubeK3C_2276035_3.log,0.2,820,82,623,0.909
cubeK3C_2276035_4.log,0.2,686,88,533,0.886
cubeK3C_2276035_5.log,0.2,825,91,655,0.901
cubeK3C_2276035_6.log,0.2,739,104,558,0.877
cubeK3C_2276035_7.log,0.2,839,103,641,0.891
cubeK3C_speck3_seed50.log,0.2,862,145,684,0.856
cubeK3C_speck3_seed51.log,0.2,1002,165,831,0.859
cubeK3C_speck3_seed52.log,0.2,960,126,753,0.884
cubeK3C_speck3_seed53.log,0.2,820,82,623,0.909
cubeK3C_speck3_seed54.log,0.2,686,88,533,0.886
cubeK3C_speck3_seed55.log,0.2,825,91,655,0.901
