rel,accepted,state_dist
0.249623,0,0.107782
0.347603,0,0.154386
0.189973,1,0.089923
0.373664,0,0.047087
0.191919,1,0.074137
0.114630,1,0.027120
0.119713,1,0.067645
0.297457,0,0.170862
0.133241,1,0.045950
0.236813,0,0.053330
0.138269,1,0.062182
0.050876,1,0.014698
0.431453,0,0.090102
0.072730,1,0.020213
0.126858,1,0.055357
0.401932,0,0.146208
0.163635,1,0.113869
0.230489,0,0.069036
0.189929,1,0.060556
0.134577,1,0.026367
0.324687,0,0.090595
0.363939,0,0.109795
0.343131,0,0.128114
0.186094,1,0.020008
0.223189,0,0.104418
0.304940,0,0.111839
0.191154,1,0.091589
0.104572,1,0.041658
0.453021,0,0.233062
0.132745,1,0.133838
0.411816,0,0.119713
0.179268,1,0.034978
0.262575,0,0.104636
0.382989,0,0.142308
0.169246,1,0.094808
0.426325,0,0.179775
0.369864,0,0.103438
0.062092,1,0.012732
0.536092,0,0.237758
0.075116,1,0.049361
0.316741,0,0.143638
0.017210,1,0.021333
1.015838,0,2.328257
0.156715,1,0.115885
0.267484,0,0.077208
0.539607,0,0.124429
0.609842,0,0.223051
0.478310,0,0.140519
0.197709,1,0.097466
0.463212,0,0.215661
0.184539,1,0.124002
0.236352,0,0.082974
1.382995,0,2.006936
0.172608,1,0.049357
0.118028,1,0.052890
0.260045,0,0.101174
0.177780,1,0.085483
0.027881,1,0.003089
0.220673,0,0.055247
0.082813,1,0.002499
0.799425,0,0.239965
0.171933,1,0.046906
0.221212,0,0.073473
0.093412,1,0.026928
0.676429,0,0.317178
0.040452,1,0.014177
0.271171,0,0.141973
0.481650,0,0.200248
0.078897,1,0.015669
0.949375,0,0.355800
0.264450,0,0.065678
0.126000,1,0.038250
0.056299,1,0.035069
0.074049,1,0.047718
0.055267,1,0.034602
0.074831,1,0.037748
0.465858,0,0.195294
0.034793,1,0.019896
1.436998,0,1.279345
0.346344,0,0.122484
0.734478,0,0.373880
0.272965,0,0.076329
0.265171,0,0.122513
0.272314,0,0.084850
0.339012,0,0.179478
0.040802,1,0.027938
0.415931,0,0.091345
0.025246,1,0.009393
0.205908,0,0.032111
1.347593,0,2.654467
1.244217,0,2.911783
0.252672,0,0.080081
0.491471,0,0.206751
0.084686,1,0.020321
0.519216,0,0.151354
0.454920,0,0.156809
0.119023,1,0.036174
0.726590,0,0.197273
0.239424,0,0.106242
0.327732,0,0.158686
0.228697,0,0.097003
0.557327,0,0.249151
0.080713,1,0.052339
1.349965,0,1.795101
0.037851,1,0.016185
0.149653,1,0.026961
0.183076,1,0.113042
0.903934,0,1.493686
0.165987,1,0.107234
0.376565,0,0.152677
0.772539,0,0.361597
0.331237,0,0.065699
0.329811,0,0.301387
0.258766,0,0.105155
0.053654,1,0.038388
0.186583,1,0.147572
0.196337,1,0.141044
0.226746,0,0.102678
0.570811,0,0.264667
0.858474,0,0.347673
0.150010,1,0.037306
1.344035,0,1.980635
0.650303,0,0.230621
0.018139,1,0.005579
0.586935,0,0.176061
0.223484,0,0.112961
0.186216,1,0.118652
0.026255,1,0.007187
0.067448,1,0.013585
0.606546,0,0.259571
0.175097,1,0.048430
0.246521,0,0.111249
0.161489,1,0.006774
0.227823,0,0.165194
0.181352,1,0.100000
0.188440,1,0.101403
0.213855,0,0.078271
0.179979,1,0.073774
0.525008,0,0.255528
0.277811,0,0.108373
0.561950,0,0.205012
0.390094,0,0.082758
0.389834,0,0.150460
0.095050,1,0.068581
0.802828,0,0.346448
0.373281,0,0.096437
0.429277,0,0.096048
0.146095,1,0.065897
1.424881,0,2.423689
0.994990,0,0.423026
0.285614,0,0.083247
0.211357,0,0.051894
0.517242,0,0.181001
0.149937,1,0.020119
0.226752,0,0.056088
0.180651,1,0.097040
0.454697,0,0.200928
0.026213,1,0.021137
0.061591,1,0.022548
0.676293,0,0.233939
0.044863,1,0.043157
1.149172,0,1.444884
0.351911,0,0.171596
0.835144,0,0.363726
0.178470,1,0.091424
0.224333,0,0.014226
0.105222,1,0.010853
0.064959,1,0.009018
0.231927,0,0.103345
0.203508,0,0.155041
0.143962,1,0.047544
1.414832,0,2.334876
0.071889,1,0.015170
0.387319,0,0.235887
0.383520,0,0.181521
0.244394,0,0.083301
0.304704,0,0.080317
0.195790,1,0.082334
0.458426,0,0.123774
0.171220,1,0.034445
0.028037,1,0.011184
0.060748,1,0.007410
0.118914,1,0.068715
0.581063,0,0.200771
0.126910,1,0.058040
0.260825,0,0.066244
0.673963,0,0.310207
0.115796,1,0.027467
0.279749,0,0.084101
0.331447,0,0.137707
0.310865,0,0.079148
0.113460,1,0.039150
0.215898,0,0.194594
0.519702,0,0.214362
0.229134,0,0.153312
1.425967,0,2.001001
0.117887,1,0.064023
0.156578,1,0.113093
0.338518,0,0.057012
0.395120,0,0.169507
0.084897,1,0.040944
0.249086,0,0.205678
0.578106,0,0.185918
0.468373,0,0.302234
0.289722,0,0.144755
0.654499,0,0.297638
0.022756,1,0.010132
0.044834,1,0.028054
0.895201,0,0.440665
0.343331,0,0.145499
0.254108,0,0.094529
0.168623,1,0.043231
0.317274,0,0.190772
0.346847,0,0.115977
0.035866,1,0.015643
1.367889,0,2.365289
0.473428,0,0.292618
0.177558,1,0.074244
0.128352,1,0.076794
0.045251,1,0.016240
0.383704,0,0.166952
1.338375,0,2.352726
0.281128,0,0.127025
0.462890,0,0.192832
0.131755,1,0.082165
0.082205,1,0.037996
0.032640,1,0.015993
0.163749,1,0.044987
0.056103,1,0.031947
0.165665,1,0.067349
0.529456,0,0.275719
0.575478,0,0.253701
0.527133,0,0.226959
0.266338,0,0.212071
0.054114,1,0.029225
0.249428,0,0.070548
0.170732,1,0.098002
0.173354,1,0.100567
0.249892,0,0.193796
0.065303,1,0.024283
0.093672,1,0.034801
0.340787,0,0.176091
0.199589,1,0.031424
0.503399,0,0.157777
0.134004,1,0.058020
0.172934,1,0.057874
0.275769,0,0.061250
0.209033,0,0.065192
0.025213,1,0.009011
0.167942,1,0.084738
0.193372,1,0.091650
0.389998,0,0.134380
0.118223,1,0.076547
0.293568,0,0.207949
0.058939,1,0.020045
0.284071,0,0.071783
0.365860,0,0.106301
0.086105,1,0.028118
0.320355,0,0.193157
0.095762,1,0.037438
0.193415,1,0.052123
0.182715,1,0.107864
0.493769,0,0.214685
0.591947,0,0.160526
0.105734,1,0.022063
0.100268,1,0.067266
0.794134,0,0.309772
0.252378,0,0.069963
0.078235,1,0.025265
0.034254,1,0.012008
0.085097,1,0.009638
0.994583,0,3.132583
0.125759,1,0.053624
0.134949,1,0.052334
0.285778,0,0.094474
0.253254,0,0.078446
0.397137,0,0.145746
0.160770,1,0.084881
0.075747,1,0.026937
0.647058,0,0.257396
1.384406,0,1.939538
0.544725,0,0.192550
0.137833,1,0.056186
0.492380,0,0.141953
0.389529,0,0.168577
0.183637,1,0.027783
0.098032,1,0.033893
0.428548,0,0.293746
0.106936,1,0.067590
0.117194,1,0.035381
0.624636,0,0.271468
0.075602,1,0.032743
0.305442,0,0.101157
0.194616,1,0.137149
0.187678,1,0.121347
0.103567,1,0.050973
0.069710,1,0.029721
0.164283,1,0.014639
0.219939,0,0.111618
0.307603,0,0.083616
0.269906,0,0.155545
0.260623,0,0.139915
0.872541,0,0.388340
0.090325,1,0.038026
0.028539,1,0.023148
0.153794,1,0.053890
0.353348,0,0.118508
0.049372,1,0.017048
0.159432,1,0.034282
0.159998,1,0.099241
1.377364,0,1.072027
1.040647,0,1.481017
0.115842,1,0.057112
0.144168,1,0.082220
0.058438,1,0.010969
0.214561,0,0.140202
0.091046,1,0.043854
0.461604,0,0.190457
0.291869,0,0.065617
0.054675,1,0.025535
0.180624,1,0.109152
0.431959,0,0.072088
0.125500,1,0.043551
0.069036,1,0.025997
0.047837,1,0.012549
0.102373,1,0.027631
0.555374,0,0.348695
0.240545,0,0.140147
0.111380,1,0.077821
0.086475,1,0.023245
0.170795,1,0.044641
0.213980,0,0.125348
