rel,accepted,ee_dist
0.145999,1,0.098479
0.048920,1,0.000007
0.105426,1,0.094135
0.041342,1,0.002653
0.120274,1,0.030296
0.199091,1,0.116374
0.124303,1,0.043193
0.161680,1,0.081239
0.148784,1,0.126016
0.136645,1,0.107123
0.128737,1,0.088670
0.157626,1,0.172558
0.122109,1,0.138795
0.161259,1,0.142148
0.143773,1,0.138323
0.167804,1,0.158051
0.165422,1,0.100849
0.084548,1,0.034045
0.213854,0,0.066454
0.166388,1,0.197573
0.087810,1,0.016591
0.115846,1,0.038650
0.117043,1,0.016040
0.146206,1,0.105949
0.093962,1,0.014643
0.145702,1,0.124496
0.212251,0,0.135539
0.146279,1,0.024059
0.117984,1,0.020378
0.089751,1,0.027078
0.215848,0,0.191026
0.191795,1,0.066442
0.133854,1,0.080193
0.146096,1,0.025260
0.153887,1,0.073942
0.109807,1,0.061115
0.189092,1,0.176735
0.133435,1,0.075047
0.123538,1,0.087712
0.122169,1,0.093748
0.158457,1,0.070668
0.205301,0,0.232400
0.184575,1,0.071477
0.217545,0,0.156566
0.174131,1,0.098212
0.085678,1,0.022674
0.093985,1,0.055389
0.138751,1,0.082329
0.098859,1,0.041912
0.078068,1,0.016895
0.126920,1,0.058650
0.146689,1,0.186564
0.179663,1,0.494429
0.177312,1,0.431624
0.098108,1,0.206290
0.124412,1,0.169296
0.201485,0,0.500236
0.101834,1,0.136830
0.137679,1,0.133016
0.114625,1,0.127896
0.113701,1,0.134748
0.196364,1,0.491261
0.072285,1,0.032875
0.171126,1,0.236552
0.182422,1,0.509304
0.195803,1,0.491185
0.088453,1,0.185299
0.093183,1,0.127820
0.112004,1,0.197391
0.205062,0,0.500213
0.093730,1,0.236039
0.119285,1,0.172090
0.104479,1,0.044738
0.204561,0,0.488189
0.140818,1,0.080532
0.089918,1,0.034521
0.084272,1,0.238748
0.109349,1,0.197751
0.118647,1,0.130143
0.189384,1,0.358505
0.118715,1,0.089762
0.100608,1,0.161886
0.145854,1,0.169044
0.100824,1,0.137968
0.155970,1,0.131645
0.127206,1,0.190878
0.091892,1,0.225445
0.204561,0,0.488189
0.098211,1,0.217437
0.144202,1,0.294396
0.091236,1,0.190084
0.166021,1,0.102378
0.147438,1,0.268316
0.140591,1,0.229903
0.088453,1,0.185299
0.155024,1,0.197466
0.108098,1,0.166597
0.108272,1,0.169176
0.190156,1,0.529846
0.184674,1,0.384882
0.092486,1,0.163386
0.067172,1,0.083637
0.112435,1,0.328151
0.076322,1,0.486678
0.082474,1,0.057551
0.065196,1,0.050243
0.076741,1,0.159753
0.058151,1,0.040315
0.144921,1,0.358627
0.144467,1,0.326544
0.100616,1,0.518809
0.081525,1,0.333344
0.092636,1,0.121503
0.089044,1,0.205241
0.068407,1,0.282341
0.082971,1,0.180535
0.099202,1,0.214055
0.088393,1,0.206686
0.113526,1,0.110789
0.073249,1,0.027085
0.107225,1,0.038353
0.080802,1,0.140087
0.106201,1,0.283436
0.064825,1,0.040787
0.072982,1,0.018506
0.082231,1,0.127274
0.098506,1,0.283256
0.093710,1,0.226922
0.097245,1,0.071328
0.097923,1,0.052446
0.073016,1,0.086990
0.153549,1,0.289200
0.099221,1,0.222492
0.135853,1,0.127082
0.079229,1,0.140969
0.065242,1,0.050601
0.077142,1,0.219747
0.105744,1,0.209888
0.067406,1,0.289099
0.070913,1,0.223369
0.088557,1,0.485866
0.109007,1,0.202284
0.086788,1,0.192530
0.101267,1,0.268223
0.094731,1,0.297367
0.113724,1,0.192057
0.057644,1,0.072707
0.082706,1,0.177480
0.099034,1,0.238787
0.088813,1,0.254897
0.093977,1,0.203024
0.117246,1,0.278088
0.103001,1,0.343993
0.069011,1,0.056461
0.090074,1,0.195747
0.113387,1,0.301188
0.074841,1,0.144421
0.146649,1,0.448697
0.092666,1,0.223052
0.108236,1,0.306120
0.111650,1,0.227779
0.113624,1,0.288299
0.107811,1,0.277516
0.094684,1,0.168922
0.103660,1,0.165780
0.079601,1,0.133488
0.069283,1,0.051103
0.109523,1,0.275659
0.070015,1,0.178984
0.116258,1,0.451034
0.069573,1,0.042176
0.101922,1,0.261085
0.095152,1,0.232100
0.084673,1,0.075030
0.113477,1,0.249159
0.065020,1,0.041350
0.102454,1,0.239352
0.103022,1,0.219861
0.114557,1,0.270077
0.093584,1,0.280236
0.108683,1,0.291697
0.123422,1,0.268921
0.110472,1,0.446116
0.066185,1,0.083139
0.100957,1,0.136030
0.113662,1,0.451033
0.115900,1,0.345121
0.085853,1,0.171743
0.080603,1,0.177253
0.057983,1,0.013458
0.066908,1,0.058877
0.099999,1,0.261727
0.095276,1,0.283308
0.129380,1,0.451573
0.103882,1,0.369759
0.109784,1,0.206458
0.090217,1,0.261971
0.113841,1,0.446116
0.081683,1,0.193324
0.126314,1,0.454854
0.201398,0,0.160512
0.081359,1,0.009599
0.327925,0,0.417960
0.231097,0,0.268802
0.175490,1,0.148897
0.259469,0,0.290020
0.156558,1,0.161128
0.189854,1,0.205217
0.172292,1,0.160605
0.118968,1,0.024257
0.261547,0,0.199076
0.214659,0,0.153564
0.314631,0,0.291629
0.149753,1,0.067127
0.160939,1,0.127751
0.233862,0,0.312354
0.262199,0,0.231548
0.120599,1,0.119192
0.095653,1,0.037330
0.184508,1,0.171382
0.238771,0,0.217475
0.130439,1,0.085024
0.272646,0,0.223023
0.117666,1,0.121237
0.149340,1,0.119741
0.298383,0,0.400880
0.233939,0,0.089820
0.301693,0,0.206520
0.323182,0,0.392035
0.292299,0,0.392370
0.302114,0,0.391733
0.135804,1,0.131149
0.250121,0,0.253493
0.079909,1,0.001081
0.321155,0,0.265918
0.267152,0,0.089612
0.164171,1,0.229467
0.284375,0,0.217534
0.255480,0,0.153142
0.120599,1,0.065613
0.205792,0,0.148114
0.155323,1,0.095540
0.129258,1,0.046116
0.199994,1,0.111816
0.154213,1,0.166455
0.244608,0,0.294152
0.259494,0,0.212903
0.154657,1,0.147989
0.188172,1,0.118908
0.173764,1,0.062834
0.081286,1,0.168874
0.087425,1,0.158306
0.074012,1,0.197488
