file,header,env,subgoal,mode,n,seed,S,eval_filter,offset,budget,epfile,sr20,sr5,srq,call_ratio,tau,k
klowjob_2271112_0.log,,reacher,gdm,,128,42,10,,100,200,reacher_klow.ep100.t0.json,,,95.31,,,
klowjob_2271112_1.log,,reacher,gdm,,128,43,10,,100,200,reacher_klow.ep100.t1.json,,,96.88,,,
klowjob_2271112_10.log,,reacher,specaccept,,128,44,10,,100,200,reacher_klow.ep100.t10.json,,,95.31,1.000,0.2,1
klowjob_2271112_11.log,,reacher,specaccept,,128,45,10,,100,200,reacher_klow.ep100.t11.json,,,94.53,1.000,0.2,1
klowjob_2271112_12.log,,reacher,specaccept,,128,42,10,,100,200,reacher_klow.ep100.t12.json,,,95.31,1.000,0.2,2
klowjob_2271112_13.log,,reacher,specaccept,,128,43,10,,100,200,reacher_klow.ep100.t13.json,,,97.66,1.000,0.2,2
klowjob_2271112_14.log,,reacher,specaccept,,128,44,10,,100,200,reacher_klow.ep100.t14.json,,,96.09,1.000,0.2,2
klowjob_2271112_15.log,,reacher,specaccept,,128,45,10,,100,200,reacher_klow.ep100.t15.json,,,94.53,1.000,0.2,2
klowjob_2271112_16.log,,pusht,gdm,long,256,42,,none,100,200,pusht.episodes150as100.json,56.25,43.36,,,,
klowjob_2271112_17.log,,pusht,gdm,long,256,43,,none,100,200,pusht.episodes150as100.json,54.69,45.70,,,,
klowjob_2271112_18.log,,pusht,gdm,long,256,44,,none,100,200,pusht.episodes150as100.json,54.30,41.02,,,,
klowjob_2271112_19.log,,pusht,gdm,long,256,45,,none,100,200,pusht.episodes150as100.json,58.20,40.62,,,,
klowjob_2271112_2.log,,reacher,gdm,,128,44,10,,100,200,reacher_klow.ep100.t2.json,,,95.31,,,
klowjob_2271112_20.log,,pusht,gdm,long,256,42,,none,100,200,pusht.episodes150as100.json,53.12,46.09,,,,
klowjob_2271112_21.log,,pusht,gdm,long,256,43,,none,100,200,pusht.episodes150as100.json,55.86,41.80,,,,
klowjob_2271112_22.log,,pusht,gdm,long,256,44,,none,100,200,pusht.episodes150as100.json,53.52,44.92,,,,
klowjob_2271112_23.log,,pusht,gdm,long,256,45,,none,100,200,pusht.episodes150as100.json,57.42,43.75,,,,
klowjob_2271112_24.log,,pusht,specaccept,long,256,42,,none,100,200,pusht.episodes150as100.json,55.86,44.92,,1.000,0.2,1
klowjob_2271112_25.log,,pusht,specaccept,long,256,43,,none,100,200,pusht.episodes150as100.json,53.52,41.80,,1.000,0.2,1
klowjob_2271112_26.log,,pusht,specaccept,long,256,44,,none,100,200,pusht.episodes150as100.json,53.12,41.80,,1.000,0.2,1
klowjob_2271112_27.log,,pusht,specaccept,long,256,45,,none,100,200,pusht.episodes150as100.json,56.25,44.53,,1.000,0.2,1
klowjob_2271112_28.log,,pusht,specaccept,long,256,42,,none,100,200,pusht.episodes150as100.json,51.56,45.31,,1.000,0.2,2
klowjob_2271112_29.log,,pusht,specaccept,long,256,43,,none,100,200,pusht.episodes150as100.json,55.86,43.75,,1.000,0.2,2
klowjob_2271112_3.log,,reacher,gdm,,128,45,10,,100,200,reacher_klow.ep100.t3.json,,,92.97,,,
klowjob_2271112_30.log,,pusht,specaccept,long,256,44,,none,100,200,pusht.episodes150as100.json,56.64,44.14,,1.000,0.2,2
klowjob_2271112_31.log,,pusht,specaccept,long,256,45,,none,100,200,pusht.episodes150as100.json,58.20,44.53,,1.000,0.2,2
klowjob_2271112_4.log,,reacher,gdm,,128,42,10,,100,200,reacher_klow.ep100.t4.json,,,95.31,,,
klowjob_2271112_5.log,,reacher,gdm,,128,43,10,,100,200,reacher_klow.ep100.t5.json,,,96.88,,,
klowjob_2271112_6.log,,reacher,gdm,,128,44,10,,100,200,reacher_klow.ep100.t6.json,,,95.31,,,
klowjob_2271112_7.log,,reacher,gdm,,128,45,10,,100,200,reacher_klow.ep100.t7.json,,,93.75,,,
klowjob_2271112_8.log,,reacher,specaccept,,128,42,10,,100,200,reacher_klow.ep100.t8.json,,,96.09,1.000,0.2,1
klowjob_2271112_9.log,,reacher,specaccept,,128,43,10,,100,200,reacher_klow.ep100.t9.json,,,97.66,1.000,0.2,1
pusht_auditjob_2270819_0.log,audit every-step k=8 (t150 test pop) seed=42,pusht,gdm,long,256,42,,none,150,300,pusht.episodes150.json,57.81,49.61,,,,
pusht_auditjob_2270819_1.log,audit every-step k=8 (t150 test pop) seed=43,pusht,gdm,long,256,43,,none,150,300,pusht.episodes150.json,58.59,48.05,,,,
pusht_auditjob_2270819_10.log,audit tau-selection on VAL: tau=0.30 seed=42,pusht,specaccept,long,256,42,,none,150,300,pusht.episodes150.val.json,63.28,56.64,,0.417,0.3,8
pusht_auditjob_2270819_11.log,audit tau-selection on VAL: tau=0.30 seed=43,pusht,specaccept,long,256,43,,none,150,300,pusht.episodes150.val.json,64.06,57.81,,0.418,0.3,8
pusht_auditjob_2270819_2.log,audit every-step k=8 (t150 test pop) seed=44,pusht,gdm,long,256,44,,none,150,300,pusht.episodes150.json,59.38,50.00,,,,
pusht_auditjob_2270819_3.log,audit every-step k=8 (t150 test pop) seed=45,pusht,gdm,long,256,45,,none,150,300,pusht.episodes150.json,59.38,47.66,,,,
pusht_auditjob_2270819_4.log,audit tau-selection on VAL: tau=0.15 seed=42,pusht,specaccept,long,256,42,,none,150,300,pusht.episodes150.val.json,63.67,55.08,,0.608,0.15,8
pusht_auditjob_2270819_5.log,audit tau-selection on VAL: tau=0.15 seed=43,pusht,specaccept,long,256,43,,none,150,300,pusht.episodes150.val.json,63.28,54.30,,0.617,0.15,8
pusht_auditjob_2270819_6.log,audit tau-selection on VAL: tau=0.20 seed=42,pusht,specaccept,long,256,42,,none,150,300,pusht.episodes150.val.json,63.67,56.64,,0.494,0.2,8
pusht_auditjob_2270819_7.log,audit tau-selection on VAL: tau=0.20 seed=43,pusht,specaccept,long,256,43,,none,150,300,pusht.episodes150.val.json,65.23,54.30,,0.508,0.2,8
pusht_auditjob_2270819_8.log,audit tau-selection on VAL: tau=0.25 seed=42,pusht,specaccept,long,256,42,,none,150,300,pusht.episodes150.val.json,63.67,55.47,,0.456,0.25,8
pusht_auditjob_2270819_9.log,audit tau-selection on VAL: tau=0.25 seed=43,pusht,specaccept,long,256,43,,none,150,300,pusht.episodes150.val.json,63.67,56.25,,0.452,0.25,8
pusht_gamma0.25_s10_seed42.log,,pusht,gdm,long,256,42,,none,150,300,pusht.episodes150.json,56.64,42.58,,,,
pusht_gamma0.25_s10_seed43.log,,pusht,gdm,long,256,43,,none,150,300,pusht.episodes150.json,57.42,44.53,,,,
pusht_gamma0.25_s25_seed42.log,,pusht,gdm,long,256,42,,none,150,300,pusht.episodes150.json,52.73,40.62,,,,
pusht_gamma0.25_s25_seed43.log,,pusht,gdm,long,256,43,,none,150,300,pusht.episodes150.json,54.69,38.28,,,,
pusht_gamma0.5_s10_seed42.log,,pusht,gdm,long,256,42,,none,150,300,pusht.episodes150.json,59.38,46.88,,,,
pusht_gamma0.5_s10_seed43.log,,pusht,gdm,long,256,43,,none,150,300,pusht.episodes150.json,57.03,44.14,,,,
pusht_gamma0.5_s25_seed42.log,,pusht,gdm,long,256,42,,none,150,300,pusht.episodes150.json,55.08,44.14,,,,
pusht_gamma0.5_s25_seed43.log,,pusht,gdm,long,256,43,,none,150,300,pusht.episodes150.json,55.08,39.06,,,,
