=== train gdm_stride5.pt (faithful recipe, subgoal-step 5) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride5.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 5, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=5 => subgoal horizon = 5 frames
[norm] native ||z|| mean=13.81 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.055, std mean=0.994)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 500] loss=0.19608 (run 0.78408, 58s, 117ms/it)
  [iter 1000] loss=0.12708 (run 0.46680, 89s, 89ms/it)
  [iter 1500] loss=0.13680 (run 0.35219, 120s, 80ms/it)
  [iter 2000] loss=0.10788 (run 0.29017, 151s, 75ms/it)
  [iter 2500] loss=0.09260 (run 0.24998, 181s, 73ms/it)
  [iter 3000] loss=0.07776 (run 0.22163, 212s, 71ms/it)
  [iter 3500] loss=0.05802 (run 0.20037, 243s, 69ms/it)
  [iter 4000] loss=0.07051 (run 0.18375, 273s, 68ms/it)
  [iter 4500] loss=0.03874 (run 0.17043, 303s, 67ms/it)
  [iter 5000] loss=0.05475 (run 0.15953, 334s, 67ms/it)
  [iter 5500] loss=0.05776 (run 0.15020, 364s, 66ms/it)
  [iter 6000] loss=0.04105 (run 0.14236, 394s, 66ms/it)
  [iter 6500] loss=0.05577 (run 0.13552, 425s, 65ms/it)
  [iter 7000] loss=0.04901 (run 0.12943, 455s, 65ms/it)
  [iter 7500] loss=0.06970 (run 0.12425, 485s, 65ms/it)
  [iter 8000] loss=0.05613 (run 0.11954, 516s, 64ms/it)
  [iter 8500] loss=0.06387 (run 0.11536, 546s, 64ms/it)
[epoch 01/20] loss=0.11462 iters=8597 (552s)
  [iter 9000] loss=0.03695 (run 0.04740, 576s, 64ms/it)
  [iter 9500] loss=0.02756 (run 0.04632, 607s, 64ms/it)
  [iter 10000] loss=0.04224 (run 0.04589, 637s, 64ms/it)
  [iter 10500] loss=0.04670 (run 0.04542, 667s, 64ms/it)
  [iter 11000] loss=0.03996 (run 0.04497, 698s, 63ms/it)
  [iter 11500] loss=0.03752 (run 0.04457, 728s, 63ms/it)
  [iter 12000] loss=0.04551 (run 0.04406, 758s, 63ms/it)
  [iter 12500] loss=0.04542 (run 0.04374, 789s, 63ms/it)
  [iter 13000] loss=0.05312 (run 0.04336, 819s, 63ms/it)
  [iter 13500] loss=0.06166 (run 0.04298, 849s, 63ms/it)
  [iter 14000] loss=0.03102 (run 0.04264, 880s, 63ms/it)
  [iter 14500] loss=0.03710 (run 0.04225, 910s, 63ms/it)
  [iter 15000] loss=0.03136 (run 0.04190, 941s, 63ms/it)
  [iter 15500] loss=0.05114 (run 0.04154, 971s, 63ms/it)
  [iter 16000] loss=0.03353 (run 0.04126, 1001s, 63ms/it)
  [iter 16500] loss=0.03161 (run 0.04098, 1031s, 63ms/it)
  [iter 17000] loss=0.04640 (run 0.04067, 1062s, 62ms/it)
[epoch 02/20] loss=0.04057 iters=17194 (1074s)
  [iter 17500] loss=0.03360 (run 0.03519, 1092s, 62ms/it)
  [iter 18000] loss=0.04863 (run 0.03536, 1122s, 62ms/it)
  [iter 18500] loss=0.03002 (run 0.03521, 1152s, 62ms/it)
  [iter 19000] loss=0.04090 (run 0.03475, 1183s, 62ms/it)
  [iter 19500] loss=0.02008 (run 0.03465, 1213s, 62ms/it)
