=== train gdm_stride25.pt (faithful recipe, subgoal-step 25 ) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride25.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 25, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=25 => subgoal horizon = 25 frames
[norm] native ||z|| mean=13.48 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.133, std mean=0.956)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 500] loss=0.20596 (run 0.78143, 57s, 115ms/it)
  [iter 1000] loss=0.15095 (run 0.47245, 87s, 87ms/it)
  [iter 1500] loss=0.14739 (run 0.36020, 116s, 78ms/it)
  [iter 2000] loss=0.11136 (run 0.29843, 146s, 73ms/it)
  [iter 2500] loss=0.09346 (run 0.25768, 176s, 70ms/it)
  [iter 3000] loss=0.09100 (run 0.22862, 205s, 68ms/it)
  [iter 3500] loss=0.06096 (run 0.20661, 235s, 67ms/it)
  [iter 4000] loss=0.06768 (run 0.18939, 265s, 66ms/it)
  [iter 4500] loss=0.03806 (run 0.17558, 295s, 66ms/it)
  [iter 5000] loss=0.05671 (run 0.16421, 324s, 65ms/it)
  [iter 5500] loss=0.05802 (run 0.15453, 354s, 64ms/it)
  [iter 6000] loss=0.04507 (run 0.14636, 384s, 64ms/it)
  [iter 6500] loss=0.05102 (run 0.13923, 414s, 64ms/it)
  [iter 7000] loss=0.04781 (run 0.13289, 444s, 63ms/it)
  [iter 7500] loss=0.06429 (run 0.12744, 474s, 63ms/it)
  [iter 8000] loss=0.05128 (run 0.12253, 504s, 63ms/it)
  [iter 8500] loss=0.06257 (run 0.11813, 533s, 63ms/it)
[epoch 01/20] loss=0.11734 iters=8597 (539s)
  [iter 9000] loss=0.03815 (run 0.04680, 563s, 63ms/it)
  [iter 9500] loss=0.02922 (run 0.04555, 592s, 62ms/it)
  [iter 10000] loss=0.04475 (run 0.04515, 622s, 62ms/it)
  [iter 10500] loss=0.04922 (run 0.04461, 653s, 62ms/it)
