[mask] train episodes: 8000/10000 (holdout = 2000)
=== train gdm_reacher_s10_goalfree.pt (faithful recipe, NO goal-cond, eps<8000) ===
[cfg] {'subgoals': 'subgoals_reacher_dense.pt', 'out': 'gdm_reacher_s10_goalfree.pt', 'device': 'cuda', 'seed': 42, 'mask': 'custom', 'custom_mask_file': 'reacher_train_mask.npy', 'window_rule': 'clamp', 'subgoal_step': 10, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=customdeg: 8000 episodes used; 1600000 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=10 => subgoal horizon = 10 frames
[norm] native ||z|| mean=13.79 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.035, std mean=0.993)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=250000 warmup=2500 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 500] loss=0.37228 (run 0.89246, 68s, 136ms/it)
  [iter 1000] loss=0.16738 (run 0.53883, 97s, 97ms/it)
  [iter 1500] loss=0.15047 (run 0.40594, 126s, 84ms/it)
  [iter 2000] loss=0.09091 (run 0.33328, 155s, 78ms/it)
  [iter 2500] loss=0.08038 (run 0.28542, 185s, 74ms/it)
  [iter 3000] loss=0.07643 (run 0.25098, 214s, 71ms/it)
  [iter 3500] loss=0.05716 (run 0.22496, 243s, 69ms/it)
  [iter 4000] loss=0.05734 (run 0.20458, 272s, 68ms/it)
