[mask] train episodes: 8000/10000 (holdout = 2000)
=== train gdm_reacher_s15.pt (faithful recipe, goal-cond sampled gap 1..100, eps<8000) ===
[cfg] {'subgoals': 'subgoals_reacher_dense.pt', 'out': 'gdm_reacher_s15.pt', 'device': 'cuda', 'seed': 42, 'mask': 'custom', 'custom_mask_file': 'reacher_train_mask.npy', 'window_rule': 'clamp', 'subgoal_step': 15, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': True, 'goal_rule': 'window', 'goal_gap': 1, 'goal_gap_max': 100, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=customdeg: 8000 episodes used; 1600000 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=15 => subgoal horizon = 15 frames  [GOAL-COND ablation, goal_rule=window gap=1]
[norm] native ||z|| mean=13.79 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.035, std mean=0.993)
[model] GDM (DiT) head params = 53.44M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=250000 warmup=2500 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 500] loss=0.38255 (run 0.89130, 101s, 201ms/it)
  [iter 1000] loss=0.15946 (run 0.53421, 129s, 129ms/it)
  [iter 1500] loss=0.14120 (run 0.39952, 158s, 106ms/it)
  [iter 2000] loss=0.08370 (run 0.32691, 188s, 94ms/it)
  [iter 2500] loss=0.07873 (run 0.27985, 218s, 87ms/it)
  [iter 3000] loss=0.07815 (run 0.24631, 246s, 82ms/it)
  [iter 3500] loss=0.05835 (run 0.22106, 275s, 78ms/it)
  [iter 4000] loss=0.05539 (run 0.20135, 303s, 76ms/it)
  [iter 4500] loss=0.04449 (run 0.18554, 333s, 74ms/it)
  [iter 5000] loss=0.03702 (run 0.17241, 362s, 72ms/it)
  [iter 5500] loss=0.05251 (run 0.16146, 391s, 71ms/it)
  [iter 6000] loss=0.04773 (run 0.15211, 420s, 70ms/it)
  [iter 6500] loss=0.04823 (run 0.14407, 450s, 69ms/it)
  [iter 7000] loss=0.05216 (run 0.13700, 480s, 69ms/it)
  [iter 7500] loss=0.05547 (run 0.13084, 510s, 68ms/it)
  [iter 8000] loss=0.03738 (run 0.12532, 540s, 67ms/it)
  [iter 8500] loss=0.03573 (run 0.12033, 569s, 67ms/it)
  [iter 9000] loss=0.04397 (run 0.11584, 599s, 67ms/it)
  [iter 9500] loss=0.04087 (run 0.11179, 629s, 66ms/it)
  [iter 10000] loss=0.02562 (run 0.10806, 659s, 66ms/it)
  [iter 10500] loss=0.02990 (run 0.10464, 688s, 66ms/it)
  [iter 11000] loss=0.03085 (run 0.10146, 718s, 65ms/it)
  [iter 11500] loss=0.03793 (run 0.09852, 748s, 65ms/it)
  [iter 12000] loss=0.03228 (run 0.09579, 777s, 65ms/it)
  [iter 12500] loss=0.03310 (run 0.09328, 807s, 65ms/it)
[epoch 01/20] loss=0.09328 iters=12500 (807s)
  [iter 13000] loss=0.04386 (run 0.03269, 837s, 64ms/it)
  [iter 13500] loss=0.02235 (run 0.03198, 867s, 64ms/it)
  [iter 14000] loss=0.02843 (run 0.03152, 897s, 64ms/it)
  [iter 14500] loss=0.02876 (run 0.03113, 927s, 64ms/it)
  [iter 15000] loss=0.02551 (run 0.03086, 956s, 64ms/it)
  [iter 15500] loss=0.02605 (run 0.03060, 986s, 64ms/it)
  [iter 16000] loss=0.02716 (run 0.03021, 1015s, 63ms/it)
  [iter 16500] loss=0.03154 (run 0.02989, 1045s, 63ms/it)
  [iter 17000] loss=0.02353 (run 0.02964, 1075s, 63ms/it)
  [iter 17500] loss=0.02765 (run 0.02936, 1105s, 63ms/it)
  [iter 18000] loss=0.02746 (run 0.02913, 1134s, 63ms/it)
  [iter 18500] loss=0.02393 (run 0.02887, 1164s, 63ms/it)
  [iter 19000] loss=0.03104 (run 0.02866, 1193s, 63ms/it)
  [iter 19500] loss=0.02200 (run 0.02847, 1223s, 63ms/it)
  [iter 20000] loss=0.02346 (run 0.02824, 1253s, 63ms/it)
  [iter 20500] loss=0.02869 (run 0.02802, 1282s, 63ms/it)
  [iter 21000] loss=0.02453 (run 0.02783, 1312s, 62ms/it)
  [iter 21500] loss=0.01855 (run 0.02765, 1342s, 62ms/it)
  [iter 22000] loss=0.02683 (run 0.02748, 1371s, 62ms/it)
  [iter 22500] loss=0.02497 (run 0.02731, 1401s, 62ms/it)
  [iter 23000] loss=0.02332 (run 0.02714, 1431s, 62ms/it)
  [iter 23500] loss=0.03224 (run 0.02698, 1460s, 62ms/it)
  [iter 24000] loss=0.03411 (run 0.02678, 1490s, 62ms/it)
  [iter 24500] loss=0.02582 (run 0.02661, 1520s, 62ms/it)
  [iter 25000] loss=0.04237 (run 0.02645, 1550s, 62ms/it)
[epoch 02/20] loss=0.02645 iters=25000 (1550s)
  [iter 25500] loss=0.02574 (run 0.02257, 1580s, 62ms/it)
  [iter 26000] loss=0.03169 (run 0.02250, 1610s, 62ms/it)
  [iter 26500] loss=0.01794 (run 0.02221, 1639s, 62ms/it)
  [iter 27000] loss=0.02504 (run 0.02216, 1669s, 62ms/it)
  [iter 27500] loss=0.02326 (run 0.02213, 1698s, 62ms/it)
  [iter 28000] loss=0.02610 (run 0.02210, 1728s, 62ms/it)
  [iter 28500] loss=0.02550 (run 0.02204, 1757s, 62ms/it)
  [iter 29000] loss=0.02172 (run 0.02186, 1787s, 62ms/it)
  [iter 29500] loss=0.01508 (run 0.02178, 1817s, 62ms/it)
  [iter 30000] loss=0.02716 (run 0.02173, 1847s, 62ms/it)
  [iter 30500] loss=0.02109 (run 0.02159, 1877s, 62ms/it)
  [iter 31000] loss=0.02397 (run 0.02148, 1907s, 62ms/it)
  [iter 31500] loss=0.03120 (run 0.02137, 1937s, 61ms/it)
  [iter 32000] loss=0.02031 (run 0.02130, 1966s, 61ms/it)
  [iter 32500] loss=0.01992 (run 0.02121, 1996s, 61ms/it)
  [iter 33000] loss=0.02084 (run 0.02115, 2026s, 61ms/it)
  [iter 33500] loss=0.01557 (run 0.02109, 2055s, 61ms/it)
  [iter 34000] loss=0.02601 (run 0.02102, 2085s, 61ms/it)
  [iter 34500] loss=0.01601 (run 0.02095, 2115s, 61ms/it)
  [iter 35000] loss=0.01355 (run 0.02089, 2144s, 61ms/it)
  [iter 35500] loss=0.01809 (run 0.02083, 2174s, 61ms/it)
  [iter 36000] loss=0.01535 (run 0.02073, 2204s, 61ms/it)
  [iter 36500] loss=0.00993 (run 0.02065, 2234s, 61ms/it)
  [iter 37000] loss=0.01670 (run 0.02056, 2263s, 61ms/it)
  [iter 37500] loss=0.01776 (run 0.02050, 2293s, 61ms/it)
[epoch 03/20] loss=0.02050 iters=37500 (2293s)
  [iter 38000] loss=0.01493 (run 0.01899, 2323s, 61ms/it)
  [iter 38500] loss=0.01971 (run 0.01893, 2353s, 61ms/it)
  [iter 39000] loss=0.01084 (run 0.01881, 2383s, 61ms/it)
  [iter 39500] loss=0.02497 (run 0.01873, 2413s, 61ms/it)
  [iter 40000] loss=0.02059 (run 0.01876, 2443s, 61ms/it)
  [iter 40500] loss=0.01973 (run 0.01876, 2472s, 61ms/it)
  [iter 41000] loss=0.00994 (run 0.01867, 2502s, 61ms/it)
  [iter 41500] loss=0.01528 (run 0.01867, 2532s, 61ms/it)
  [iter 42000] loss=0.01695 (run 0.01861, 2561s, 61ms/it)
  [iter 42500] loss=0.01766 (run 0.01859, 2591s, 61ms/it)
  [iter 43000] loss=0.02697 (run 0.01854, 2621s, 61ms/it)
  [iter 43500] loss=0.01189 (run 0.01846, 2651s, 61ms/it)
  [iter 44000] loss=0.01766 (run 0.01842, 2681s, 61ms/it)
  [iter 44500] loss=0.01556 (run 0.01837, 2710s, 61ms/it)
  [iter 45000] loss=0.02391 (run 0.01831, 2740s, 61ms/it)
  [iter 45500] loss=0.02584 (run 0.01825, 2770s, 61ms/it)
  [iter 46000] loss=0.02061 (run 0.01821, 2800s, 61ms/it)
  [iter 46500] loss=0.01341 (run 0.01818, 2829s, 61ms/it)
  [iter 47000] loss=0.02062 (run 0.01814, 2859s, 61ms/it)
  [iter 47500] loss=0.01359 (run 0.01809, 2889s, 61ms/it)
  [iter 48000] loss=0.01122 (run 0.01806, 2919s, 61ms/it)
  [iter 48500] loss=0.01129 (run 0.01803, 2948s, 61ms/it)
  [iter 49000] loss=0.01384 (run 0.01797, 2978s, 61ms/it)
  [iter 49500] loss=0.01857 (run 0.01795, 3008s, 61ms/it)
  [iter 50000] loss=0.01931 (run 0.01792, 3038s, 61ms/it)
[epoch 04/20] loss=0.01792 iters=50000 (3038s)
  [iter 50500] loss=0.02577 (run 0.01661, 3067s, 61ms/it)
  [iter 51000] loss=0.01512 (run 0.01654, 3097s, 61ms/it)
  [iter 51500] loss=0.01657 (run 0.01669, 3127s, 61ms/it)
  [iter 52000] loss=0.02435 (run 0.01677, 3157s, 61ms/it)
  [iter 52500] loss=0.01084 (run 0.01679, 3187s, 61ms/it)
  [iter 53000] loss=0.00971 (run 0.01678, 3217s, 61ms/it)
  [iter 53500] loss=0.00983 (run 0.01672, 3247s, 61ms/it)
  [iter 54000] loss=0.01310 (run 0.01668, 3277s, 61ms/it)
  [iter 54500] loss=0.02476 (run 0.01666, 3306s, 61ms/it)
  [iter 55000] loss=0.01632 (run 0.01664, 3336s, 61ms/it)
  [iter 55500] loss=0.01575 (run 0.01661, 3366s, 61ms/it)
  [iter 56000] loss=0.01398 (run 0.01658, 3395s, 61ms/it)
  [iter 56500] loss=0.01305 (run 0.01657, 3425s, 61ms/it)
  [iter 57000] loss=0.01439 (run 0.01657, 3455s, 61ms/it)
  [iter 57500] loss=0.01577 (run 0.01655, 3485s, 61ms/it)
  [iter 58000] loss=0.01601 (run 0.01651, 3515s, 61ms/it)
  [iter 58500] loss=0.01636 (run 0.01647, 3544s, 61ms/it)
  [iter 59000] loss=0.01327 (run 0.01644, 3574s, 61ms/it)
  [iter 59500] loss=0.01977 (run 0.01640, 3604s, 61ms/it)
  [iter 60000] loss=0.01562 (run 0.01637, 3634s, 61ms/it)
  [iter 60500] loss=0.01384 (run 0.01636, 3663s, 61ms/it)
  [iter 61000] loss=0.01213 (run 0.01632, 3693s, 61ms/it)
  [iter 61500] loss=0.01278 (run 0.01630, 3722s, 61ms/it)
  [iter 62000] loss=0.01612 (run 0.01626, 3752s, 61ms/it)
  [iter 62500] loss=0.01406 (run 0.01622, 3782s, 61ms/it)
[epoch 05/20] loss=0.01622 iters=62500 (3782s)
  [iter 63000] loss=0.01161 (run 0.01573, 3811s, 60ms/it)
  [iter 63500] loss=0.01344 (run 0.01567, 3841s, 60ms/it)
  [iter 64000] loss=0.01636 (run 0.01563, 3871s, 60ms/it)
  [iter 64500] loss=0.01055 (run 0.01561, 3900s, 60ms/it)
  [iter 65000] loss=0.01711 (run 0.01561, 3930s, 60ms/it)
  [iter 65500] loss=0.01358 (run 0.01551, 3960s, 60ms/it)
  [iter 66000] loss=0.02056 (run 0.01548, 3990s, 60ms/it)
  [iter 66500] loss=0.02389 (run 0.01539, 4019s, 60ms/it)
  [iter 67000] loss=0.01081 (run 0.01534, 4049s, 60ms/it)
  [iter 67500] loss=0.01273 (run 0.01535, 4079s, 60ms/it)
  [iter 68000] loss=0.01943 (run 0.01529, 4110s, 60ms/it)
  [iter 68500] loss=0.02039 (run 0.01528, 4139s, 60ms/it)
  [iter 69000] loss=0.01577 (run 0.01529, 4169s, 60ms/it)
  [iter 69500] loss=0.01848 (run 0.01528, 4199s, 60ms/it)
  [iter 70000] loss=0.01699 (run 0.01524, 4228s, 60ms/it)
  [iter 70500] loss=0.01630 (run 0.01521, 4258s, 60ms/it)
  [iter 71000] loss=0.01352 (run 0.01517, 4288s, 60ms/it)
  [iter 71500] loss=0.00955 (run 0.01512, 4318s, 60ms/it)
  [iter 72000] loss=0.01589 (run 0.01510, 4347s, 60ms/it)
  [iter 72500] loss=0.01391 (run 0.01506, 4377s, 60ms/it)
  [iter 73000] loss=0.01361 (run 0.01504, 4407s, 60ms/it)
  [iter 73500] loss=0.01237 (run 0.01501, 4436s, 60ms/it)
  [iter 74000] loss=0.01346 (run 0.01500, 4466s, 60ms/it)
  [iter 74500] loss=0.01028 (run 0.01496, 4496s, 60ms/it)
  [iter 75000] loss=0.01404 (run 0.01495, 4526s, 60ms/it)
[epoch 06/20] loss=0.01495 iters=75000 (4526s)
  [iter 75500] loss=0.01135 (run 0.01413, 4556s, 60ms/it)
  [iter 76000] loss=0.01767 (run 0.01427, 4586s, 60ms/it)
  [iter 76500] loss=0.01311 (run 0.01426, 4615s, 60ms/it)
  [iter 77000] loss=0.01845 (run 0.01423, 4645s, 60ms/it)
  [iter 77500] loss=0.01561 (run 0.01419, 4675s, 60ms/it)
  [iter 78000] loss=0.00929 (run 0.01414, 4705s, 60ms/it)
  [iter 78500] loss=0.01605 (run 0.01416, 4735s, 60ms/it)
  [iter 79000] loss=0.01396 (run 0.01409, 4764s, 60ms/it)
  [iter 79500] loss=0.01545 (run 0.01409, 4794s, 60ms/it)
  [iter 80000] loss=0.01807 (run 0.01406, 4824s, 60ms/it)
