table,subgoal,mode,eval_filter,angle_deg,n,successes,success_rate_pct,seed,source
4.1,gdm,short,none,20,256,,85.55,42,ofs-v01
4.1,oracle,short,none,20,256,,95.31,42,ofs-v01
4.1,baseline,short,none,20,256,,94.53,42,ofs-v01
4.1,paper_ffjepa_dm,short,none,20,256,,96.09,,paper
4.1,paper_lewm,short,none,20,256,,94.53,,paper
4.2,gdm,short,success20,20,256,236,92.19,42,ofs-v01
4.2,gdm,short,success20,5,256,204,79.69,42,ofs-v01
4.2,oracle,short,success20,20,256,241,94.14,42,ofs-v01
4.2,oracle,short,success20,5,256,216,84.38,42,ofs-v01
4.2,baseline,short,success20,20,256,240,93.75,42,ofs-v01
4.2,baseline,short,success20,5,256,220,85.94,42,ofs-v01
4.3,gdm,short,success5,20,256,244,95.31,42,ofs-v01
4.3,gdm,short,success5,5,256,214,83.59,42,ofs-v01
4.3,oracle,short,success5,20,256,239,93.36,42,ofs-v01
4.3,oracle,short,success5,5,256,220,85.94,42,ofs-v01
4.3,baseline,short,success5,20,256,239,93.36,42,ofs-v01
4.3,baseline,short,success5,5,256,222,86.72,42,ofs-v01
9,gdm,long_t75,success5,20,256,227,88.67,42,isambard
9,gdm,long_t75,success5,5,256,197,76.95,42,isambard
9,oracle,long_t75,success5,20,256,206,80.47,42,isambard
9,oracle,long_t75,success5,5,256,180,70.31,42,isambard
9,baseline,long_t75,success5,20,256,55,21.48,42,isambard
9,baseline,long_t75,success5,5,256,32,12.50,42,isambard
9,paper_ffjepa_dm,long_t75,none,20,256,,91.80,,paper
9,paper_lewm,long_t75,none,20,256,,3.52,,paper
9,gdm,long_t150,success5,20,256,243,94.92,42,isambard
9,gdm,long_t150,success5,5,256,205,80.08,42,isambard
9,oracle,long_t150,success5,20,256,162,63.28,42,isambard
9,oracle,long_t150,success5,5,256,126,49.22,42,isambard
9,baseline,long_t150,success5,20,256,3,1.17,42,isambard
9,baseline,long_t150,success5,5,256,3,1.17,42,isambard
9,gdm,long_t75,success5,20,256,231,90.23,43,isambard
9,gdm,long_t75,success5,5,256,195,76.17,43,isambard
9,gdm,long_t75,success5,20,256,236,92.19,44,isambard
9,gdm,long_t75,success5,5,256,201,78.52,44,isambard
9,gdm,long_t75,success5,20,256,228,89.06,45,isambard
9,gdm,long_t75,success5,5,256,209,81.64,45,isambard
9,gdm,long_t150,success5,20,256,241,94.14,43,isambard
9,gdm,long_t150,success5,5,256,229,89.45,43,isambard
9,gdm,long_t150,success5,20,256,235,91.80,44,isambard
9,gdm,long_t150,success5,5,256,216,84.38,44,isambard
9,gdm,long_t150,success5,20,256,227,88.67,45,isambard
9,gdm,long_t150,success5,5,256,211,82.42,45,isambard
11,gdm,random_init,none,20,256,247,96.48,42,isambard
11,gdm,random_init,none,5,256,200,78.12,42,isambard
11,paper_ffjepa_dm,random_init,none,20,256,,82.42,,paper
11,paper_lewm,random_init,none,20,256,,0.00,,paper
10,gdm,long_t75_fixedpop,none,20,256,240,93.75,42,isambard
10,gdm,long_t75_fixedpop,none,5,256,208,81.25,42,isambard
