env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,flat_rh5,150,8,42|43|44|45|46|47|48|49,68.36,1.81,75.00|75.00|64.84|67.97|66.41|71.09|60.16|66.41,
cube,ffjepa_gf,150,8,42|43|44|45|46|47|48|49,29.39,0.93,28.12|32.03|33.59|28.91|30.47|28.91|28.12|25.00,
cube,surveyor,150,8,42|43|44|45|46|47|48|49,76.17,1.25,78.91|80.47|74.22|80.47|75.78|70.31|75.00|74.22,0.967
cube,router,150,8,42|43|44|45|46|47|48|49,80.47,1.19,86.72|82.03|81.25|82.81|76.56|78.12|78.12|78.12,0.998
cube,gcidm,150,8,42|43|44|45|46|47|48|49,86.52,0.87,87.50|89.06|85.94|84.38|88.28|85.94|82.03|89.06,
cube,gcidm_surv,150,8,42|43|44|45|46|47|48|49,94.24,1.11,90.62|93.75|98.44|93.75|89.06|96.09|95.31|96.88,0.951
cube,gcidm_every,150,8,42|43|44|45|46|47|48|49,94.92,0.61,93.75|93.75|97.66|96.09|92.97|94.53|93.75|96.88,1.000
cube,gcidm_blind,150,8,42|43|44|45|46|47|48|49,96.78,0.48,95.31|97.66|98.44|96.88|95.31|96.88|95.31|98.44,0.333
pusht,flat_rh5,25,8,42|43|44|45|46|47|48|49,96.38,0.27,96.09|98.05|96.48|96.09|95.31|96.09|96.48|96.48,
pusht,flat_rh5,50,8,42|43|44|45|46|47|48|49,50.59,0.37,52.34|49.61|50.39|51.95|50.78|50.00|50.00|49.61,
pusht,flat_rh5,75,8,42|43|44|45|46|47|48|49,19.92,0.33,21.09|19.14|20.70|18.75|18.75|20.31|20.70|19.92,
pusht,flat_rh5,100,8,42|43|44|45|46|47|48|49,13.72,0.54,15.23|14.06|14.06|11.72|15.23|15.23|12.11|12.11,
pusht,flat_rh5,150,8,42|43|44|45|46|47|48|49,2.98,0.29,1.56|3.12|3.12|2.73|2.34|3.12|4.30|3.52,
pusht,flat_rh2,25,8,42|43|44|45|46|47|48|49,95.80,0.45,95.31|94.92|94.53|96.48|96.09|97.27|97.66|94.14,
pusht,flat_rh2,50,8,42|43|44|45|46|47|48|49,37.94,0.75,38.67|40.62|39.84|38.28|35.94|39.45|35.94|34.77,
pusht,flat_rh2,75,8,42|43|44|45|46|47|48|49,16.21,0.55,14.84|17.58|16.41|15.62|17.19|17.97|13.28|16.80,
pusht,flat_rh2,100,8,42|43|44|45|46|47|48|49,11.62,0.42,10.16|11.33|13.67|10.94|11.33|12.11|10.55|12.89,
pusht,flat_rh2,150,8,42|43|44|45|46|47|48|49,3.27,0.17,2.34|3.52|3.91|3.52|3.12|3.52|3.12|3.12,
pusht,ffjepa_s25,25,8,42|43|44|45|46|47|48|49,95.07,0.24,93.75|94.92|95.31|95.70|94.92|94.92|94.92|96.09,
pusht,ffjepa_s25,50,8,42|43|44|45|46|47|48|49,91.16,0.41,92.19|92.97|91.02|90.23|91.41|89.45|91.80|90.23,
pusht,ffjepa_s25,75,8,42|43|44|45|46|47|48|49,89.79,0.67,89.84|92.58|91.80|87.11|89.84|90.62|87.50|89.06,
pusht,ffjepa_s25,100,8,42|43|44|45|46|47|48|49,91.65,0.36,92.58|90.23|90.62|93.36|92.19|91.41|91.41|91.41,
pusht,ffjepa_s25,150,8,42|43|44|45|46|47|48|49,92.77,0.69,92.19|96.48|93.36|92.58|91.80|91.80|94.14|89.84,
pusht,surveyor,25,8,42|43|44|45|46|47|48|49,98.93,0.19,99.61|98.44|99.61|98.44|99.22|98.44|98.44|99.22,0.823
pusht,surveyor,50,8,42|43|44|45|46|47|48|49,96.00,0.40,94.53|97.27|96.88|96.48|97.27|95.70|94.53|95.31,0.669
pusht,surveyor,75,8,42|43|44|45|46|47|48|49,95.55,0.35,95.70|96.88|96.09|93.75|95.70|95.70|96.09|94.53,0.661
pusht,surveyor,100,8,42|43|44|45|46|47|48|49,95.80,0.30,95.70|95.70|95.70|96.48|95.31|96.48|94.14|96.88,0.636
pusht,surveyor,150,8,42|43|44|45|46|47|48|49,97.12,0.27,98.44|97.27|96.48|96.09|97.66|97.27|97.27|96.48,0.654
pusht,router,25,8,42|43|44|45|46|47|48|49,99.32,0.14,100.00|99.22|99.22|98.83|98.83|99.22|99.61|99.61,0.905
pusht,router,50,8,42|43|44|45|46|47|48|49,93.56,0.39,92.58|93.36|93.36|93.36|93.75|93.36|92.58|96.09,0.665
pusht,router,75,8,42|43|44|45|46|47|48|49,95.51,0.32,95.31|94.92|95.31|97.27|95.31|94.14|95.70|96.09,0.657
pusht,router,100,8,42|43|44|45|46|47|48|49,94.87,0.36,94.92|94.14|96.09|94.14|94.92|94.92|93.36|96.48,0.634
pusht,router,150,8,42|43|44|45|46|47|48|49,96.78,0.27,95.70|97.66|97.66|96.48|96.88|97.27|95.70|96.88,0.652
pusht,gcidm,25,8,42|43|44|45|46|47|48|49,98.98,0.07,99.22|98.83|98.83|98.83|98.83|99.22|99.22|98.83,
pusht,gcidm,50,8,42|43|44|45|46|47|48|49,96.63,0.10,96.48|96.88|96.09|96.88|96.88|96.88|96.48|96.48,
pusht,gcidm,75,8,42|43|44|45|46|47|48|49,94.58,0.12,94.53|94.14|94.92|94.53|94.14|94.92|94.53|94.92,
pusht,gcidm,100,8,42|43|44|45|46|47|48|49,93.75,0.13,93.75|93.36|93.75|93.75|93.75|94.53|93.36|93.75,
pusht,gcidm,150,8,42|43|44|45|46|47|48|49,61.09,0.29,60.16|60.55|62.11|61.72|61.33|60.16|60.55|62.11,
pusht,gcidm_surv,25,8,42|43|44|45|46|47|48|49,99.41,0.07,99.61|99.22|99.22|99.22|99.61|99.22|99.61|99.61,0.905
pusht,gcidm_surv,50,8,42|43|44|45|46|47|48|49,97.07,0.30,96.09|96.88|96.48|97.27|96.48|98.83|97.27|97.27,0.844
pusht,gcidm_surv,75,8,42|43|44|45|46|47|48|49,96.24,0.16,96.88|96.48|95.70|95.70|96.48|96.48|95.70|96.48,0.829
pusht,gcidm_surv,100,8,42|43|44|45|46|47|48|49,96.44,0.32,97.27|97.27|94.92|96.88|96.88|96.88|96.09|95.31,0.817
pusht,gcidm_surv,150,8,42|43|44|45|46|47|48|49,93.65,0.68,93.36|96.09|96.09|92.19|92.97|92.97|90.62|94.92,0.833
pusht,gcidm_every,25,8,42|43|44|45|46|47|48|49,99.27,0.12,99.22|99.22|99.22|99.22|99.22|98.83|99.22|100.00,1.000
pusht,gcidm_every,50,8,42|43|44|45|46|47|48|49,97.51,0.16,96.88|97.66|97.66|97.27|97.27|98.44|97.27|97.66,1.000
pusht,gcidm_every,75,8,42|43|44|45|46|47|48|49,95.90,0.31,96.88|96.09|96.09|94.92|96.88|94.53|95.31|96.48,1.000
pusht,gcidm_every,100,8,42|43|44|45|46|47|48|49,95.65,0.26,94.92|96.48|96.88|94.92|95.31|95.31|95.31|96.09,1.000
pusht,gcidm_every,150,8,42|43|44|45|46|47|48|49,92.97,0.63,93.36|90.62|95.70|90.62|93.36|93.36|94.53|92.19,1.000
pusht,gcidm_blind,25,8,42|43|44|45|46|47|48|49,99.32,0.14,99.61|98.83|99.61|99.22|99.22|98.83|99.22|100.00,0.400
pusht,gcidm_blind,50,8,42|43|44|45|46|47|48|49,97.02,0.23,97.66|98.05|97.27|96.48|96.48|97.27|96.09|96.88,0.400
pusht,gcidm_blind,75,8,42|43|44|45|46|47|48|49,96.14,0.29,96.48|96.88|96.09|94.92|96.09|96.88|94.92|96.88,0.333
pusht,gcidm_blind,100,8,42|43|44|45|46|47|48|49,96.29,0.35,96.09|97.27|96.48|95.31|97.27|96.09|97.27|94.53,0.350
pusht,gcidm_blind,150,8,42|43|44|45|46|47|48|49,92.92,0.64,95.70|91.41|94.92|93.36|90.62|93.75|91.41|92.19,0.333
reacher,flat_rh5,25,8,42|43|44|45|46|47|48|49,82.32,1.25,88.28|83.59|76.56|82.81|81.25|79.69|81.25|85.16,
reacher,flat_rh5,50,8,42|43|44|45|46|47|48|49,93.26,0.42,92.97|92.97|92.19|93.75|95.31|91.41|93.75|93.75,
reacher,flat_rh5,100,8,42|43|44|45|46|47|48|49,81.35,0.43,79.69|82.03|80.47|81.25|83.59|80.47|81.25|82.03,
reacher,flat_rh5,150,8,42|43|44|45|46|47|48|49,69.63,0.48,70.31|67.19|71.09|71.09|69.53|68.75|68.75|70.31,
reacher,flat_rh2,25,8,42|43|44|45|46|47|48|49,95.70,0.26,95.31|96.09|96.88|94.53|95.31|96.09|96.09|95.31,
reacher,flat_rh2,50,8,42|43|44|45|46|47|48|49,86.72,0.33,86.72|85.94|87.50|85.94|85.94|88.28|87.50|85.94,
reacher,flat_rh2,100,8,42|43|44|45|46|47|48|49,63.87,0.59,64.06|64.84|64.84|64.06|66.41|62.50|60.94|63.28,
reacher,flat_rh2,150,8,42|43|44|45|46|47|48|49,49.12,0.62,46.88|48.44|46.88|50.00|48.44|50.00|51.56|50.78,
reacher,ffjepa_s25,25,8,42|43|44|45|46|47|48|49,51.86,1.30,46.09|51.56|46.88|54.69|53.12|51.56|55.47|55.47,
reacher,ffjepa_s25,50,8,42|43|44|45|46|47|48|49,79.59,1.81,71.09|84.38|78.91|80.47|77.34|77.34|88.28|78.91,
reacher,ffjepa_s25,100,8,42|43|44|45|46|47|48|49,89.45,0.93,86.72|91.41|91.41|86.72|86.72|89.84|93.75|89.06,
reacher,ffjepa_s25,150,8,42|43|44|45|46|47|48|49,89.65,1.10,93.75|86.72|84.38|89.06|89.84|91.41|92.97|89.06,
reacher,surveyor,25,8,42|43|44|45|46|47|48|49,57.52,1.29,60.94|49.22|58.59|58.59|60.16|56.25|58.59|57.81,0.645
reacher,surveyor,50,8,42|43|44|45|46|47|48|49,78.13,0.68,78.91|77.34|80.47|78.91|78.91|75.00|75.78|79.69,0.615
reacher,surveyor,100,8,42|43|44|45|46|47|48|49,91.80,0.68,91.41|90.62|89.84|92.19|96.09|90.62|91.41|92.19,0.614
reacher,surveyor,150,8,42|43|44|45|46|47|48|49,90.92,0.79,93.75|92.19|89.84|92.97|92.19|88.28|87.50|90.62,0.631
reacher,router,25,8,42|43|44|45|46|47|48|49,99.41,0.24,98.44|100.00|100.00|98.44|100.00|99.22|100.00|99.22,0.971
reacher,router,50,8,42|43|44|45|46|47|48|49,98.05,0.53,96.09|100.00|98.44|100.00|96.09|98.44|97.66|97.66,0.791
reacher,router,100,8,42|43|44|45|46|47|48|49,94.14,0.36,95.31|92.19|94.53|95.31|94.53|93.75|93.75|93.75,0.782
reacher,router,150,8,42|43|44|45|46|47|48|49,88.67,1.00,86.72|86.72|89.84|83.59|91.41|89.84|92.19|89.06,0.762
reacher,gcidm,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
reacher,gcidm,50,8,42|43|44|45|46|47|48|49,99.22,0.00,99.22|99.22|99.22|99.22|99.22|99.22|99.22|99.22,
reacher,gcidm,100,8,42|43|44|45|46|47|48|49,96.09,0.00,96.09|96.09|96.09|96.09|96.09|96.09|96.09|96.09,
reacher,gcidm,150,8,42|43|44|45|46|47|48|49,96.09,0.00,96.09|96.09|96.09|96.09|96.09|96.09|96.09|96.09,
reacher,gcidm_surv,25,8,42|43|44|45|46|47|48|49,54.30,0.98,53.91|55.47|56.25|49.22|54.69|53.91|58.59|52.34,0.502
