env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,random,25,8,42|43|44|45|46|47|48|49,57.42,0.54,55.86|58.59|57.81|60.16|55.47|56.64|57.81|57.03,
pusht,random,50,8,42|43|44|45|46|47|48|49,18.70,0.34,19.14|20.31|18.75|18.36|16.80|18.75|18.75|18.75,
pusht,random,75,8,42|43|44|45|46|47|48|49,5.03,0.14,4.69|5.47|5.08|4.30|5.08|5.08|5.47|5.08,
pusht,blind2,100,8,42|43|44|45|46|47|48|49,95.31,0.29,96.09|94.92|95.31|95.31|94.53|94.53|96.88|94.92,0.520
pusht,coin0.3,100,8,42|43|44|45|46|47|48|49,96.24,0.32,95.70|94.92|96.09|96.88|96.48|95.31|96.88|97.66,0.487
pusht,coin0.5,100,8,42|43|44|45|46|47|48|49,95.21,0.44,94.53|94.53|94.53|96.09|95.31|93.36|96.09|97.27,0.603
pusht,coin0.7,100,8,42|43|44|45|46|47|48|49,96.24,0.26,96.09|97.27|96.09|96.88|96.48|95.70|94.92|96.48,0.740
pusht,ffjepa_s10k3,100,8,42|43|44|45|46|47|48|49,94.04,0.53,96.09|94.53|95.31|92.97|94.53|91.41|92.97|94.53,
pusht,gcidm_s1,100,8,42|43|44|45|46|47|48|49,91.60,0.16,91.80|91.80|91.02|92.19|91.41|92.19|91.02|91.41,
pusht,gcidm_s2,100,8,42|43|44|45|46|47|48|49,89.26,0.24,89.45|88.28|88.28|89.45|89.84|89.45|90.23|89.06,
pusht,gcsurv_S20,100,8,42|43|44|45|46|47|48|49,94.04,0.53,95.31|94.53|94.92|91.41|92.97|93.36|96.09|93.75,0.936
pusht,gcsurv_S5,100,8,42|43|44|45|46|47|48|49,93.85,0.43,93.75|94.14|92.97|94.92|95.70|92.58|94.53|92.19,0.937
pusht,gcsurv_coin0.2,100,8,42|43|44|45|46|47|48|49,95.55,0.21,95.70|96.48|95.31|94.53|95.70|96.09|95.31|95.31,0.429
pusht,gcsurv_coin0.4,100,8,42|43|44|45|46|47|48|49,96.04,0.16,95.70|96.48|96.48|96.09|96.09|96.48|95.70|95.31,0.530
pusht,gcsurv_coin0.6,100,8,42|43|44|45|46|47|48|49,95.70,0.48,97.66|94.92|96.09|96.88|96.88|93.75|94.92|94.53,0.657
pusht,gcsurv_coin0.8,100,8,42|43|44|45|46|47|48|49,95.60,0.36,96.88|95.31|95.31|94.92|95.70|96.48|93.75|96.48,0.814
pusht,gcsurv_k1,100,8,42|43|44|45|46|47|48|49,83.69,0.45,84.38|82.81|85.16|84.38|84.77|81.25|83.20|83.59,1.000
pusht,gcsurv_k2,100,8,42|43|44|45|46|47|48|49,82.42,0.80,80.86|80.08|85.16|82.03|80.86|80.47|85.55|84.38,1.000
pusht,gcsurv_k8,100,8,42|43|44|45|46|47|48|49,97.27,0.21,96.88|97.66|96.88|97.27|96.88|96.48|98.05|98.05,0.785
