JobID|State|Elapsed
2382800_0|COMPLETED|235
2382800_1|COMPLETED|231
2382800_2|COMPLETED|230
2382800_3|COMPLETED|229
2382800_4|COMPLETED|229
2382800_5|COMPLETED|264
2382800_6|COMPLETED|262
2382800_7|COMPLETED|228
2382800_8|COMPLETED|231
2382800_9|COMPLETED|243
2382800_10|COMPLETED|231
2382800_11|COMPLETED|231
2382800_12|COMPLETED|228
2382800_13|COMPLETED|229
2382800_14|COMPLETED|307
2382800_15|COMPLETED|225
2382800_16|COMPLETED|311
2382800_17|COMPLETED|229
2382800_18|COMPLETED|1389
2382800_19|COMPLETED|1350
2382800_20|COMPLETED|1362
2382800_21|COMPLETED|1373
2382800_22|COMPLETED|1348
2382800_23|COMPLETED|229
2382800_24|COMPLETED|231
2382800_25|COMPLETED|233
2382800_26|COMPLETED|233
2382800_27|COMPLETED|232
2382800_28|COMPLETED|271
2382800_29|COMPLETED|269
2382800_30|COMPLETED|226
2382800_31|COMPLETED|234
2382800_32|COMPLETED|240
2382800_33|COMPLETED|227
2382800_34|COMPLETED|229
2382800_35|COMPLETED|231
2382800_36|COMPLETED|233
2382800_37|COMPLETED|308
2382800_38|COMPLETED|231
2382800_39|COMPLETED|311
2382800_40|COMPLETED|225
2382800_41|COMPLETED|1410
2382800_42|COMPLETED|1368
2382800_43|COMPLETED|1368
2382800_44|COMPLETED|1382
2382800_45|COMPLETED|1353
2382800_46|COMPLETED|232
2382800_47|COMPLETED|230
2382800_48|COMPLETED|228
2382800_49|COMPLETED|232
2382800_50|COMPLETED|232
2382800_51|COMPLETED|259
2382800_52|COMPLETED|260
2382800_53|COMPLETED|228
2382800_54|COMPLETED|231
2382800_55|COMPLETED|248
2382800_56|COMPLETED|231
2382800_57|COMPLETED|231
2382800_58|COMPLETED|231
2382800_59|COMPLETED|230
2382800_60|COMPLETED|306
2382800_61|COMPLETED|226
2382800_62|COMPLETED|316
2382800_63|COMPLETED|227
2382800_64|COMPLETED|1386
2382800_65|COMPLETED|1356
2382800_66|COMPLETED|1367
2382800_67|COMPLETED|1369
2382800_68|COMPLETED|1328
2382800_69|COMPLETED|231
2382800_70|COMPLETED|230
2382800_71|COMPLETED|227
2382800_72|COMPLETED|234
2382800_73|COMPLETED|239
2382800_74|COMPLETED|268
2382800_75|COMPLETED|257
2382800_76|COMPLETED|234
2382800_77|COMPLETED|228
2382800_78|COMPLETED|253
2382800_79|COMPLETED|236
2382800_80|COMPLETED|231
2382800_81|COMPLETED|229
2382800_82|COMPLETED|231
2382800_83|COMPLETED|308
2382800_84|COMPLETED|226
2382800_85|COMPLETED|312
2382800_86|COMPLETED|230
2382800_87|COMPLETED|1399
2382800_88|COMPLETED|1370
2382800_89|COMPLETED|1356
2382800_90|COMPLETED|1392
2382800_91|COMPLETED|1357
