env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,flat_rh2_cb5,25,8,42|43|44|45|46|47|48|49,66.90,0.36,66.80|66.80|64.84|68.36|67.19|66.41|67.58|67.19,
pusht,flat_rh2_cb6,25,8,42|43|44|45|46|47|48|49,60.89,0.40,59.77|61.72|62.89|60.94|60.94|61.33|60.16|59.38,
pusht,icem_flat_rh2_cb1,25,8,42|43|44|45|46|47|48|49,89.84,0.24,89.06|89.06|90.23|90.23|89.84|90.62|90.62|89.06,
pusht,icem_flat_rh2_cb2,25,8,42|43|44|45|46|47|48|49,86.62,0.21,86.72|87.11|87.11|86.33|86.33|85.94|85.94|87.50,
pusht,icem_flat_rh2_cb3,25,8,42|43|44|45|46|47|48|49,80.57,0.58,80.47|83.20|79.30|80.86|77.73|80.08|81.64|81.25,
pusht,icem_flat_rh2_cb4,25,8,42|43|44|45|46|47|48|49,72.76,0.23,72.27|73.05|72.66|72.66|73.44|73.83|72.27|71.88,
pusht,icem_flat_rh2_cb5,25,8,42|43|44|45|46|47|48|49,65.72,0.53,64.06|66.02|67.97|66.41|67.58|64.45|64.84|64.45,
pusht,icem_flat_rh2_cb6,25,8,42|43|44|45|46|47|48|49,59.28,0.34,58.98|59.77|59.77|60.55|58.59|59.77|57.42|59.38,
pusht,ffjepa_s10k3_cb5,150,8,42|43|44|45|46|47|48|49,3.76,0.22,2.73|3.91|4.30|3.91|4.69|3.91|3.12|3.52,
pusht,ffjepa_s10k3_cb6,150,8,42|43|44|45|46|47|48|49,0.83,0.31,0.78|0.39|0.78|0.78|0.00|0.00|2.73|1.17,
pusht,icem_ffjepa_s10k3_cb1,150,8,42|43|44|45|46|47|48|49,90.67,0.50,89.45|92.58|89.84|92.19|89.84|91.41|91.41|88.67,
pusht,icem_ffjepa_s10k3_cb2,150,8,42|43|44|45|46|47|48|49,88.57,0.70,91.80|89.45|85.94|87.89|89.06|88.67|89.84|85.94,
pusht,icem_ffjepa_s10k3_cb3,150,8,42|43|44|45|46|47|48|49,62.30,0.84,65.23|58.20|63.67|63.28|63.28|61.72|63.67|59.38,
pusht,icem_ffjepa_s10k3_cb4,150,8,42|43|44|45|46|47|48|49,12.79,0.60,11.72|12.50|13.28|9.77|12.50|15.62|12.89|14.06,
pusht,icem_ffjepa_s10k3_cb5,150,8,42|43|44|45|46|47|48|49,3.12,0.17,2.73|3.91|3.52|3.12|3.12|3.12|2.34|3.12,
pusht,icem_ffjepa_s10k3_cb6,150,8,42|43|44|45|46|47|48|49,0.24,0.10,0.00|0.39|0.39|0.78|0.39|0.00|0.00|0.00,
reacher,flat_rh2_cb1,25,8,42|43|44|45|46|47|48|49,94.92,0.26,93.75|94.53|94.53|95.31|96.09|95.31|94.53|95.31,
reacher,flat_rh2_cb2,25,8,42|43|44|45|46|47|48|49,94.92,0.29,93.75|95.31|95.31|94.53|95.31|95.31|96.09|93.75,
reacher,flat_rh2_cb3,25,8,42|43|44|45|46|47|48|49,87.89,0.53,88.28|87.50|87.50|91.41|87.50|86.72|87.50|86.72,
reacher,flat_rh2_cb4,25,8,42|43|44|45|46|47|48|49,73.63,1.06,70.31|76.56|75.78|75.78|70.31|77.34|71.09|71.88,
reacher,flat_rh2_cb5,25,8,42|43|44|45|46|47|48|49,47.07,1.26,50.00|47.66|40.62|43.75|48.44|50.78|50.00|45.31,
reacher,flat_rh2_cb6,25,8,42|43|44|45|46|47|48|49,13.38,0.90,10.16|12.50|15.62|15.62|16.41|11.72|14.84|10.16,
reacher,ffjepa_s10k8_cb1,150,8,42|43|44|45|46|47|48|49,93.07,0.27,92.97|92.19|92.97|94.53|92.97|93.75|92.19|92.97,
reacher,ffjepa_s10k8_cb2,150,8,42|43|44|45|46|47|48|49,93.36,0.53,93.75|92.97|90.62|92.97|94.53|92.19|95.31|94.53,
reacher,ffjepa_s10k8_cb3,150,8,42|43|44|45|46|47|48|49,90.92,0.72,89.06|90.62|91.41|92.97|92.97|87.50|89.84|92.97,
reacher,ffjepa_s10k8_cb4,150,8,42|43|44|45|46|47|48|49,83.59,0.74,85.16|81.25|82.81|80.47|85.94|84.38|82.81|85.94,
reacher,ffjepa_s10k8_cb5,150,8,42|43|44|45|46|47|48|49,59.57,1.12,58.59|60.16|55.47|62.50|64.84|56.25|60.94|57.81,
reacher,ffjepa_s10k8_cb6,150,8,42|43|44|45|46|47|48|49,26.46,1.29,25.78|27.34|18.75|25.78|28.91|28.12|25.78|31.25,
