env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,gcrouter_off_s42_ds1_tauown,25,8,42|43|44|45|46|47|48|49,99.90,0.06,100.00|100.00|100.00|100.00|99.61|99.61|100.00|100.00,0.844
pusht,gcrouter_off_s42_ds2_tauown,25,8,42|43|44|45|46|47|48|49,99.85,0.07,100.00|99.61|100.00|99.61|100.00|100.00|99.61|100.00,0.833
pusht,gd_router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,99.12,0.16,99.22|99.61|98.83|98.44|99.61|99.61|98.83|98.83,0.903
pusht,gd_router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,99.02,0.20,99.22|99.61|98.83|98.44|98.44|98.83|100.00|98.83,0.895
pusht,icem_router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,97.27,0.15,96.88|97.27|97.27|97.66|97.66|96.48|97.27|97.66,0.895
pusht,icem_router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,97.32,0.26,97.66|97.66|97.27|97.66|97.66|95.70|96.88|98.05,0.888
pusht,mppi_router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,96.83,0.16,96.48|97.27|96.09|96.88|97.27|97.27|96.48|96.88,0.920
pusht,mppi_router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,97.12,0.30,96.09|96.48|96.88|97.66|96.88|98.44|96.48|98.05,0.908
pusht,router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,99.32,0.16,100.00|98.83|99.22|99.22|100.00|99.22|99.22|98.83,0.899
pusht,router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,99.17,0.12,99.61|98.83|99.61|98.83|98.83|99.22|99.22|99.22,0.870
pusht,gcrouter_off_s42_ds1_tauown,50,8,42|43|44|45|46|47|48|49,96.97,0.31,97.66|97.66|98.44|95.70|96.48|96.48|96.88|96.48,0.760
pusht,gcrouter_off_s42_ds2_tauown,50,8,42|43|44|45|46|47|48|49,95.95,0.32,97.66|94.92|95.31|95.70|96.88|95.70|95.31|96.09,0.757
pusht,gd_router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,95.21,0.52,93.36|95.31|97.66|96.48|93.36|94.53|95.31|95.70,0.625
pusht,gd_router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,95.41,0.51,94.92|93.36|96.88|95.31|93.36|96.48|96.88|96.09,0.620
pusht,icem_router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,90.43,0.41,89.06|90.23|92.58|89.84|89.45|91.02|89.84|91.41,0.652
pusht,icem_router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,91.26,0.63,93.75|91.80|90.23|89.45|88.67|93.36|91.02|91.80,0.643
pusht,mppi_router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,92.48,0.36,91.41|91.80|93.75|92.19|93.36|91.02|92.97|93.36,0.703
pusht,mppi_router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,91.46,0.44,91.02|92.19|91.02|92.19|91.41|89.06|91.41|93.36,0.693
pusht,router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,93.85,0.56,93.75|94.14|93.75|95.70|92.19|96.48|92.58|92.19,0.604
pusht,router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,93.07,0.33,92.19|94.53|92.97|92.58|92.97|93.36|91.80|94.14,0.593
pusht,gcrouter_off_s42_ds1_tauown,75,8,42|43|44|45|46|47|48|49,96.88,0.22,96.09|97.66|97.66|97.27|96.88|96.88|96.09|96.48,0.732
pusht,gcrouter_off_s42_ds2_tauown,75,8,42|43|44|45|46|47|48|49,95.70,0.23,96.48|95.70|94.53|95.31|96.09|96.48|95.31|95.70,0.722
pusht,gd_router_ds1_tauown,75,8,42|43|44|45|46|47|48|49,94.73,0.50,94.53|96.88|92.58|95.31|92.97|95.31|95.70|94.53,0.602
pusht,gd_router_ds2_tauown,75,8,42|43|44|45|46|47|48|49,95.26,0.53,95.31|95.70|93.36|98.05|96.09|95.31|93.36|94.92,0.600
pusht,icem_router_ds1_tauown,75,8,42|43|44|45|46|47|48|49,90.92,0.40,88.67|91.80|91.41|92.19|91.80|90.62|90.62|90.23,0.639
pusht,icem_router_ds2_tauown,75,8,42|43|44|45|46|47|48|49,91.55,0.51,89.45|93.75|90.62|90.62|91.80|91.80|93.36|91.02,0.635
pusht,mppi_router_ds1_tauown,75,8,42|43|44|45|46|47|48|49,93.56,0.69,96.09|94.14|91.02|91.41|93.75|94.53|91.80|95.70,0.663
pusht,mppi_router_ds2_tauown,75,8,42|43|44|45|46|47|48|49,93.07,0.52,91.02|93.75|92.97|92.58|91.41|93.75|93.36|95.70,0.657
pusht,router_ds1_tauown,75,8,42|43|44|45|46|47|48|49,94.29,0.54,95.70|96.09|91.41|93.36|95.31|94.53|93.36|94.53,0.593
pusht,router_ds2_tauown,75,8,42|43|44|45|46|47|48|49,93.90,0.35,93.75|93.75|93.75|93.75|96.09|92.97|92.97|94.14,0.583
pusht,gcrouter_off_s42_ds1_tauown,100,8,42|43|44|45|46|47|48|49,96.09,0.44,97.27|96.09|95.31|96.88|93.75|95.70|97.66|96.09,0.721
pusht,gcrouter_off_s42_ds2_tauown,100,8,42|43|44|45|46|47|48|49,95.46,0.18,95.31|94.92|95.70|95.70|96.09|95.70|95.70|94.53,0.721
