env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,icem_blind2,25,8,42|43|44|45|46|47|48|49,99.07,0.13,98.83|99.22|99.22|99.22|99.61|98.44|99.22|98.83,0.700
pusht,icem_ffjepa_s10k3,25,8,42|43|44|45|46|47|48|49,98.98,0.10,98.83|99.22|98.83|98.83|98.44|99.22|99.22|99.22,
pusht,icem_flat_rh5,25,8,42|43|44|45|46|47|48|49,97.56,0.18,97.66|96.88|97.66|97.66|98.44|97.66|97.66|96.88,
pusht,icem_surveyor,25,8,42|43|44|45|46|47|48|49,99.03,0.13,98.44|99.22|98.83|98.83|99.22|99.61|99.22|98.83,0.875
pusht,mppi_blind2,25,8,42|43|44|45|46|47|48|49,96.83,0.45,98.05|97.66|97.66|97.66|96.88|96.88|94.53|95.31,0.691
pusht,mppi_ffjepa_s10k3,25,8,42|43|44|45|46|47|48|49,97.56,0.24,98.05|96.88|96.88|98.44|97.27|96.88|97.66|98.44,
pusht,mppi_flat_rh5,25,8,42|43|44|45|46|47|48|49,89.16,0.77,89.84|88.67|86.72|91.41|88.28|92.19|85.94|90.23,
pusht,mppi_surveyor,25,8,42|43|44|45|46|47|48|49,97.66,0.28,97.27|96.88|98.44|98.83|97.66|96.48|98.05|97.66,0.879
pusht,icem_blind2,50,8,42|43|44|45|46|47|48|49,95.75,0.46,96.48|96.48|95.70|94.92|96.88|94.92|93.36|97.27,0.543
pusht,icem_ffjepa_s10k3,50,8,42|43|44|45|46|47|48|49,92.29,0.54,93.75|93.36|92.97|90.62|91.02|91.02|91.02|94.53,
pusht,icem_flat_rh5,50,8,42|43|44|45|46|47|48|49,47.02,0.51,45.70|44.53|49.22|47.66|46.48|47.27|47.27|48.05,
pusht,icem_surveyor,50,8,42|43|44|45|46|47|48|49,93.90,0.54,96.09|92.58|92.19|92.19|95.70|94.14|93.75|94.53,0.729
pusht,mppi_blind2,50,8,42|43|44|45|46|47|48|49,92.97,0.63,91.02|90.23|93.75|93.75|93.75|91.80|95.70|93.75,0.535
pusht,mppi_ffjepa_s10k3,50,8,42|43|44|45|46|47|48|49,93.55,0.73,91.41|93.36|96.09|90.62|92.58|96.48|94.14|93.75,
pusht,mppi_flat_rh5,50,8,42|43|44|45|46|47|48|49,51.27,1.17,52.73|49.61|57.03|54.69|49.61|50.00|49.61|46.88,
pusht,mppi_surveyor,50,8,42|43|44|45|46|47|48|49,94.58,0.41,92.97|94.53|95.31|95.31|93.75|96.48|93.36|94.92,0.757
pusht,icem_blind2,75,8,42|43|44|45|46|47|48|49,95.36,0.45,94.14|96.09|97.27|96.09|94.92|94.92|93.36|96.09,0.531
pusht,icem_ffjepa_s10k3,75,8,42|43|44|45|46|47|48|49,89.40,0.43,88.67|87.50|89.84|88.67|89.45|89.06|90.62|91.41,
pusht,icem_flat_rh5,75,8,42|43|44|45|46|47|48|49,19.48,0.39,21.09|19.92|20.31|20.31|18.36|17.97|18.75|19.14,
pusht,icem_surveyor,75,8,42|43|44|45|46|47|48|49,92.63,0.41,90.23|93.36|93.36|93.75|92.58|93.36|91.80|92.58,0.724
pusht,mppi_blind2,75,8,42|43|44|45|46|47|48|49,91.85,0.74,90.23|88.67|92.97|91.41|95.70|91.02|92.97|91.80,0.529
pusht,mppi_ffjepa_s10k3,75,8,42|43|44|45|46|47|48|49,93.07,0.50,95.31|93.36|92.58|93.36|93.75|93.36|92.58|90.23,
pusht,mppi_flat_rh5,75,8,42|43|44|45|46|47|48|49,21.05,0.58,19.92|19.14|23.44|22.27|18.75|22.27|21.48|21.09,
pusht,mppi_surveyor,75,8,42|43|44|45|46|47|48|49,94.72,0.34,93.36|93.75|94.14|94.92|96.09|95.31|95.70|94.53,0.733
pusht,icem_blind2,100,8,42|43|44|45|46|47|48|49,94.43,0.37,94.92|95.31|92.97|92.97|95.31|94.92|95.31|93.75,0.517
pusht,icem_ffjepa_s10k3,100,8,42|43|44|45|46|47|48|49,88.04,0.42,87.50|87.89|87.11|87.89|90.23|89.45|87.11|87.11,
pusht,icem_flat_rh5,100,8,42|43|44|45|46|47|48|49,11.92,0.33,11.33|10.55|11.33|11.33|13.28|12.89|12.11|12.50,
pusht,icem_surveyor,100,8,42|43|44|45|46|47|48|49,91.85,0.50,93.36|92.19|92.58|89.45|93.36|92.19|90.23|91.41,0.705
pusht,mppi_blind2,100,8,42|43|44|45|46|47|48|49,93.21,0.74,89.45|93.75|91.80|93.36|96.88|92.97|94.14|93.36,0.517
pusht,mppi_ffjepa_s10k3,100,8,42|43|44|45|46|47|48|49,94.33,0.24,94.53|93.75|93.36|94.53|94.53|94.14|95.70|94.14,
pusht,mppi_flat_rh5,100,8,42|43|44|45|46|47|48|49,12.50,0.69,12.50|9.77|13.28|14.84|10.16|14.84|13.28|11.33,
pusht,mppi_surveyor,100,8,42|43|44|45|46|47|48|49,95.70,0.34,94.92|94.53|95.70|95.70|97.27|94.92|96.88|95.70,0.715
pusht,icem_blind2,150,8,42|43|44|45|46|47|48|49,94.97,0.39,93.75|94.92|94.92|97.27|95.31|94.14|94.14|95.31,0.511
pusht,icem_ffjepa_s10k3,150,8,42|43|44|45|46|47|48|49,92.14,0.37,92.19|91.02|93.36|93.36|92.19|92.97|91.41|90.62,
pusht,icem_flat_rh5,150,8,42|43|44|45|46|47|48|49,1.80,0.10,1.56|1.95|2.34|1.56|1.95|1.56|1.95|1.56,
pusht,icem_surveyor,150,8,42|43|44|45|46|47|48|49,93.41,0.87,92.58|91.02|93.75|96.88|92.97|95.70|94.92|89.45,0.725
pusht,mppi_blind2,150,8,42|43|44|45|46|47|48|49,93.60,0.31,92.97|94.53|92.97|93.75|93.75|93.75|94.92|92.19,0.511
pusht,mppi_ffjepa_s10k3,150,8,42|43|44|45|46|47|48|49,94.82,0.31,95.31|95.70|94.92|93.75|95.31|94.53|93.36|95.70,
pusht,mppi_flat_rh5,150,8,42|43|44|45|46|47|48|49,4.25,0.40,3.52|3.52|2.73|5.08|4.69|4.69|6.25|3.52,
pusht,mppi_surveyor,150,8,42|43|44|45|46|47|48|49,94.39,0.69,94.92|92.58|97.27|94.14|91.80|96.88|92.97|94.53,0.728
reacher,icem_ffjepa_s10k8,25,8,42|43|44|45|46|47|48|49,61.52,2.84,58.59|63.28|62.50|67.19|61.72|46.09|58.59|74.22,
reacher,icem_flat_rh5,25,8,42|43|44|45|46|47|48|49,84.77,0.21,85.16|84.38|84.38|84.38|85.16|85.94|84.38|84.38,
reacher,icem_surveyor,25,8,42|43|44|45|46|47|48|49,50.39,1.27,48.44|47.66|55.47|55.47|48.44|46.09|52.34|49.22,0.611
reacher,mppi_ffjepa_s10k8,25,8,42|43|44|45|46|47|48|49,54.20,1.19,58.59|49.22|53.91|53.91|56.25|57.81|50.00|53.91,
reacher,mppi_flat_rh5,25,8,42|43|44|45|46|47|48|49,44.24,1.52,50.78|46.88|40.62|45.31|39.06|42.97|48.44|39.84,
reacher,mppi_surveyor,25,8,42|43|44|45|46|47|48|49,53.61,1.05,52.34|50.00|57.03|50.78|51.56|53.12|57.03|57.03,0.931
reacher,icem_ffjepa_s10k8,50,8,42|43|44|45|46|47|48|49,83.79,0.55,85.94|82.81|83.59|85.94|84.38|82.03|83.59|82.03,
reacher,icem_flat_rh5,50,8,42|43|44|45|46|47|48|49,96.78,0.23,96.88|96.88|97.66|96.09|96.88|97.66|96.09|96.09,
reacher,icem_surveyor,50,8,42|43|44|45|46|47|48|49,71.97,1.48,74.22|73.44|75.78|67.97|66.41|67.19|77.34|73.44,0.574
reacher,mppi_ffjepa_s10k8,50,8,42|43|44|45|46|47|48|49,75.98,1.44,71.88|81.25|78.12|78.12|75.00|75.78|68.75|78.91,
reacher,mppi_flat_rh5,50,8,42|43|44|45|46|47|48|49,64.84,1.21,58.59|64.84|63.28|69.53|67.97|65.62|62.50|66.41,
reacher,mppi_surveyor,50,8,42|43|44|45|46|47|48|49,75.49,0.93,77.34|71.88|75.00|75.00|71.88|75.78|78.91|78.12,0.923
reacher,icem_ffjepa_s10k8,100,8,42|43|44|45|46|47|48|49,93.26,0.42,90.62|93.75|93.75|94.53|93.75|92.97|93.75|92.97,
reacher,icem_flat_rh5,100,8,42|43|44|45|46|47|48|49,82.42,0.21,82.81|82.81|82.03|82.03|82.81|81.25|82.81|82.81,
reacher,icem_surveyor,100,8,42|43|44|45|46|47|48|49,89.55,0.83,91.41|84.38|92.19|89.84|89.06|90.62|89.84|89.06,0.567
reacher,mppi_ffjepa_s10k8,100,8,42|43|44|45|46|47|48|49,92.97,0.51,90.62|95.31|93.75|92.97|92.97|93.75|92.97|91.41,
reacher,mppi_flat_rh5,100,8,42|43|44|45|46|47|48|49,82.42,0.99,82.81|85.16|81.25|79.69|83.59|77.34|84.38|85.16,
reacher,mppi_surveyor,100,8,42|43|44|45|46|47|48|49,90.62,0.49,90.62|90.62|89.06|90.62|92.19|91.41|88.28|92.19,0.922
reacher,icem_ffjepa_s10k8,150,8,42|43|44|45|46|47|48|49,93.06,0.63,93.75|90.62|89.84|94.53|93.75|93.75|93.75|94.53,
reacher,icem_flat_rh5,150,8,42|43|44|45|46|47|48|49,74.12,0.40,75.00|75.00|75.00|75.00|71.88|74.22|73.44|73.44,
reacher,icem_surveyor,150,8,42|43|44|45|46|47|48|49,91.80,0.69,89.84|90.62|90.62|92.97|96.09|91.41|91.41|91.41,0.587
reacher,mppi_ffjepa_s10k8,150,8,42|43|44|45|46|47|48|49,91.70,0.42,91.41|89.84|90.62|92.19|92.19|91.41|92.19|93.75,
reacher,mppi_flat_rh5,150,8,42|43|44|45|46|47|48|49,81.45,0.75,78.91|83.59|81.25|83.59|84.38|79.69|80.47|79.69,
reacher,mppi_surveyor,150,8,42|43|44|45|46|47|48|49,92.58,0.74,94.53|94.53|92.19|88.28|93.75|91.41|92.19|93.75,0.925
