env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
tworoom,flat_rh5,25,8,42|43|44|45|46|47|48|49,78.32,2.48,89.06|75.00|75.00|78.12|76.56|89.06|73.44|70.31,
tworoom,flat_rh5,50,8,42|43|44|45|46|47|48|49,59.77,2.28,62.50|60.94|50.00|50.00|64.06|67.19|64.06|59.38,
tworoom,flat_rh5,75,8,42|43|44|45|46|47|48|49,39.26,2.22,35.94|29.69|43.75|31.25|43.75|46.88|42.19|40.62,
tworoom,flat_rh2,25,8,42|43|44|45|46|47|48|49,75.00,3.08,90.62|75.00|67.19|75.00|71.88|84.38|71.88|64.06,
tworoom,flat_rh2,50,8,42|43|44|45|46|47|48|49,60.74,1.46,65.62|57.81|54.69|62.50|60.94|65.62|62.50|56.25,
tworoom,flat_rh2,75,8,42|43|44|45|46|47|48|49,42.19,2.57,37.50|42.19|50.00|29.69|53.12|43.75|42.19|39.06,
tworoom,gcidm,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
tworoom,gcidm,50,8,42|43|44|45|46|47|48|49,99.81,0.20,100.00|100.00|100.00|100.00|100.00|100.00|100.00|98.44,
tworoom,gcidm,75,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
tworoom,flat_rh2_theirs,25,8,42|43|44|45|46|47|48|49,77.93,2.53,84.38|76.56|75.00|87.50|84.38|78.12|70.31|67.19,
tworoom,gcidm_theirs,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
tworoom,pair_accept,25,8,42|43|44|45|46|47|48|49,65.23,2.04,71.88|57.81|67.19|64.06|67.19|65.62|56.25|71.88,0.964
tworoom,pair_accept_theirs,25,8,42|43|44|45|46|47|48|49,69.14,1.72,65.62|68.75|71.88|79.69|67.19|68.75|64.06|67.19,0.965
tworoom,pair_blind,25,8,42|43|44|45|46|47|48|49,65.43,1.76,71.88|60.94|59.38|65.62|68.75|70.31|59.38|67.19,0.438
tworoom,pair_every,25,8,42|43|44|45|46|47|48|49,67.38,1.83,70.31|59.38|67.19|68.75|71.88|70.31|59.38|71.88,1.000
tworoom,pair_every_theirs,25,8,42|43|44|45|46|47|48|49,66.80,1.79,67.19|68.75|70.31|75.00|62.50|68.75|59.38|62.50,1.000
tworoom,random,25,8,42|43|44|45|46|47|48|49,21.29,1.79,31.25|18.75|21.88|14.06|25.00|20.31|20.31|18.75,
tworoom,pair_accept,50,8,42|43|44|45|46|47|48|49,64.06,2.33,67.19|67.19|59.38|60.94|71.88|60.94|53.12|71.88,0.965
tworoom,pair_blind,50,8,42|43|44|45|46|47|48|49,55.08,2.36,60.94|65.62|46.88|54.69|54.69|56.25|45.31|56.25,0.399
tworoom,pair_every,50,8,42|43|44|45|46|47|48|49,68.56,1.99,76.56|64.06|64.06|71.88|71.88|71.88|59.38|68.75,1.000
tworoom,random,50,8,42|43|44|45|46|47|48|49,8.98,1.17,12.50|7.81|3.12|14.06|7.81|9.38|7.81|9.38,
tworoom,pair_accept,75,8,42|43|44|45|46|47|48|49,56.45,2.31,57.81|54.69|65.62|43.75|59.38|51.56|59.38|59.38,0.956
tworoom,pair_blind,75,8,42|43|44|45|46|47|48|49,47.66,2.36,51.56|35.94|53.12|42.19|51.56|42.19|54.69|50.00,0.345
tworoom,pair_every,75,8,42|43|44|45|46|47|48|49,56.45,1.12,57.81|56.25|51.56|54.69|59.38|57.81|53.12|60.94,1.000
tworoom,random,75,8,42|43|44|45|46|47|48|49,3.91,0.51,4.69|4.69|4.69|1.56|1.56|4.69|4.69|4.69,
