env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,leflow_accept,25,8,42|43|44|45|46|47|48|49,61.82,0.38,62.11|62.50|62.11|61.33|62.11|62.11|59.38|62.89,0.992
pusht,leflow_blind,25,8,42|43|44|45|46|47|48|49,78.03,0.67,76.56|76.56|77.34|76.17|78.52|78.91|78.12|82.03,0.400
pusht,leflow_every,25,8,42|43|44|45|46|47|48|49,61.91,0.60,59.77|62.11|63.67|62.89|64.45|61.33|59.77|61.33,1.000
pusht,leflow_rh10,25,8,42|43|44|45|46|47|48|49,88.08,0.35,89.06|89.45|86.72|88.67|87.89|87.89|86.72|88.28,
pusht,leflow,25,8,42|43|44|45|46|47|48|49,99.61,0.10,99.61|99.22|99.22|99.61|100.00|100.00|99.61|99.61,
pusht,leflow_accept,50,8,42|43|44|45|46|47|48|49,26.85,0.45,27.34|28.52|25.00|26.95|27.73|26.56|25.00|27.73,0.986
pusht,leflow_blind,50,8,42|43|44|45|46|47|48|49,65.82,0.83,69.53|67.97|63.67|66.41|64.06|62.50|66.80|65.62,0.400
pusht,leflow_every,50,8,42|43|44|45|46|47|48|49,26.56,0.36,25.39|28.12|28.12|25.78|26.56|26.17|26.17|26.17,1.000
pusht,leflow_rh10,50,8,42|43|44|45|46|47|48|49,88.28,0.65,89.45|89.06|87.50|88.28|88.67|90.62|88.28|84.38,
pusht,leflow,50,8,42|43|44|45|46|47|48|49,83.35,0.52,83.59|81.25|83.59|85.55|83.98|83.20|81.25|84.38,
pusht,leflow_accept,75,8,42|43|44|45|46|47|48|49,19.29,0.39,18.75|19.92|19.53|17.97|20.70|18.75|20.70|17.97,0.984
pusht,leflow_blind,75,8,42|43|44|45|46|47|48|49,68.02,1.18,69.53|73.05|67.19|63.28|68.75|63.28|69.53|69.53,0.333
pusht,leflow_every,75,8,42|43|44|45|46|47|48|49,20.51,0.72,17.58|22.27|19.92|19.14|21.88|20.31|19.14|23.83,1.000
pusht,leflow_rh10,75,8,42|43|44|45|46|47|48|49,66.84,0.83,71.48|65.62|66.80|69.14|65.62|65.23|66.41|64.45,
pusht,leflow,75,8,42|43|44|45|46|47|48|49,49.80,0.59,48.83|48.05|49.61|49.61|52.34|52.34|49.22|48.44,
pusht,leflow_accept,100,8,42|43|44|45|46|47|48|49,14.60,0.42,16.41|14.45|16.41|13.67|14.45|13.67|14.45|13.28,0.982
pusht,leflow_blind,100,8,42|43|44|45|46|47|48|49,66.02,0.76,62.89|64.45|64.84|66.80|65.23|69.92|66.41|67.58,0.350
pusht,leflow_every,100,8,42|43|44|45|46|47|48|49,14.89,0.51,15.62|13.67|14.06|13.28|17.19|16.41|13.67|15.23,1.000
pusht,leflow_rh10,100,8,42|43|44|45|46|47|48|49,47.66,0.54,48.05|47.27|47.66|46.48|48.83|50.00|44.92|48.05,
pusht,leflow,100,8,42|43|44|45|46|47|48|49,31.35,0.62,33.98|30.08|32.42|32.42|31.64|31.25|30.86|28.12,
pusht,leflow_accept,150,8,42|43|44|45|46|47|48|49,10.26,0.51,10.55|10.94|10.94|9.77|7.42|10.16|12.50|9.77,0.986
pusht,leflow_blind,150,8,42|43|44|45|46|47|48|49,68.94,0.31,69.14|69.92|68.36|67.58|69.92|67.97|69.14|69.53,0.333
pusht,leflow_every,150,8,42|43|44|45|46|47|48|49,8.89,0.36,8.59|9.38|7.81|9.77|8.98|9.77|9.77|7.03,1.000
pusht,leflow_rh10,150,8,42|43|44|45|46|47|48|49,24.37,0.94,28.12|19.92|22.27|26.17|24.61|26.56|22.66|24.61,
pusht,leflow,150,8,42|43|44|45|46|47|48|49,5.57,0.36,5.86|4.69|4.69|5.86|5.47|6.25|7.42|4.30,
reacher,leflow_accept,25,8,42|43|44|45|46|47|48|49,19.82,1.23,20.31|17.19|15.62|21.88|23.44|23.44|14.84|21.88,0.946
reacher,leflow_blind,25,8,42|43|44|45|46|47|48|49,20.90,1.40,24.22|20.31|26.56|23.44|21.88|19.53|14.84|16.41,0.400
reacher,leflow_every,25,8,42|43|44|45|46|47|48|49,19.43,0.88,21.09|20.31|18.75|19.53|19.53|19.53|14.06|22.66,1.000
reacher,leflow_rh10,25,8,42|43|44|45|46|47|48|49,31.54,1.50,30.47|25.78|31.25|31.25|38.28|32.81|26.56|35.94,
reacher,leflow,25,8,42|43|44|45|46|47|48|49,88.28,1.02,86.72|84.38|85.16|89.06|87.50|92.97|90.62|89.84,
reacher,leflow_accept,50,8,42|43|44|45|46|47|48|49,33.11,1.41,29.69|35.94|34.38|30.47|31.25|38.28|37.50|27.34,0.936
reacher,leflow_blind,50,8,42|43|44|45|46|47|48|49,27.15,1.55,30.47|35.94|25.00|21.88|25.00|24.22|27.34|27.34,0.400
reacher,leflow_every,50,8,42|43|44|45|46|47|48|49,31.25,1.04,31.25|28.91|36.72|32.81|31.25|28.91|32.81|27.34,1.000
reacher,leflow_rh10,50,8,42|43|44|45|46|47|48|49,46.49,1.55,41.41|46.88|53.91|47.66|50.00|42.97|41.41|47.66,
