env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,gcblind_off_s42,25,8,42|43|44|45|46|47|48|49,99.17,0.09,98.83|98.83|99.22|99.22|99.22|99.22|99.22|99.61,0.400
pusht,gcevery_off_s42,25,8,42|43|44|45|46|47|48|49,99.27,0.12,99.61|99.22|98.83|99.61|99.22|99.61|98.83|99.22,1.000
pusht,gcidm_off_s123,25,8,42|43|44|45|46|47|48|49,98.05,0.00,98.05|98.05|98.05|98.05|98.05|98.05|98.05|98.05,
pusht,gcidm_off_s42,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
pusht,gcidm_off_s456,25,8,42|43|44|45|46|47|48|49,98.83,0.00,98.83|98.83|98.83|98.83|98.83|98.83|98.83|98.83,
pusht,gcsurv_off_s123,25,8,42|43|44|45|46|47|48|49,99.22,0.07,98.83|99.22|99.22|99.22|99.22|99.22|99.61|99.22,0.891
pusht,gcsurv_off_s42,25,8,42|43|44|45|46|47|48|49,99.27,0.09,98.83|99.22|99.22|99.22|99.22|99.61|99.61|99.22,0.891
pusht,gcsurv_off_s456,25,8,42|43|44|45|46|47|48|49,99.32,0.12,99.22|99.22|99.22|99.22|99.22|100.00|99.61|98.83,0.889
pusht,gcblind_off_s42,50,8,42|43|44|45|46|47|48|49,94.87,0.43,94.53|94.14|93.75|94.14|93.75|96.48|96.88|95.31,0.400
pusht,gcevery_off_s42,50,8,42|43|44|45|46|47|48|49,96.19,0.35,95.70|97.27|94.92|94.92|96.88|97.27|95.70|96.88,1.000
pusht,gcidm_off_s123,50,8,42|43|44|45|46|47|48|49,94.72,0.10,94.53|95.31|94.53|94.53|94.92|94.53|94.92|94.53,
pusht,gcidm_off_s42,50,8,42|43|44|45|46|47|48|49,97.32,0.12,97.27|97.27|97.27|97.27|96.88|97.27|97.27|98.05,
pusht,gcidm_off_s456,50,8,42|43|44|45|46|47|48|49,94.87,0.12,94.92|94.92|94.53|94.53|94.92|95.31|95.31|94.53,
pusht,gcsurv_off_s123,50,8,42|43|44|45|46|47|48|49,96.53,0.35,96.09|97.27|94.53|96.48|96.88|97.66|96.09|97.27,0.789
pusht,gcsurv_off_s42,50,8,42|43|44|45|46|47|48|49,96.09,0.34,97.66|96.88|94.53|95.31|96.09|96.48|95.70|96.09,0.791
pusht,gcsurv_off_s456,50,8,42|43|44|45|46|47|48|49,95.75,0.30,96.88|94.92|95.31|96.88|94.92|94.92|96.09|96.09,0.787
pusht,gcblind_off_s42,75,8,42|43|44|45|46|47|48|49,93.65,0.29,94.92|93.36|93.75|94.53|92.19|93.75|93.36|93.36,0.333
pusht,gcevery_off_s42,75,8,42|43|44|45|46|47|48|49,94.24,0.34,94.14|95.31|94.14|93.36|94.14|92.58|95.31|94.92,1.000
pusht,gcidm_off_s123,75,8,42|43|44|45|46|47|48|49,87.21,0.14,87.89|87.11|87.50|86.72|87.11|86.72|87.11|87.50,
pusht,gcidm_off_s42,75,8,42|43|44|45|46|47|48|49,92.19,0.18,91.80|93.36|92.19|92.19|92.19|91.80|91.80|92.19,
pusht,gcidm_off_s456,75,8,42|43|44|45|46|47|48|49,91.85,0.20,91.41|92.58|91.80|91.41|92.19|92.58|91.02|91.80,
pusht,gcsurv_off_s123,75,8,42|43|44|45|46|47|48|49,95.75,0.40,95.31|96.48|94.92|96.48|93.75|96.48|95.31|97.27,0.766
pusht,gcsurv_off_s42,75,8,42|43|44|45|46|47|48|49,96.09,0.34,96.88|96.09|96.48|96.09|95.70|94.53|95.31|97.66,0.765
pusht,gcsurv_off_s456,75,8,42|43|44|45|46|47|48|49,95.36,0.32,95.31|96.09|96.48|96.09|94.14|94.14|95.70|94.92,0.761
pusht,gcblind_off_s42,100,8,42|43|44|45|46|47|48|49,95.16,0.32,96.09|96.09|95.70|94.92|95.31|94.53|93.36|95.31,0.350
pusht,gcevery_off_s42,100,8,42|43|44|45|46|47|48|49,94.92,0.30,95.31|94.53|96.48|95.31|94.53|95.31|93.75|94.14,1.000
pusht,gcidm_off_s123,100,8,42|43|44|45|46|47|48|49,82.32,0.16,82.03|82.42|82.81|82.03|82.81|81.64|82.81|82.03,
pusht,gcidm_off_s42,100,8,42|43|44|45|46|47|48|49,91.07,0.20,91.80|91.02|91.41|91.41|90.23|90.23|91.41|91.02,
pusht,gcidm_off_s456,100,8,42|43|44|45|46|47|48|49,91.41,0.20,91.41|91.80|91.80|91.80|91.41|91.02|90.23|91.80,
pusht,gcsurv_off_s123,100,8,42|43|44|45|46|47|48|49,94.92,0.44,93.75|93.75|95.31|95.70|93.75|94.14|96.88|96.09,0.756
pusht,gcsurv_off_s42,100,8,42|43|44|45|46|47|48|49,95.46,0.45,96.48|96.09|93.75|97.27|94.92|94.53|94.14|96.48,0.756
pusht,gcsurv_off_s456,100,8,42|43|44|45|46|47|48|49,94.72,0.36,95.31|96.48|92.97|94.92|94.92|94.14|94.92|94.14,0.758
pusht,gcblind_off_s42,150,8,42|43|44|45|46|47|48|49,95.65,0.32,96.88|95.31|95.31|96.88|95.31|95.70|94.14|95.70,0.333
pusht,gcevery_off_s42,150,8,42|43|44|45|46|47|48|49,94.87,0.28,95.70|95.31|93.36|94.92|94.92|95.70|94.92|94.14,1.000
pusht,gcidm_off_s123,150,8,42|43|44|45|46|47|48|49,60.55,0.30,59.77|60.55|61.33|59.38|59.77|61.72|61.33|60.55,
pusht,gcidm_off_s42,150,8,42|43|44|45|46|47|48|49,62.74,0.25,62.11|62.11|62.89|63.28|62.11|62.11|63.67|63.67,
pusht,gcidm_off_s456,150,8,42|43|44|45|46|47|48|49,49.71,0.27,50.39|49.61|49.61|48.05|49.61|49.61|50.39|50.39,
pusht,gcsurv_off_s123,150,8,42|43|44|45|46|47|48|49,94.73,0.52,94.53|94.14|96.48|95.31|95.31|92.97|96.48|92.58,0.775
pusht,gcsurv_off_s42,150,8,42|43|44|45|46|47|48|49,93.99,0.55,95.70|94.14|96.09|94.14|92.58|92.58|94.92|91.80,0.773
pusht,gcsurv_off_s456,150,8,42|43|44|45|46|47|48|49,94.63,0.23,93.75|95.31|95.31|94.14|93.75|94.92|94.92|94.92,0.775
reacher,gcblind_off_s42,25,8,42|43|44|45|46|47|48|49,54.10,1.29,55.47|54.69|53.91|55.47|57.03|55.47|45.31|55.47,0.400
reacher,gcevery_off_s42,25,8,42|43|44|45|46|47|48|49,80.57,1.52,74.22|78.12|79.69|79.69|85.16|79.69|79.69|88.28,1.000
reacher,gcidm_off_s123,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
reacher,gcidm_off_s42,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
reacher,gcidm_off_s456,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
reacher,gcsurv_off_s123,25,8,42|43|44|45|46|47|48|49,54.10,0.55,52.34|53.12|55.47|53.91|53.12|57.03|53.12|54.69,0.499
reacher,gcsurv_off_s42,25,8,42|43|44|45|46|47|48|49,54.10,0.99,52.34|50.78|53.91|50.78|57.81|55.47|57.81|53.91,0.501
reacher,gcsurv_off_s456,25,8,42|43|44|45|46|47|48|49,53.81,1.65,47.66|46.88|52.34|60.16|54.69|56.25|57.81|54.69,0.500
reacher,gcblind_off_s42,50,8,42|43|44|45|46|47|48|49,71.87,1.86,64.84|65.62|75.78|76.56|69.53|68.75|77.34|76.56,0.400
reacher,gcevery_off_s42,50,8,42|43|44|45|46|47|48|49,96.09,0.42,95.31|96.88|94.53|94.53|96.88|96.88|96.09|97.66,1.000
reacher,gcidm_off_s123,50,8,42|43|44|45|46|47|48|49,99.22,0.00,99.22|99.22|99.22|99.22|99.22|99.22|99.22|99.22,
reacher,gcidm_off_s42,50,8,42|43|44|45|46|47|48|49,99.22,0.00,99.22|99.22|99.22|99.22|99.22|99.22|99.22|99.22,
reacher,gcidm_off_s456,50,8,42|43|44|45|46|47|48|49,99.22,0.00,99.22|99.22|99.22|99.22|99.22|99.22|99.22|99.22,
reacher,gcsurv_off_s123,50,8,42|43|44|45|46|47|48|49,76.56,0.72,75.00|73.44|78.12|75.00|78.91|78.91|75.78|77.34,0.529
reacher,gcsurv_off_s42,50,8,42|43|44|45|46|47|48|49,76.76,0.67,74.22|77.34|78.91|79.69|75.78|75.00|77.34|75.78,0.526
reacher,gcsurv_off_s456,50,8,42|43|44|45|46|47|48|49,76.85,1.23,77.34|77.34|79.69|81.25|78.12|73.44|70.31|77.34,0.530
reacher,gcblind_off_s42,100,8,42|43|44|45|46|47|48|49,90.33,0.49,89.06|91.41|90.62|88.28|91.41|89.06|92.19|90.62,0.350
reacher,gcevery_off_s42,100,8,42|43|44|45|46|47|48|49,96.48,0.26,96.09|97.66|96.88|96.88|95.31|96.09|96.09|96.88,1.000
reacher,gcidm_off_s123,100,8,42|43|44|45|46|47|48|49,96.88,0.00,96.88|96.88|96.88|96.88|96.88|96.88|96.88|96.88,
reacher,gcidm_off_s42,100,8,42|43|44|45|46|47|48|49,96.88,0.00,96.88|96.88|96.88|96.88|96.88|96.88|96.88|96.88,
reacher,gcidm_off_s456,100,8,42|43|44|45|46|47|48|49,96.88,0.00,96.88|96.88|96.88|96.88|96.88|96.88|96.88|96.88,
reacher,gcsurv_off_s123,100,8,42|43|44|45|46|47|48|49,92.58,0.59,89.06|93.75|93.75|92.19|91.41|92.97|93.75|93.75,0.572
reacher,gcsurv_off_s42,100,8,42|43|44|45|46|47|48|49,92.19,0.36,93.75|90.62|92.97|91.41|91.41|92.19|92.19|92.97,0.570
reacher,gcsurv_off_s456,100,8,42|43|44|45|46|47|48|49,93.26,0.69,93.75|90.62|92.19|96.88|94.53|91.41|93.75|92.97,0.578
reacher,gcblind_off_s42,150,8,42|43|44|45|46|47|48|49,93.17,0.48,92.19|93.75|93.75|91.41|95.31|91.41|93.75|93.75,0.333
reacher,gcevery_off_s42,150,8,42|43|44|45|46|47|48|49,95.31,0.36,96.09|95.31|93.75|96.88|95.31|94.53|94.53|96.09,1.000
reacher,gcidm_off_s123,150,8,42|43|44|45|46|47|48|49,91.41,0.00,91.41|91.41|91.41|91.41|91.41|91.41|91.41|91.41,
reacher,gcidm_off_s42,150,8,42|43|44|45|46|47|48|49,97.66,0.00,97.66|97.66|97.66|97.66|97.66|97.66|97.66|97.66,
reacher,gcidm_off_s456,150,8,42|43|44|45|46|47|48|49,88.28,0.00,88.28|88.28|88.28|88.28|88.28|88.28|88.28|88.28,
reacher,gcsurv_off_s123,150,8,42|43|44|45|46|47|48|49,94.14,0.55,92.97|95.31|92.97|96.88|95.31|92.19|93.75|93.75,0.603
reacher,gcsurv_off_s42,150,8,42|43|44|45|46|47|48|49,94.63,0.31,93.75|95.31|96.09|93.75|94.53|93.75|95.31|94.53,0.604
reacher,gcsurv_off_s456,150,8,42|43|44|45|46|47|48|49,94.04,0.29,94.53|93.75|92.97|94.53|95.31|92.97|94.53|93.75,0.601
