env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,flat_rh5,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,flat_rh5,50,8,42|43|44|45|46|47|48|49,98.93,0.14,99.22|99.22|99.22|98.44|98.44|99.22|98.44|99.22,
cube,flat_rh5,75,8,42|43|44|45|46|47|48|49,94.83,0.82,92.97|96.09|97.66|96.88|91.41|92.19|96.09|95.31,
cube,flat_rh5,100,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,surveyor,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,surveyor,50,8,42|43|44|45|46|47|48|49,99.02,0.38,100.00|97.66|100.00|100.00|98.44|97.66|98.44|100.00,0.991
cube,surveyor,75,8,42|43|44|45|46|47|48|49,96.19,0.27,96.88|94.53|96.88|96.09|96.88|96.09|96.09|96.09,0.966
cube,surveyor,100,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,router,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,router,50,8,42|43|44|45|46|47|48|49,99.90,0.10,99.22|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.125
cube,router,75,8,42|43|44|45|46|47|48|49,99.32,0.23,100.00|99.22|99.22|98.44|98.44|99.22|100.00|100.00,0.250
cube,router,100,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.125
cube,gcidm,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm,75,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm,100,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm_surv,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_surv,50,8,42|43|44|45|46|47|48|49,99.90,0.10,99.22|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.925
cube,gcidm_surv,75,8,42|43|44|45|46|47|48|49,98.05,0.51,96.09|96.88|99.22|99.22|98.44|99.22|96.09|99.22,0.930
cube,gcidm_surv,100,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_every,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_every,50,8,42|43|44|45|46|47|48|49,99.81,0.20,100.00|100.00|98.44|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_every,75,8,42|43|44|45|46|47|48|49,98.34,0.45,96.09|98.44|99.22|100.00|98.44|99.22|96.88|98.44,1.000
cube,gcidm_every,100,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_blind,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_blind,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.416
cube,gcidm_blind,75,8,42|43|44|45|46|47|48|49,99.42,0.38,96.88|99.22|100.00|100.00|100.00|100.00|99.22|100.00,0.333
cube,gcidm_blind,100,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,blindk,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,ffjepa_s10k3,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,icem_blindk,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,icem_ffjepa_s10k3,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
