env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gcblind_off_s123,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcblind_off_s42,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcblind_off_s456,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcevery_off_s123,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcevery_off_s42,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcevery_off_s456,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_off_s123,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm_off_s42,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm_off_s456,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm_router,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcrouter_off_s42,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcsurv_off_s123,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcsurv_off_s42,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcsurv_off_s456,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,leflow_accept,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,leflow_blind,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,leflow_every,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,leflow_rh10,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,leflow_router,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,leflow,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcblind_off_s123,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.333
cube,gcblind_off_s42,50,8,42|43|44|45|46|47|48|49,99.81,0.20,100.00|98.44|100.00|100.00|100.00|100.00|100.00|100.00,0.383
cube,gcblind_off_s456,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.375
cube,gcevery_off_s123,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcevery_off_s42,50,8,42|43|44|45|46|47|48|49,99.81,0.13,99.22|100.00|100.00|100.00|100.00|100.00|99.22|100.00,1.000
cube,gcevery_off_s456,50,8,42|43|44|45|46|47|48|49,99.90,0.10,99.22|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
cube,gcidm_off_s123,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm_off_s42,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm_off_s456,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcidm_router,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.250
cube,gcrouter_off_s42,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.250
cube,gcsurv_off_s123,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.916
cube,gcsurv_off_s42,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.916
cube,gcsurv_off_s456,50,8,42|43|44|45|46|47|48|49,99.90,0.10,99.22|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.913
cube,leflow_accept,50,8,42|43|44|45|46|47|48|49,79.59,1.05,82.03|75.78|82.03|78.12|77.34|84.38|77.34|79.69,0.948
cube,leflow_blind,50,8,42|43|44|45|46|47|48|49,88.67,0.92,85.16|88.28|89.06|89.06|85.94|89.84|88.28|93.75,0.400
cube,leflow_every,50,8,42|43|44|45|46|47|48|49,79.39,1.45,80.47|75.78|76.56|79.69|74.22|85.94|78.12|84.38,1.000
cube,leflow_rh10,50,8,42|43|44|45|46|47|48|49,88.77,1.22,87.50|84.38|92.97|87.50|89.06|92.19|84.38|92.19,
cube,leflow_router,50,8,42|43|44|45|46|47|48|49,88.77,1.37,86.72|83.59|92.97|89.06|89.84|93.75|83.59|90.62,0.250
cube,leflow,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
cube,gcblind_off_s123,75,8,42|43|44|45|46|47|48|49,95.70,0.98,90.62|96.88|97.66|96.09|92.19|98.44|96.88|96.88,0.333
cube,gcblind_off_s42,75,8,42|43|44|45|46|47|48|49,88.67,0.84,88.28|92.19|88.28|87.50|85.16|91.41|89.84|86.72,0.333
cube,gcblind_off_s456,75,8,42|43|44|45|46|47|48|49,94.43,1.01,96.09|93.75|95.31|92.97|88.28|95.31|96.88|96.88,0.333
cube,gcevery_off_s123,75,8,42|43|44|45|46|47|48|49,95.60,0.49,95.31|95.31|95.31|94.53|93.75|96.09|98.44|96.09,1.000
cube,gcevery_off_s42,75,8,42|43|44|45|46|47|48|49,91.50,1.33,90.62|94.53|85.16|91.41|87.50|92.97|96.88|92.97,1.000
cube,gcevery_off_s456,75,8,42|43|44|45|46|47|48|49,95.22,0.58,96.88|93.75|96.09|94.53|92.19|95.31|96.09|96.88,1.000
