JobID|State|Elapsed
2390661_0|COMPLETED|169
2390661_1|COMPLETED|156
2390661_2|COMPLETED|160
2390661_3|COMPLETED|71
2390661_4|COMPLETED|71
2390661_5|COMPLETED|72
2390661_6|COMPLETED|72
2390661_7|COMPLETED|170
2390661_8|COMPLETED|157
2390661_9|COMPLETED|157
2390661_10|COMPLETED|88
2390661_11|COMPLETED|88
2390661_12|COMPLETED|78
2390661_13|COMPLETED|71
2390661_14|COMPLETED|171
2390661_15|COMPLETED|157
2390661_16|COMPLETED|160
2390661_17|COMPLETED|73
2390661_18|COMPLETED|72
2390661_19|COMPLETED|75
2390661_20|COMPLETED|71
2390661_21|COMPLETED|172
2390661_22|COMPLETED|160
2390661_23|COMPLETED|155
2390661_24|COMPLETED|74
2390661_25|COMPLETED|74
2390661_26|COMPLETED|72
2390661_27|COMPLETED|72
2390661_28|COMPLETED|192
2390661_29|COMPLETED|180
2390661_30|COMPLETED|155
2390661_31|COMPLETED|73
2390661_32|COMPLETED|72
2390661_33|COMPLETED|73
2390661_34|COMPLETED|72
2390661_35|COMPLETED|198
2390661_36|COMPLETED|169
2390661_37|COMPLETED|156
2390661_38|COMPLETED|72
2390661_39|COMPLETED|74
2390661_40|COMPLETED|73
2390661_41|COMPLETED|106
2390661_42|COMPLETED|169
2390661_43|COMPLETED|161
2390661_44|COMPLETED|157
2390661_45|COMPLETED|72
2390661_46|COMPLETED|73
2390661_47|COMPLETED|72
2390661_48|COMPLETED|73
2390661_49|COMPLETED|169
2390661_50|COMPLETED|156
2390661_51|COMPLETED|159
2390661_52|COMPLETED|71
2390661_53|COMPLETED|71
2390661_54|COMPLETED|73
2390661_55|COMPLETED|72
2390661_56|COMPLETED|294
2390661_57|COMPLETED|235
2390661_58|COMPLETED|236
2390661_59|COMPLETED|129
2390661_60|COMPLETED|127
2390661_61|COMPLETED|129
2390661_62|COMPLETED|132
2390661_63|COMPLETED|281
2390661_64|COMPLETED|226
2390661_65|COMPLETED|230
2390661_66|COMPLETED|126
2390661_67|COMPLETED|127
2390661_68|COMPLETED|128
2390661_69|COMPLETED|125
2390661_70|COMPLETED|281
2390661_71|COMPLETED|227
2390661_72|COMPLETED|226
2390661_73|COMPLETED|128
2390661_74|COMPLETED|129
2390661_75|COMPLETED|129
2390661_76|COMPLETED|130
2390661_77|COMPLETED|282
2390661_78|COMPLETED|227
2390661_79|COMPLETED|226
2390661_80|COMPLETED|127
2390661_81|COMPLETED|132
2390661_82|COMPLETED|130
2390661_83|COMPLETED|129
2390661_84|COMPLETED|281
2390661_85|COMPLETED|224
2390661_86|COMPLETED|227
2390661_87|COMPLETED|128
2390661_88|COMPLETED|127
2390661_89|COMPLETED|128
2390661_90|COMPLETED|128
2390661_91|COMPLETED|285
2390661_92|COMPLETED|223
2390661_93|COMPLETED|225
2390661_94|COMPLETED|126
2390661_95|COMPLETED|127
2390661_96|COMPLETED|128
2390661_97|COMPLETED|128
2390661_98|COMPLETED|281
2390661_99|COMPLETED|238
2390661_100|COMPLETED|226
2390661_101|COMPLETED|129
2390661_102|COMPLETED|136
2390661_103|COMPLETED|129
