env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gcrouter_off_s42_k2_tauown,25,8,42|43|44|45|46|47|48|49,70.12,0.48,69.53|72.66|69.53|69.53|68.75|71.09|71.09|68.75,0.972
cube,gcrouter_off_s42_k4_tauown,25,8,42|43|44|45|46|47|48|49,77.34,0.66,78.91|75.00|78.91|79.69|75.00|77.34|75.78|78.12,0.549
cube,gcrouter_off_s42_k8_tauown,25,8,42|43|44|45|46|47|48|49,77.25,0.52,79.69|76.56|77.34|78.91|75.00|77.34|76.56|76.56,0.552
cube,gd_router_k2_tauown,25,8,42|43|44|45|46|47|48|49,58.99,0.30,57.81|59.38|57.81|59.38|59.38|59.38|60.16|58.59,0.993
cube,gd_router_k4_tauown,25,8,42|43|44|45|46|47|48|49,62.01,0.74,60.16|60.16|62.50|63.28|61.72|60.94|66.41|60.94,0.764
cube,gd_router_k8_tauown,25,8,42|43|44|45|46|47|48|49,62.89,0.77,60.94|59.38|64.84|63.28|64.84|62.50|65.62|61.72,0.785
cube,icem_router_k2_tauown,25,8,42|43|44|45|46|47|48|49,60.45,0.39,60.16|59.38|59.38|61.72|60.16|61.72|61.72|59.38,0.976
cube,icem_router_k4_tauown,25,8,42|43|44|45|46|47|48|49,62.40,0.31,62.50|62.50|61.72|62.50|62.50|64.06|62.50|60.94,0.729
cube,icem_router_k8_tauown,25,8,42|43|44|45|46|47|48|49,62.70,0.51,61.72|61.72|63.28|62.50|63.28|65.62|62.50|60.94,0.737
cube,mppi_router_k2_tauown,25,8,42|43|44|45|46|47|48|49,41.60,1.14,47.66|38.28|40.62|37.50|40.62|43.75|41.41|42.97,0.994
cube,mppi_router_k4_tauown,25,8,42|43|44|45|46|47|48|49,43.26,0.89,48.44|41.41|40.62|41.41|42.19|44.53|43.75|43.75,0.772
cube,mppi_router_k8_tauown,25,8,42|43|44|45|46|47|48|49,42.09,0.93,46.09|39.06|42.19|39.06|42.97|45.31|40.62|41.41,0.772
cube,router_k2_tauown,25,8,42|43|44|45|46|47|48|49,60.84,0.56,61.72|62.50|60.16|57.81|60.16|62.50|61.72|60.16,0.995
cube,router_k4_tauown,25,8,42|43|44|45|46|47|48|49,66.21,0.81,67.19|64.84|64.84|62.50|65.62|69.53|68.75|66.41,0.757
cube,router_k8_tauown,25,8,42|43|44|45|46|47|48|49,66.31,0.43,67.97|65.62|66.41|64.06|66.41|67.19|67.19|65.62,0.741
cube,gcrouter_off_s42_k2_tauown,150,8,42|43|44|45|46|47|48|49,32.03,0.84,33.59|32.81|28.12|32.81|32.81|32.03|28.91|35.16,0.966
cube,gcrouter_off_s42_k4_tauown,150,8,42|43|44|45|46|47|48|49,45.51,0.94,45.31|47.66|42.97|42.97|50.78|44.53|46.09|43.75,0.554
cube,gcrouter_off_s42_k8_tauown,150,8,42|43|44|45|46|47|48|49,48.34,0.87,46.88|50.00|52.34|45.31|50.00|45.31|48.44|48.44,0.573
cube,gd_router_k2_tauown,150,8,42|43|44|45|46|47|48|49,19.14,0.80,19.53|22.66|15.62|19.53|20.31|16.41|18.75|20.31,0.999
cube,gd_router_k4_tauown,150,8,42|43|44|45|46|47|48|49,26.27,0.97,28.12|26.56|31.25|23.44|27.34|25.00|22.66|25.78,0.530
cube,gd_router_k8_tauown,150,8,42|43|44|45|46|47|48|49,25.39,1.45,25.00|27.34|34.38|21.09|21.88|25.00|24.22|24.22,0.532
cube,icem_router_k2_tauown,150,8,42|43|44|45|46|47|48|49,21.68,0.81,23.44|19.53|20.31|25.78|22.66|18.75|21.09|21.88,0.996
cube,icem_router_k4_tauown,150,8,42|43|44|45|46|47|48|49,24.32,0.83,27.34|21.88|21.88|27.34|24.22|24.22|21.88|25.78,0.508
cube,icem_router_k8_tauown,150,8,42|43|44|45|46|47|48|49,25.39,0.94,28.12|22.66|24.22|28.91|21.88|27.34|23.44|26.56,0.518
cube,mppi_router_k2_tauown,150,8,42|43|44|45|46|47|48|49,11.72,0.87,10.16|16.41|10.16|9.38|9.38|11.72|13.28|13.28,0.999
cube,mppi_router_k4_tauown,150,8,42|43|44|45|46|47|48|49,15.04,0.32,15.62|14.84|13.28|14.84|14.84|14.84|15.62|16.41,0.557
cube,mppi_router_k8_tauown,150,8,42|43|44|45|46|47|48|49,14.16,1.02,13.28|17.19|10.94|16.41|12.50|11.72|12.50|18.75,0.572
cube,router_k2_tauown,150,8,42|43|44|45|46|47|48|49,22.36,1.17,20.31|19.53|25.00|18.75|25.00|20.31|21.88|28.12,1.000
cube,router_k4_tauown,150,8,42|43|44|45|46|47|48|49,26.66,0.85,29.69|21.88|28.12|25.78|28.12|27.34|27.34|25.00,0.524
cube,router_k8_tauown,150,8,42|43|44|45|46|47|48|49,26.66,0.83,27.34|23.44|30.47|27.34|25.78|28.91|25.78|24.22,0.534
pusht,gcrouter_off_s42_k2_tauown,25,8,42|43|44|45|46|47|48|49,93.46,0.24,92.19|94.14|92.97|92.97|93.75|93.75|93.75|94.14,1.000
pusht,gcrouter_off_s42_k4_tauown,25,8,42|43|44|45|46|47|48|49,99.85,0.07,100.00|99.61|99.61|99.61|100.00|100.00|100.00|100.00,0.818
pusht,gcrouter_off_s42_k8_tauown,25,8,42|43|44|45|46|47|48|49,99.90,0.06,100.00|100.00|99.61|100.00|100.00|100.00|99.61|100.00,0.808
pusht,gd_router_k2_tauown,25,8,42|43|44|45|46|47|48|49,98.68,0.30,98.05|100.00|98.83|97.66|97.66|98.83|99.61|98.83,1.000
pusht,gd_router_k4_tauown,25,8,42|43|44|45|46|47|48|49,99.37,0.13,99.61|99.61|99.61|98.83|99.61|99.61|99.22|98.83,0.886
pusht,gd_router_k8_tauown,25,8,42|43|44|45|46|47|48|49,99.12,0.10,99.22|99.22|98.83|98.83|99.61|98.83|99.22|99.22,0.883
pusht,icem_router_k2_tauown,25,8,42|43|44|45|46|47|48|49,96.73,0.21,97.27|96.09|96.88|97.27|97.27|95.70|96.88|96.48,1.000
