env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,flat_rh5,25,8,42|43|44|45|46|47|48|49,54.69,1.27,59.38|54.69|50.00|57.81|55.47|49.22|53.91|57.03,
cube,flat_rh5,50,8,42|43|44|45|46|47|48|49,38.38,0.67,37.50|39.06|39.84|39.06|35.94|41.41|35.94|38.28,
cube,flat_rh5,75,8,42|43|44|45|46|47|48|49,38.77,0.59,37.50|39.06|39.06|37.50|39.84|37.50|37.50|42.19,
cube,flat_rh5,100,8,42|43|44|45|46|47|48|49,30.66,0.55,32.81|28.91|30.47|31.25|29.69|30.47|32.81|28.91,
cube,flat_rh5,150,8,42|43|44|45|46|47|48|49,20.31,0.68,21.88|17.97|17.19|21.09|21.09|21.09|19.53|22.66,
cube,ffjepa_gf,150,8,42|43|44|45|46|47|48|49,7.22,0.57,4.69|8.59|7.03|8.59|8.59|6.25|5.47|8.59,
cube,surveyor,25,8,42|43|44|45|46|47|48|49,60.06,1.03,56.25|57.03|58.59|64.06|59.38|63.28|62.50|59.38,0.854
cube,surveyor,50,8,42|43|44|45|46|47|48|49,45.02,0.97,45.31|43.75|47.66|46.88|43.75|39.84|44.53|48.44,0.905
cube,surveyor,75,8,42|43|44|45|46|47|48|49,35.45,0.87,38.28|35.94|37.50|33.59|35.16|35.94|36.72|30.47,0.937
cube,surveyor,100,8,42|43|44|45|46|47|48|49,35.94,0.92,37.50|35.94|35.94|33.59|39.84|31.25|37.50|35.94,0.969
cube,surveyor,150,8,42|43|44|45|46|47|48|49,26.17,1.45,32.81|22.66|25.00|21.09|23.44|28.91|25.00|30.47,0.963
cube,router,25,8,42|43|44|45|46|47|48|49,64.75,0.48,66.41|64.06|64.06|64.06|64.06|64.84|67.19|63.28,0.981
cube,router,50,8,42|43|44|45|46|47|48|49,46.29,0.36,46.88|47.66|45.31|46.88|46.09|44.53|46.09|46.88,0.972
cube,router,75,8,42|43|44|45|46|47|48|49,50.78,1.42,46.88|51.56|46.09|56.25|47.66|56.25|52.34|49.22,0.984
cube,router,100,8,42|43|44|45|46|47|48|49,42.58,0.64,42.19|40.62|42.97|40.62|46.09|42.97|41.41|43.75,0.982
cube,router,150,8,42|43|44|45|46|47|48|49,27.05,1.09,28.12|24.22|30.47|28.91|27.34|26.56|29.69|21.09,0.988
cube,gcidm,25,8,42|43|44|45|46|47|48|49,73.73,0.21,73.44|72.66|73.44|73.44|74.22|74.22|74.22|74.22,
cube,gcidm,50,8,42|43|44|45|46|47|48|49,61.91,0.32,61.72|62.50|62.50|63.28|60.16|61.72|61.72|61.72,
cube,gcidm,75,8,42|43|44|45|46|47|48|49,58.30,0.33,59.38|58.59|59.38|58.59|57.03|57.03|57.81|58.59,
cube,gcidm,100,8,42|43|44|45|46|47|48|49,70.41,0.31,69.53|69.53|69.53|70.31|71.88|71.09|71.09|70.31,
cube,gcidm,150,8,42|43|44|45|46|47|48|49,38.48,0.66,35.16|37.50|38.28|40.62|40.62|38.28|39.84|37.50,
cube,gcidm_surv,25,8,42|43|44|45|46|47|48|49,82.72,0.74,84.38|86.72|82.03|79.69|82.81|82.03|82.81|81.25,0.817
cube,gcidm_surv,50,8,42|43|44|45|46|47|48|49,72.75,0.74,74.22|75.78|75.00|72.66|71.88|71.09|71.88|69.53,0.885
cube,gcidm_surv,75,8,42|43|44|45|46|47|48|49,64.26,0.72,65.62|65.62|62.50|64.84|64.84|66.41|60.16|64.06,0.926
cube,gcidm_surv,100,8,42|43|44|45|46|47|48|49,73.54,0.58,73.44|75.00|72.66|74.22|72.66|75.00|70.31|75.00,0.952
cube,gcidm_surv,150,8,42|43|44|45|46|47|48|49,50.98,1.12,51.56|50.00|55.47|46.09|48.44|54.69|52.34|49.22,0.949
cube,gcidm_every,25,8,42|43|44|45|46|47|48|49,79.10,0.94,75.78|78.91|78.91|75.78|80.47|83.59|78.12|81.25,1.000
cube,gcidm_every,50,8,42|43|44|45|46|47|48|49,71.09,1.10,71.09|73.44|75.00|71.88|73.44|65.62|70.31|67.97,1.000
cube,gcidm_every,75,8,42|43|44|45|46|47|48|49,63.28,0.93,64.84|62.50|67.19|63.28|63.28|64.06|63.28|57.81,1.000
cube,gcidm_every,100,8,42|43|44|45|46|47|48|49,73.05,0.36,72.66|73.44|72.66|72.66|74.22|73.44|71.09|74.22,1.000
cube,gcidm_every,150,8,42|43|44|45|46|47|48|49,50.00,0.81,48.44|50.00|52.34|50.00|46.09|52.34|52.34|48.44,1.000
cube,gcidm_blind,25,8,42|43|44|45|46|47|48|49,85.84,0.34,85.94|87.50|85.94|85.16|86.72|84.38|85.94|85.16,0.400
cube,gcidm_blind,50,8,42|43|44|45|46|47|48|49,86.04,0.58,85.16|82.81|85.94|85.94|88.28|85.94|86.72|87.50,0.400
cube,gcidm_blind,75,8,42|43|44|45|46|47|48|49,66.41,1.06,67.97|64.84|66.41|67.19|64.06|63.28|72.66|64.84,0.333
cube,gcidm_blind,100,8,42|43|44|45|46|47|48|49,74.81,0.64,76.56|76.56|71.88|75.00|74.22|76.56|72.66|75.00,0.350
cube,gcidm_blind,150,8,42|43|44|45|46|47|48|49,53.71,0.59,52.34|53.12|56.25|54.69|53.91|54.69|53.91|50.78,0.333
cube,blindk,25,8,42|43|44|45|46|47|48|49,69.43,1.01,64.06|71.09|68.75|71.09|67.19|70.31|73.44|69.53,0.452
cube,ffjepa_s10k3,25,8,42|43|44|45|46|47|48|49,59.18,0.83,58.59|55.47|59.38|62.50|56.25|60.16|60.94|60.16,
cube,gcblind_off_s123,25,8,42|43|44|45|46|47|48|49,79.30,1.07,76.56|83.59|79.69|76.56|78.91|75.78|83.59|79.69,0.400
cube,gcblind_off_s42,25,8,42|43|44|45|46|47|48|49,80.66,0.88,80.47|85.94|78.91|79.69|81.25|77.34|80.47|81.25,0.400
cube,gcblind_off_s456,25,8,42|43|44|45|46|47|48|49,84.67,0.68,86.72|86.72|85.16|83.59|85.16|82.03|85.94|82.03,0.400
cube,gcevery_off_s123,25,8,42|43|44|45|46|47|48|49,75.10,0.60,75.00|75.78|73.44|75.78|72.66|78.12|74.22|75.78,1.000
cube,gcevery_off_s42,25,8,42|43|44|45|46|47|48|49,74.90,0.94,71.88|78.91|76.56|74.22|71.88|77.34|72.66|75.78,1.000
cube,gcevery_off_s456,25,8,42|43|44|45|46|47|48|49,77.64,0.75,77.34|77.34|79.69|75.00|75.00|80.47|76.56|79.69,1.000
cube,gcidm_imag,25,8,42|43|44|45|46|47|48|49,82.23,0.76,85.16|81.25|80.47|82.81|85.16|82.03|82.03|78.91,0.815
cube,gcidm_off_s123,25,8,42|43|44|45|46|47|48|49,70.12,0.29,71.09|69.53|70.31|70.31|68.75|69.53|71.09|70.31,
