env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gcidm_imag_nogate,25,8,42|43|44|45|46|47|48|49,83.60,0.98,82.03|88.28|80.47|79.69|85.16|84.38|84.38|84.38,0.811
cube,gcidm_surv_nogate,25,8,42|43|44|45|46|47|48|49,83.01,0.66,84.38|85.94|81.25|82.03|80.47|83.59|84.38|82.03,0.817
cube,gcsurv_off_s123_nogate,25,8,42|43|44|45|46|47|48|49,81.25,0.69,79.69|80.47|82.81|79.69|82.03|79.69|80.47|85.16,0.826
cube,gcsurv_off_s42_nogate,25,8,42|43|44|45|46|47|48|49,80.76,0.89,82.81|82.81|78.12|75.78|82.03|82.03|81.25|81.25,0.825
cube,gcsurv_off_s456_nogate,25,8,42|43|44|45|46|47|48|49,82.13,1.22,80.47|85.16|77.34|78.91|85.94|86.72|82.03|80.47,0.820
cube,gcidm_imag_nogate,50,8,42|43|44|45|46|47|48|49,75.10,0.56,77.34|75.78|72.66|76.56|75.00|75.78|73.44|74.22,0.856
cube,gcidm_surv_nogate,50,8,42|43|44|45|46|47|48|49,73.53,1.09,76.56|72.66|76.56|74.22|70.31|69.53|77.34|71.09,0.879
cube,gcsurv_off_s123_nogate,50,8,42|43|44|45|46|47|48|49,75.19,1.02,75.00|77.34|76.56|72.66|75.00|77.34|78.12|69.53,0.895
cube,gcsurv_off_s42_nogate,50,8,42|43|44|45|46|47|48|49,71.19,0.89,70.31|71.09|69.53|67.19|71.88|70.31|74.22|75.00,0.889
cube,gcsurv_off_s456_nogate,50,8,42|43|44|45|46|47|48|49,73.44,1.18,78.12|75.78|70.31|73.44|67.19|74.22|74.22|74.22,0.881
cube,gcidm_imag_nogate,75,8,42|43|44|45|46|47|48|49,65.04,0.44,66.41|63.28|65.62|63.28|66.41|64.84|65.62|64.84,0.882
cube,gcidm_surv_nogate,75,8,42|43|44|45|46|47|48|49,63.18,0.56,61.72|65.62|62.50|62.50|60.94|63.28|64.06|64.84,0.923
cube,gcsurv_off_s123_nogate,75,8,42|43|44|45|46|47|48|49,66.41,0.53,67.19|64.84|65.62|64.06|67.19|67.19|68.75|66.41,0.913
cube,gcsurv_off_s42_nogate,75,8,42|43|44|45|46|47|48|49,65.43,0.75,64.84|66.41|65.62|66.41|66.41|62.50|62.50|68.75,0.909
cube,gcsurv_off_s456_nogate,75,8,42|43|44|45|46|47|48|49,65.92,0.74,63.28|65.62|66.41|67.19|67.19|69.53|64.06|64.06,0.911
cube,gcidm_imag_nogate,100,8,42|43|44|45|46|47|48|49,73.44,0.29,75.00|74.22|72.66|73.44|73.44|73.44|72.66|72.66,0.912
cube,gcidm_surv_nogate,100,8,42|43|44|45|46|47|48|49,74.41,0.53,75.78|75.78|74.22|75.00|74.22|74.22|71.09|75.00,0.944
cube,gcsurv_off_s123_nogate,100,8,42|43|44|45|46|47|48|49,72.27,0.39,72.66|71.09|73.44|72.66|73.44|72.66|70.31|71.88,0.940
cube,gcsurv_off_s42_nogate,100,8,42|43|44|45|46|47|48|49,71.68,0.76,70.31|74.22|69.53|74.22|71.09|69.53|74.22|70.31,0.939
cube,gcsurv_off_s456_nogate,100,8,42|43|44|45|46|47|48|49,73.54,0.43,74.22|75.00|71.88|73.44|73.44|73.44|71.88|75.00,0.940
cube,gcidm_imag_nogate,150,8,42|43|44|45|46|47|48|49,50.98,0.55,49.22|51.56|53.91|50.00|50.78|51.56|49.22|51.56,0.887
cube,gcidm_surv_nogate,150,8,42|43|44|45|46|47|48|49,50.78,0.57,47.66|52.34|52.34|50.78|50.00|50.00|52.34|50.78,0.951
cube,gcidm_surv_tau0.35_nogate,150,8,42|43|44|45|46|47|48|49,50.20,0.32,49.22|49.22|51.56|50.00|49.22|50.78|50.78|50.78,0.807
cube,gcidm_surv_tau0.5_nogate,150,8,42|43|44|45|46|47|48|49,49.90,0.56,51.56|47.66|51.56|49.22|50.00|47.66|50.78|50.78,0.641
cube,gcidm_surv_tau1.0_nogate,150,8,42|43|44|45|46|47|48|49,49.80,0.69,51.56|50.78|52.34|50.78|47.66|50.00|48.44|46.88,0.426
cube,gcidm_surv_tau2.0_nogate,150,8,42|43|44|45|46|47|48|49,54.20,0.53,53.12|56.25|54.69|54.69|51.56|55.47|54.69|53.12,0.333
cube,gcsurv_off_s123_nogate,150,8,42|43|44|45|46|47|48|49,60.55,1.06,61.72|60.16|55.47|65.62|57.81|61.72|60.16|61.72,0.950
cube,gcsurv_off_s42_nogate,150,8,42|43|44|45|46|47|48|49,51.37,0.55,51.56|53.91|53.12|50.78|50.78|49.22|50.00|51.56,0.945
cube,gcsurv_off_s456_nogate,150,8,42|43|44|45|46|47|48|49,51.66,1.36,51.56|53.91|51.56|45.31|48.44|51.56|58.59|52.34,0.949
