JobID|State|Elapsed
2405789_0|COMPLETED|310
2405789_1|COMPLETED|292
2405789_2|COMPLETED|294
2405789_3|COMPLETED|292
2405789_4|COMPLETED|293
2405789_5|COMPLETED|300
2405789_6|COMPLETED|297
2405789_7|COMPLETED|299
2405789_8|COMPLETED|196
2405789_9|COMPLETED|204
2405789_10|COMPLETED|205
2405789_11|COMPLETED|207
2405789_12|COMPLETED|204
2405789_13|COMPLETED|195
2405789_14|COMPLETED|208
2405789_15|COMPLETED|194
2405789_16|COMPLETED|226
2405789_17|COMPLETED|213
2405789_18|COMPLETED|221
2405789_19|COMPLETED|218
2405789_20|COMPLETED|241
2405789_21|COMPLETED|215
2405789_22|COMPLETED|221
2405789_23|COMPLETED|212
2405789_24|COMPLETED|237
2405789_25|COMPLETED|243
2405789_26|COMPLETED|241
2405789_27|COMPLETED|230
2405789_28|COMPLETED|234
2405789_29|COMPLETED|247
2405789_30|COMPLETED|244
2405789_31|COMPLETED|238
2405789_32|COMPLETED|250
2405789_33|COMPLETED|257
2405789_34|COMPLETED|254
2405789_35|COMPLETED|248
2405789_36|COMPLETED|250
2405789_37|COMPLETED|258
2405789_38|COMPLETED|259
2405789_39|COMPLETED|253
2405789_40|COMPLETED|303
2405789_41|COMPLETED|313
2405789_42|COMPLETED|304
2405789_43|COMPLETED|298
2405789_44|COMPLETED|300
2405789_45|COMPLETED|309
2405789_46|COMPLETED|299
2405789_47|COMPLETED|304
2405789_48|COMPLETED|197
2405789_49|COMPLETED|205
2405789_50|COMPLETED|205
2405789_51|COMPLETED|205
2405789_52|COMPLETED|204
2405789_53|COMPLETED|205
2405789_54|COMPLETED|206
2405789_55|COMPLETED|206
2405789_56|COMPLETED|221
2405789_57|COMPLETED|227
2405789_58|COMPLETED|227
2405789_59|COMPLETED|223
2405789_60|COMPLETED|270
2405789_61|COMPLETED|223
2405789_62|COMPLETED|224
2405789_63|COMPLETED|224
2405789_64|COMPLETED|244
2405789_65|COMPLETED|245
2405789_66|COMPLETED|241
2405789_67|COMPLETED|242
2405789_68|COMPLETED|230
2405789_69|COMPLETED|242
2405789_70|COMPLETED|232
2405789_71|COMPLETED|242
2405789_72|COMPLETED|242
2405789_73|COMPLETED|251
2405789_74|COMPLETED|249
2405789_75|COMPLETED|252
2405789_76|COMPLETED|241
2405789_77|COMPLETED|251
2405789_78|COMPLETED|241
2405789_79|COMPLETED|253
2405789_80|COMPLETED|194
2405789_81|COMPLETED|205
2405789_82|COMPLETED|203
2405789_83|COMPLETED|205
2405789_84|COMPLETED|212
2405789_85|COMPLETED|206
2405789_86|COMPLETED|193
2405789_87|COMPLETED|206
2405789_88|COMPLETED|202
2405789_89|COMPLETED|210
2405789_90|COMPLETED|194
2405789_91|COMPLETED|207
2405789_92|COMPLETED|198
2405789_93|COMPLETED|193
2405789_94|COMPLETED|213
2405789_95|COMPLETED|207
2405789_96|COMPLETED|193
2405789_97|COMPLETED|193
2405789_98|COMPLETED|208
2405789_99|COMPLETED|208
2405789_100|COMPLETED|192
2405789_101|COMPLETED|196
2405789_102|COMPLETED|209
2405789_103|COMPLETED|209
2405789_104|COMPLETED|222
2405789_105|COMPLETED|216
2405789_106|COMPLETED|227
2405789_107|COMPLETED|230
2405789_108|COMPLETED|215
2405789_109|COMPLETED|217
2405789_110|COMPLETED|234
2405789_111|COMPLETED|228
2405789_112|COMPLETED|215
2405789_113|COMPLETED|225
2405789_114|COMPLETED|231
2405789_115|COMPLETED|227
2405789_116|COMPLETED|215
2405789_117|COMPLETED|217
2405789_118|COMPLETED|232
2405789_119|COMPLETED|232
2405789_120|COMPLETED|217
2405789_121|COMPLETED|213
2405789_122|COMPLETED|232
2405789_123|COMPLETED|233
2405789_124|COMPLETED|214
2405789_125|COMPLETED|215
2405789_126|COMPLETED|233
2405789_127|COMPLETED|230
2405789_128|COMPLETED|235
2405789_129|COMPLETED|231
2405789_130|COMPLETED|268
2405789_131|COMPLETED|247
2405789_132|COMPLETED|232
2405789_133|COMPLETED|231
2405789_134|COMPLETED|260
2405789_135|COMPLETED|247
2405789_136|COMPLETED|232
2405789_137|COMPLETED|237
2405789_138|COMPLETED|251
2405789_139|COMPLETED|229
2405789_140|COMPLETED|245
2405789_141|COMPLETED|231
2405789_142|COMPLETED|231
2405789_143|COMPLETED|272
2405789_144|COMPLETED|231
2405789_145|COMPLETED|249
2405789_146|COMPLETED|235
2405789_147|COMPLETED|232
2405789_148|COMPLETED|249
2405789_149|COMPLETED|245
2405789_150|COMPLETED|233
2405789_151|COMPLETED|232
2405789_152|COMPLETED|278
2405789_153|COMPLETED|261
2405789_154|COMPLETED|242
2405789_155|COMPLETED|243
2405789_156|COMPLETED|262
2405789_157|COMPLETED|258
2405789_158|COMPLETED|247
2405789_159|COMPLETED|243
2405789_160|COMPLETED|267
2405789_161|COMPLETED|267
2405789_162|COMPLETED|246
2405789_163|COMPLETED|246
2405789_164|COMPLETED|265
2405789_165|COMPLETED|265
2405789_166|COMPLETED|242
2405789_167|COMPLETED|249
2405789_168|COMPLETED|267
2405789_169|COMPLETED|266
2405789_170|COMPLETED|243
2405789_171|COMPLETED|245
2405789_172|COMPLETED|296
2405789_173|COMPLETED|262
2405789_174|COMPLETED|244
2405789_175|COMPLETED|246
2405789_176|COMPLETED|329
2405789_177|COMPLETED|302
2405789_178|COMPLETED|299
2405789_179|COMPLETED|295
2405789_180|COMPLETED|305
2405789_181|COMPLETED|313
2405789_182|COMPLETED|296
2405789_183|COMPLETED|291
2405789_184|COMPLETED|310
2405789_185|COMPLETED|320
2405789_186|COMPLETED|284
2405789_187|COMPLETED|318
2405789_188|COMPLETED|378
2405789_189|COMPLETED|315
2405789_190|COMPLETED|325
2405789_191|COMPLETED|299
2405789_192|COMPLETED|285
2405789_193|COMPLETED|327
2405789_194|COMPLETED|325
2405789_195|COMPLETED|289
2405789_196|COMPLETED|294
2405789_197|COMPLETED|294
2405789_198|COMPLETED|319
2405789_199|COMPLETED|327
2405789_200|COMPLETED|296
2405789_201|COMPLETED|290
2405789_202|COMPLETED|312
2405789_203|COMPLETED|311
2405789_204|COMPLETED|295
2405789_205|COMPLETED|291
2405789_206|COMPLETED|309
2405789_207|COMPLETED|305
2405789_208|COMPLETED|292
2405789_209|COMPLETED|291
2405789_210|COMPLETED|327
2405789_211|COMPLETED|323
2405789_212|COMPLETED|293
2405789_213|COMPLETED|289
2405789_214|COMPLETED|312
2405789_215|COMPLETED|305
2405789_216|COMPLETED|304
2405789_217|COMPLETED|291
2405789_218|COMPLETED|323
2405789_219|COMPLETED|319
2405789_220|COMPLETED|291
2405789_221|COMPLETED|293
2405789_222|COMPLETED|311
2405789_223|COMPLETED|305
2405789_224|COMPLETED|291
2405789_225|COMPLETED|290
2405789_226|COMPLETED|308
2405789_227|COMPLETED|301
2405789_228|COMPLETED|293
2405789_229|COMPLETED|295
2405789_230|COMPLETED|310
2405789_231|COMPLETED|304
