env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,icem_router_mp,25,8,42|43|44|45|46|47|48|49,72.27,0.57,69.53|71.88|72.66|75.00|71.88|73.44|71.09|72.66,0.842
cube,mppi_router_mp,25,8,42|43|44|45|46|47|48|49,41.89,1.00,48.44|40.62|39.84|39.84|40.62|42.97|41.41|41.41,0.992
cube,icem_router_mp,50,8,42|43|44|45|46|47|48|49,45.90,0.29,46.09|45.31|44.53|46.09|46.88|46.88|46.09|45.31,0.902
cube,mppi_router_mp,50,8,42|43|44|45|46|47|48|49,28.03,0.87,32.03|28.12|27.34|29.69|24.22|25.78|29.69|27.34,0.990
cube,icem_router_mp,75,8,42|43|44|45|46|47|48|49,48.05,0.29,46.88|48.44|48.44|48.44|49.22|47.66|46.88|48.44,0.964
cube,mppi_router_mp,75,8,42|43|44|45|46|47|48|49,29.30,0.84,24.22|30.47|31.25|27.34|30.47|30.47|29.69|30.47,0.990
cube,icem_router_mp,100,8,42|43|44|45|46|47|48|49,34.67,0.49,34.38|32.81|34.38|33.59|34.38|36.72|34.38|36.72,0.977
cube,mppi_router_mp,100,8,42|43|44|45|46|47|48|49,21.78,1.05,24.22|21.09|25.78|25.00|19.53|20.31|21.09|17.19,0.988
cube,icem_router_mp,150,8,42|43|44|45|46|47|48|49,28.42,0.64,31.25|29.69|26.56|27.34|28.12|29.69|28.91|25.78,0.972
cube,mppi_router_mp,150,8,42|43|44|45|46|47|48|49,13.48,1.15,10.94|16.41|10.16|13.28|10.16|14.06|13.28|19.53,0.995
pusht,icem_router_mp,25,8,42|43|44|45|46|47|48|49,99.51,0.10,99.22|99.61|100.00|99.61|99.61|99.22|99.22|99.61,0.912
pusht,icem_router_rt0.10,25,8,42|43|44|45|46|47|48|49,99.12,0.18,99.61|98.83|99.22|99.22|99.22|98.05|99.61|99.22,0.902
pusht,icem_router_rt0.15,25,8,42|43|44|45|46|47|48|49,98.88,0.14,98.44|98.83|98.83|98.83|98.83|99.61|99.22|98.44,0.902
pusht,mppi_router_mp,25,8,42|43|44|45|46|47|48|49,97.61,0.37,98.83|97.66|99.22|96.88|98.05|96.88|96.09|97.27,0.909
pusht,mppi_router_rt0.10,25,8,42|43|44|45|46|47|48|49,97.27,0.48,99.22|97.27|97.66|95.70|98.05|94.92|97.27|98.05,0.894
pusht,mppi_router_rt0.15,25,8,42|43|44|45|46|47|48|49,96.83,0.29,96.88|95.70|96.88|97.27|96.09|96.09|98.05|97.66,0.914
pusht,router_rt0.10,25,8,42|43|44|45|46|47|48|49,99.32,0.14,99.22|98.83|99.61|99.61|99.22|98.83|100.00|99.22,0.865
pusht,router_rt0.15,25,8,42|43|44|45|46|47|48|49,99.07,0.16,99.22|98.44|98.83|99.61|98.44|99.22|99.61|99.22,0.892
pusht,icem_router_mp,50,8,42|43|44|45|46|47|48|49,93.56,0.44,92.58|94.92|92.19|91.80|94.92|94.14|93.36|94.53,0.725
pusht,icem_router_rt0.10,50,8,42|43|44|45|46|47|48|49,93.90,0.36,94.14|93.75|94.92|92.19|94.92|93.36|92.97|94.92,0.736
pusht,icem_router_rt0.15,50,8,42|43|44|45|46|47|48|49,93.02,0.44,93.75|93.75|91.02|92.97|91.80|92.19|94.14|94.53,0.732
pusht,mppi_router_mp,50,8,42|43|44|45|46|47|48|49,92.92,0.26,93.36|92.58|93.36|91.80|93.75|92.19|92.58|93.75,0.756
pusht,mppi_router_rt0.10,50,8,42|43|44|45|46|47|48|49,93.94,0.46,92.19|94.14|93.36|93.75|92.58|96.09|95.31|94.14,0.758
pusht,mppi_router_rt0.15,50,8,42|43|44|45|46|47|48|49,93.75,0.72,93.75|95.70|94.53|91.41|91.02|94.14|92.58|96.88,0.761
