env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,icem_router_mp_rt0.10,25,8,42|43|44|45|46|47|48|49,71.48,1.02,71.88|70.31|74.22|75.00|71.88|72.66|65.62|70.31,0.846
cube,icem_router_rt0.10,25,8,42|43|44|45|46|47|48|49,65.72,0.73,64.84|66.41|63.28|67.19|65.62|67.97|67.97|62.50,0.934
cube,mppi_router_mp_rt0.10,25,8,42|43|44|45|46|47|48|49,41.70,1.39,44.53|41.41|42.19|40.62|40.62|33.59|43.75|46.88,0.980
cube,mppi_router_rt0.10,25,8,42|43|44|45|46|47|48|49,42.87,1.18,42.97|46.09|37.50|46.88|39.84|41.41|42.19|46.09,0.971
cube,router_rt0.10,25,8,42|43|44|45|46|47|48|49,67.28,0.81,67.97|67.97|63.28|68.75|64.84|70.31|68.75|66.41,0.936
cube,icem_router_mp_rt0.10,50,8,42|43|44|45|46|47|48|49,45.31,0.30,46.09|44.53|45.31|45.31|44.53|45.31|44.53|46.88,0.896
cube,icem_router_rt0.10,50,8,42|43|44|45|46|47|48|49,47.17,0.96,46.09|49.22|51.56|42.97|46.09|46.88|49.22|45.31,0.940
cube,mppi_router_mp_rt0.10,50,8,42|43|44|45|46|47|48|49,28.22,0.75,31.25|25.00|29.69|28.12|27.34|28.91|29.69|25.78,0.970
cube,mppi_router_rt0.10,50,8,42|43|44|45|46|47|48|49,28.81,1.04,34.38|26.56|27.34|28.12|32.03|27.34|28.91|25.78,0.968
cube,router_rt0.10,50,8,42|43|44|45|46|47|48|49,48.54,0.73,48.44|53.12|46.88|46.09|48.44|48.44|48.44|48.44,0.935
cube,icem_router_mp_rt0.10,75,8,42|43|44|45|46|47|48|49,46.88,1.14,44.53|42.97|44.53|51.56|50.00|44.53|50.00|46.88,0.960
cube,icem_router_rt0.10,75,8,42|43|44|45|46|47|48|49,50.78,0.69,50.78|49.22|50.78|51.56|51.56|52.34|53.12|46.88,0.976
cube,mppi_router_mp_rt0.10,75,8,42|43|44|45|46|47|48|49,28.42,0.63,28.12|28.91|28.91|31.25|28.91|28.91|27.34|25.00,0.987
cube,mppi_router_rt0.10,75,8,42|43|44|45|46|47|48|49,28.03,1.02,23.44|30.47|28.91|31.25|25.78|26.56|31.25|26.56,0.988
cube,router_rt0.10,75,8,42|43|44|45|46|47|48|49,48.54,0.62,48.44|50.00|49.22|46.88|50.78|49.22|48.44|45.31,0.978
cube,icem_router_mp_rt0.10,100,8,42|43|44|45|46|47|48|49,35.16,0.63,37.50|35.16|33.59|35.16|32.81|33.59|37.50|35.94,0.974
cube,icem_router_rt0.10,100,8,42|43|44|45|46|47|48|49,35.84,0.73,39.06|34.38|38.28|32.81|35.16|35.16|36.72|35.16,0.980
