JobID|State|Elapsed
2407866_0|COMPLETED|265
2407867_0|COMPLETED|2048
2407867_1|COMPLETED|2175
2407867_2|COMPLETED|2096
2407867_3|COMPLETED|1990
2407867_4|COMPLETED|2066
2407867_5|COMPLETED|1928
2407867_6|COMPLETED|1872
2407867_7|COMPLETED|1921
2407867_8|COMPLETED|442
2407867_9|COMPLETED|405
2407867_10|COMPLETED|432
2407867_11|COMPLETED|380
2407867_12|COMPLETED|411
2407867_13|COMPLETED|435
2407867_14|COMPLETED|400
2407867_15|COMPLETED|415
2407867_16|COMPLETED|430
2407867_17|COMPLETED|384
2407867_18|COMPLETED|406
2407867_19|COMPLETED|483
2407867_20|COMPLETED|413
2407867_21|COMPLETED|390
2407867_22|COMPLETED|441
2407867_23|COMPLETED|377
2407867_24|COMPLETED|395
2407867_25|COMPLETED|428
2407867_26|COMPLETED|374
2407867_27|COMPLETED|387
2407867_28|COMPLETED|428
2407867_29|COMPLETED|383
2407867_30|COMPLETED|406
2407867_31|COMPLETED|415
2407867_32|COMPLETED|669
2407867_33|COMPLETED|661
2407867_34|COMPLETED|734
2407867_35|COMPLETED|623
2407867_36|COMPLETED|658
2407867_37|COMPLETED|780
2407867_38|COMPLETED|660
2407867_39|COMPLETED|651
2407867_40|COMPLETED|765
2407867_41|COMPLETED|715
2407867_42|COMPLETED|691
2407867_43|COMPLETED|765
2407867_44|COMPLETED|764
2407867_45|COMPLETED|739
2407867_46|COMPLETED|746
2407867_47|COMPLETED|684
2407867_48|COMPLETED|720
2407867_49|COMPLETED|857
2407867_50|COMPLETED|651
2407867_51|COMPLETED|686
2407867_52|COMPLETED|794
2407867_53|COMPLETED|683
2407867_54|COMPLETED|764
2407867_55|COMPLETED|790
2407867_56|COMPLETED|940
2407867_57|COMPLETED|889
2407867_58|COMPLETED|1146
2407867_59|COMPLETED|909
2407867_60|COMPLETED|956
2407867_61|COMPLETED|1008
2407867_62|COMPLETED|897
2407867_63|COMPLETED|927
2407867_64|COMPLETED|1106
2407867_65|COMPLETED|915
2407867_66|COMPLETED|925
2407867_67|COMPLETED|1085
2407867_68|COMPLETED|906
2407867_69|COMPLETED|896
2407867_70|COMPLETED|1091
2407867_71|COMPLETED|930
2407867_72|COMPLETED|940
2407867_73|COMPLETED|1072
2407867_74|COMPLETED|913
2407867_75|COMPLETED|939
2407867_76|COMPLETED|1060
2407867_77|COMPLETED|922
2407867_78|COMPLETED|945
2407867_79|COMPLETED|1113
2407867_80|COMPLETED|1252
2407867_81|COMPLETED|1255
2407867_82|COMPLETED|1369
2407867_83|COMPLETED|1250
2407867_84|COMPLETED|1322
2407867_85|COMPLETED|1403
2407867_86|COMPLETED|1194
2407867_87|COMPLETED|1309
2407867_88|COMPLETED|1396
2407867_89|COMPLETED|1193
2407867_90|COMPLETED|1301
2407867_91|COMPLETED|1361
2407867_92|COMPLETED|1209
2407867_93|COMPLETED|1344
2407867_94|COMPLETED|1435
2407867_95|COMPLETED|1226
2407867_96|COMPLETED|1313
2407867_97|COMPLETED|1399
2407867_98|COMPLETED|1189
2407867_99|COMPLETED|1264
2407867_100|COMPLETED|1429
2407867_101|COMPLETED|1283
2407867_102|COMPLETED|1325
2407867_103|COMPLETED|1475
2407867_104|COMPLETED|2029
2407867_105|COMPLETED|2226
2407867_106|COMPLETED|1975
2407867_107|COMPLETED|2179
2407867_108|COMPLETED|2030
2407867_109|COMPLETED|2251
2407867_110|COMPLETED|2011
2407867_111|COMPLETED|2197
2407867_112|COMPLETED|2064
2407867_113|COMPLETED|2290
2407867_114|COMPLETED|2017
2407867_115|COMPLETED|2264
2407867_116|COMPLETED|2004
2407867_117|CANCELLED|2019
2407867_118|CANCELLED|1174
2407867_119|CANCELLED|458
2407867_120|CANCELLED|208
2407867_121|CANCELLED|125
