env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gd_blindk,25,8,42|43|44|45|46|47|48|49,56.74,1.50,58.59|54.69|53.91|60.94|63.28|54.69|57.81|50.00,0.451
cube,gd_ffjepa_s10k3,25,8,42|43|44|45|46|47|48|49,49.02,1.59,52.34|51.56|45.31|46.88|50.00|44.53|57.03|44.53,
cube,gd_flat_rh5,25,8,42|43|44|45|46|47|48|49,47.46,0.87,46.88|46.88|49.22|46.88|50.00|42.19|48.44|49.22,
cube,gd_router_mp,25,8,42|43|44|45|46|47|48|49,63.19,0.92,61.72|64.06|62.50|59.38|62.50|66.41|67.19|61.72,0.952
cube,gd_router,25,8,42|43|44|45|46|47|48|49,61.43,0.71,60.94|61.72|62.50|61.72|64.84|57.81|61.72|60.16,0.976
cube,gd_surveyor,25,8,42|43|44|45|46|47|48|49,50.29,1.19,54.69|50.78|48.44|50.00|53.12|44.53|53.12|47.66,0.897
cube,gd_blindk,50,8,42|43|44|45|46|47|48|49,44.34,1.30,48.44|39.06|39.84|43.75|42.97|44.53|47.66|48.44,0.422
cube,gd_ffjepa_s10k3,50,8,42|43|44|45|46|47|48|49,41.70,1.31,39.84|37.50|41.41|46.09|41.41|39.84|39.06|48.44,
cube,gd_flat_rh5,50,8,42|43|44|45|46|47|48|49,36.04,0.67,35.94|36.72|37.50|38.28|36.72|35.94|32.03|35.16,
cube,gd_router_mp,50,8,42|43|44|45|46|47|48|49,43.46,0.75,41.41|42.19|46.88|46.09|42.19|42.97|44.53|41.41,0.956
cube,gd_router,50,8,42|43|44|45|46|47|48|49,41.80,0.87,40.62|42.19|38.28|42.97|44.53|43.75|38.28|43.75,0.972
cube,gd_surveyor,50,8,42|43|44|45|46|47|48|49,41.89,1.17,42.97|35.16|39.84|41.41|44.53|42.19|42.97|46.09,0.918
cube,gd_blindk,75,8,42|43|44|45|46|47|48|49,33.59,0.85,33.59|32.81|37.50|34.38|35.16|31.25|34.38|29.69,0.348
cube,gd_ffjepa_s10k3,75,8,42|43|44|45|46|47|48|49,32.13,0.63,30.47|35.16|31.25|31.25|31.25|30.47|32.81|34.38,
cube,gd_flat_rh5,75,8,42|43|44|45|46|47|48|49,34.96,1.09,35.94|29.69|40.62|32.81|35.16|35.94|35.16|34.38,
cube,gd_router_mp,75,8,42|43|44|45|46|47|48|49,46.68,0.60,47.66|45.31|48.44|46.88|43.75|47.66|45.31|48.44,0.980
cube,gd_router,75,8,42|43|44|45|46|47|48|49,47.27,0.77,46.09|46.09|45.31|47.66|46.88|45.31|49.22|51.56,0.983
cube,gd_surveyor,75,8,42|43|44|45|46|47|48|49,32.13,0.52,30.47|34.38|33.59|31.25|31.25|32.81|30.47|32.81,0.948
cube,gd_blindk,100,8,42|43|44|45|46|47|48|49,33.01,1.12,33.59|37.50|35.16|34.38|28.91|28.12|34.38|32.03,0.361
cube,gd_ffjepa_s10k3,100,8,42|43|44|45|46|47|48|49,33.01,1.12,33.59|39.84|33.59|32.81|28.91|31.25|32.81|31.25,
cube,gd_flat_rh5,100,8,42|43|44|45|46|47|48|49,24.71,0.90,23.44|22.66|25.00|27.34|28.12|25.00|20.31|25.78,
cube,gd_router_mp,100,8,42|43|44|45|46|47|48|49,37.99,0.75,36.72|39.06|37.50|39.06|36.72|37.50|35.16|42.19,0.982
cube,gd_router,100,8,42|43|44|45|46|47|48|49,40.43,1.00,40.62|37.50|37.50|40.62|39.06|45.31|43.75|39.06,0.984
cube,gd_surveyor,100,8,42|43|44|45|46|47|48|49,32.91,0.60,30.47|33.59|33.59|32.03|32.81|31.25|35.94|33.59,0.967
cube,gd_blindk,150,8,42|43|44|45|46|47|48|49,28.03,0.77,27.34|26.56|28.91|28.12|25.78|28.12|26.56|32.81,0.337
cube,gd_ffjepa_s10k3,150,8,42|43|44|45|46|47|48|49,24.52,1.01,22.66|23.44|21.88|21.88|24.22|28.91|24.22|28.91,
cube,gd_flat_rh5,150,8,42|43|44|45|46|47|48|49,26.95,1.24,27.34|27.34|29.69|28.91|23.44|25.78|32.03|21.09,
cube,gd_router_mp,150,8,42|43|44|45|46|47|48|49,25.20,1.15,22.66|25.78|22.66|23.44|22.66|32.03|25.00|27.34,0.987
cube,gd_router,150,8,42|43|44|45|46|47|48|49,26.66,0.99,25.78|30.47|25.00|21.88|25.00|29.69|27.34|28.12,0.989
cube,gd_surveyor,150,8,42|43|44|45|46|47|48|49,23.73,0.69,22.66|25.00|19.53|25.00|25.78|24.22|23.44|24.22,0.969
pusht,gd_blind2,25,8,42|43|44|45|46|47|48|49,98.49,0.14,99.22|98.83|98.44|98.05|98.44|98.44|98.05|98.44,0.705
pusht,gd_blindk,25,8,42|43|44|45|46|47|48|49,98.49,0.30,97.27|98.83|99.22|97.27|98.44|98.83|98.44|99.61,0.593
pusht,gd_ffjepa_s10k3,25,8,42|43|44|45|46|47|48|49,98.78,0.17,98.83|98.83|99.22|98.83|98.05|99.22|98.05|99.22,
pusht,gd_flat_rh5,25,8,42|43|44|45|46|47|48|49,98.10,0.30,98.44|98.44|98.44|96.88|97.27|98.83|97.27|99.22,
pusht,gd_router_mp,25,8,42|43|44|45|46|47|48|49,99.07,0.13,99.22|98.83|98.83|98.44|99.22|99.22|99.61|99.22,0.894
pusht,gd_router,25,8,42|43|44|45|46|47|48|49,99.27,0.16,99.61|99.22|98.83|98.44|99.61|99.61|99.61|99.22,0.913
pusht,gd_surveyor,25,8,42|43|44|45|46|47|48|49,99.03,0.16,99.22|99.22|99.22|98.05|99.61|99.22|98.83|98.83,0.835
pusht,gd_blind2,50,8,42|43|44|45|46|47|48|49,96.63,0.49,98.44|96.48|97.66|97.66|96.88|95.31|94.14|96.48,0.546
pusht,gd_blindk,50,8,42|43|44|45|46|47|48|49,95.60,0.43,96.48|96.88|94.53|96.48|96.48|95.31|93.36|95.31,0.403
pusht,gd_ffjepa_s10k3,50,8,42|43|44|45|46|47|48|49,95.90,0.43,96.48|97.27|96.09|93.36|96.09|96.48|94.92|96.48,
pusht,gd_flat_rh5,50,8,42|43|44|45|46|47|48|49,72.41,0.68,74.22|73.05|68.75|73.83|73.44|73.44|72.27|70.31,
pusht,gd_router_mp,50,8,42|43|44|45|46|47|48|49,96.14,0.41,94.92|96.88|95.70|94.14|96.88|96.48|97.66|96.48,0.688
pusht,gd_router,50,8,42|43|44|45|46|47|48|49,95.80,0.36,95.70|96.88|95.70|96.88|93.75|96.48|95.70|95.31,0.689
pusht,gd_surveyor,50,8,42|43|44|45|46|47|48|49,96.39,0.52,96.88|96.48|95.70|94.53|97.66|97.66|98.05|94.14,0.690
pusht,gd_blind2,75,8,42|43|44|45|46|47|48|49,95.36,0.24,96.09|94.53|94.53|96.09|96.09|94.92|95.31|95.31,0.532
pusht,gd_blindk,75,8,42|43|44|45|46|47|48|49,94.87,0.51,95.31|94.53|96.88|94.53|95.70|94.92|91.80|95.31,0.365
pusht,gd_ffjepa_s10k3,75,8,42|43|44|45|46|47|48|49,94.19,0.38,95.31|94.53|94.92|93.75|93.36|92.97|92.97|95.70,
pusht,gd_flat_rh5,75,8,42|43|44|45|46|47|48|49,34.67,0.90,36.33|32.81|34.38|33.98|35.94|37.11|29.69|37.11,
pusht,gd_router_mp,75,8,42|43|44|45|46|47|48|49,96.24,0.35,96.09|95.70|96.09|96.88|98.05|94.53|96.09|96.48,0.677
pusht,gd_router,75,8,42|43|44|45|46|47|48|49,95.85,0.43,95.31|97.27|94.53|97.66|96.88|94.92|95.31|94.92,0.675
