JobID|State|Elapsed
2405755_0|FAILED|40
2405755_1|FAILED|49
2407842_0|FAILED|82
2407842_1|FAILED|125
2407845_0|FAILED|289
2407845_1|COMPLETED|178
2407849_0|COMPLETED|1330
2407849_1|COMPLETED|1291
2407849_2|COMPLETED|1296
2407849_3|COMPLETED|1298
2407849_4|COMPLETED|1413
2407849_5|COMPLETED|1376
2407849_6|COMPLETED|1252
2407849_7|COMPLETED|1278
2407849_8|COMPLETED|3352
2407849_9|COMPLETED|3376
2407849_10|COMPLETED|3372
2407849_11|COMPLETED|3298
2407849_12|COMPLETED|3378
2407849_13|COMPLETED|3324
2407849_14|COMPLETED|3323
2407849_15|COMPLETED|3340
2407849_16|COMPLETED|5319
2407849_17|CANCELLED|2588
