env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gd_blindk,150,8,42|43|44|45|46|47|48|49,30.96,1.37,33.59|34.38|30.47|28.91|27.34|36.72|31.25|25.00,0.338
cube,gd_ffjepa_s10k3,150,8,42|43|44|45|46|47|48|49,25.19,0.78,25.00|26.56|23.44|21.09|24.22|26.56|27.34|27.34,
cube,gd_flat_rh5,150,8,42|43|44|45|46|47|48|49,24.51,0.33,23.44|25.78|25.78|23.44|25.00|24.22|24.22|24.22,
cube,gd_router_mp,150,8,42|43|44|45|46|47|48|49,25.20,1.01,28.91|24.22|24.22|20.31|27.34|27.34|22.66|26.56,0.988
cube,gd_router,150,8,42|43|44|45|46|47|48|49,26.66,0.58,25.00|29.69|27.34|25.78|25.00|28.12|25.78|26.56,0.991
cube,gd_surveyor,150,8,42|43|44|45|46|47|48|49,24.31,1.28,26.56|27.34|20.31|20.31|20.31|28.12|23.44|28.12,0.969
pusht,gd_blind2,150,8,42|43|44|45|46|47|48|49,97.27,0.31,96.09|97.66|96.48|98.44|98.44|97.27|96.88|96.88,0.514
pusht,gd_blindk,150,8,42|43|44|45|46|47|48|49,95.90,0.16,96.48|96.09|95.70|95.70|96.09|96.09|96.09|94.92,0.349
pusht,gd_ffjepa_s10k3,150,8,42|43|44|45|46|47|48|49,97.66,0.33,97.27|99.22|97.66|96.88|96.48|97.66|97.27|98.83,
pusht,gd_flat_rh5,150,8,42|43|44|45|46|47|48|49,10.01,0.69,7.81|7.03|10.55|10.55|13.28|9.77|11.33|9.77,
pusht,gd_router_mp,150,8,42|43|44|45|46|47|48|49,97.76,0.27,97.27|98.44|96.48|97.66|98.44|98.83|97.27|97.66,0.673
pusht,gd_router,150,8,42|43|44|45|46|47|48|49,97.41,0.25,96.48|97.27|98.44|96.48|97.27|97.66|97.66|98.05,0.671
pusht,gd_surveyor,150,8,42|43|44|45|46|47|48|49,96.68,0.23,97.66|95.31|96.48|96.88|96.48|96.88|96.88|96.88,0.673
reacher,gd_blind2,150,8,42|43|44|45|46|47|48|49,92.58,0.39,91.41|92.97|92.19|93.75|93.75|92.97|92.97|90.62,0.524
reacher,gd_blindk,150,8,42|43|44|45|46|47|48|49,89.35,0.46,90.62|89.84|88.28|89.06|89.84|90.62|89.84|86.72,0.356
reacher,gd_ffjepa_s10k8,150,8,42|43|44|45|46|47|48|49,93.85,0.56,93.75|92.97|93.75|92.19|96.88|95.31|92.19|93.75,
reacher,gd_flat_rh5,150,8,42|43|44|45|46|47|48|49,89.35,0.59,89.06|86.72|90.62|88.28|88.28|89.84|89.84|92.19,
reacher,gd_router_mp,150,8,42|43|44|45|46|47|48|49,92.58,0.80,95.31|94.53|92.97|92.97|90.62|92.19|93.75|88.28,0.871
reacher,gd_router,150,8,42|43|44|45|46|47|48|49,93.94,0.72,96.09|94.53|91.41|92.97|95.31|95.31|95.31|90.62,0.873
reacher,gd_surveyor,150,8,42|43|44|45|46|47|48|49,93.75,0.55,93.75|91.41|92.97|94.53|96.88|93.75|93.75|92.97,0.769
tworoom,gd_flat_rh2,75,8,42|43|44|45|46|47|48|49,45.90,2.02,46.88|46.88|42.19|39.06|57.81|48.44|42.19|43.75,
tworoom,gd_pair_accept,75,8,42|43|44|45|46|47|48|49,58.99,2.20,56.25|59.38|60.94|56.25|67.19|67.19|56.25|48.44,0.950
tworoom,gd_pair_blind,75,8,42|43|44|45|46|47|48|49,52.93,1.88,51.56|54.69|45.31|48.44|62.50|50.00|56.25|54.69,0.347
tworoom,gd_pair_every,75,8,42|43|44|45|46|47|48|49,61.33,2.04,57.81|60.94|57.81|59.38|65.62|71.88|64.06|53.12,1.000
tworoom,gd_router,75,2,42|43,57.81,1.57,56.25|59.38,0.954
