JobID|State|Elapsed
2410999_609|COMPLETED|401
2411000_418|COMPLETED|1233
2411001_566|COMPLETED|2460
2411001_685|COMPLETED|2118
2411001_733|COMPLETED|3104
2411002_0|COMPLETED|11346
2411002_1|COMPLETED|11070
2411002_2|COMPLETED|11456
2411002_3|COMPLETED|10904
2411002_4|COMPLETED|11101
2411002_5|COMPLETED|11236
2411002_6|COMPLETED|11119
2411002_7|COMPLETED|10737
2411002_8|COMPLETED|11734
2411002_9|COMPLETED|11780
2411002_10|COMPLETED|11466
2411002_11|COMPLETED|11215
2411002_12|COMPLETED|11697
2411002_13|COMPLETED|11400
2411002_14|COMPLETED|11614
2411002_15|COMPLETED|11910
2411002_16|COMPLETED|10711
2411002_17|COMPLETED|10887
2411002_18|COMPLETED|11210
2411002_19|COMPLETED|10778
2411002_20|COMPLETED|10751
2411002_21|COMPLETED|10700
2411002_22|COMPLETED|10547
2411002_23|COMPLETED|10027
2411002_24|COMPLETED|12808
2411002_25|COMPLETED|13169
2411002_26|COMPLETED|12608
2411002_27|COMPLETED|12892
2411002_28|COMPLETED|13011
2411002_29|COMPLETED|12839
2411002_30|COMPLETED|12826
2411002_31|COMPLETED|13060
2411002_32|COMPLETED|11736
2411002_33|COMPLETED|11644
2411002_34|COMPLETED|11564
2411002_35|COMPLETED|11746
2411002_36|COMPLETED|11793
2411002_37|COMPLETED|11545
2411002_38|COMPLETED|12159
2411002_39|COMPLETED|11637
2411002_40|COMPLETED|11899
2411002_41|COMPLETED|11545
2411002_42|COMPLETED|11997
2411002_43|COMPLETED|11749
2411002_44|COMPLETED|11661
2411002_45|COMPLETED|11578
2411002_46|COMPLETED|11627
2411002_47|COMPLETED|11761
2411002_48|COMPLETED|10996
2411002_49|COMPLETED|11284
2411002_50|COMPLETED|11021
2411002_51|COMPLETED|10850
2411002_52|COMPLETED|10952
2411002_53|COMPLETED|10965
2411002_54|COMPLETED|11164
2411002_55|COMPLETED|11101
2412415_80|COMPLETED|1332
2412415_81|COMPLETED|1270
2412415_82|COMPLETED|1100
2412415_83|COMPLETED|1267
2412415_84|COMPLETED|1241
2412415_85|COMPLETED|1246
2412415_86|COMPLETED|1181
2412415_87|COMPLETED|1092
2412415_88|COMPLETED|1060
2412415_89|COMPLETED|1132
2412415_90|COMPLETED|1295
2412415_91|COMPLETED|1310
2412415_92|COMPLETED|1148
2412415_93|COMPLETED|1126
2412415_94|COMPLETED|1076
2412415_95|COMPLETED|1412
2411002_56|COMPLETED|2150
2411002_57|COMPLETED|2167
2411002_58|COMPLETED|2188
2411002_59|COMPLETED|2142
2411002_60|COMPLETED|2078
2411002_61|COMPLETED|2123
2411002_62|COMPLETED|2164
2411002_63|COMPLETED|2265
2411002_64|COMPLETED|2567
2411002_65|COMPLETED|2572
