env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,flat_rh2,25,8,42|43|44|45|46|47|48|49,60.74,0.41,60.94|60.94|58.59|60.16|61.72|62.50|60.16|60.94,
cube,flat_rh2,50,8,42|43|44|45|46|47|48|49,36.62,0.31,35.94|35.94|37.50|35.94|35.94|36.72|36.72|38.28,
cube,flat_rh2,75,8,42|43|44|45|46|47|48|49,43.75,0.49,44.53|42.97|42.97|43.75|41.41|44.53|43.75|46.09,
cube,flat_rh2,100,8,42|43|44|45|46|47|48|49,35.06,0.40,35.94|32.81|35.16|35.16|34.38|35.16|35.16|36.72,
cube,flat_rh2,150,8,42|43|44|45|46|47|48|49,13.18,0.31,14.06|12.50|13.28|13.28|12.50|12.50|12.50|14.84,
cube,gd_flat_rh2,25,8,42|43|44|45|46|47|48|49,60.74,0.59,60.16|60.94|60.16|62.50|62.50|58.59|62.50|58.59,
cube,icem_flat_rh2,25,8,42|43|44|45|46|47|48|49,57.81,0.26,57.81|58.59|58.59|57.03|57.03|57.81|57.03|58.59,
cube,mppi_flat_rh2,25,8,42|43|44|45|46|47|48|49,41.80,1.37,46.88|36.72|39.06|39.06|42.19|39.06|46.09|45.31,
cube,gd_flat_rh2,50,8,42|43|44|45|46|47|48|49,35.94,0.47,34.38|36.72|35.16|36.72|35.94|34.38|38.28|35.94,
cube,icem_flat_rh2,50,8,42|43|44|45|46|47|48|49,35.06,0.37,34.38|35.16|35.94|36.72|33.59|34.38|34.38|35.94,
cube,mppi_flat_rh2,50,8,42|43|44|45|46|47|48|49,25.29,0.71,26.56|25.78|23.44|24.22|23.44|23.44|26.56|28.91,
cube,gd_flat_rh2,75,8,42|43|44|45|46|47|48|49,46.00,0.56,46.09|45.31|46.88|46.09|45.31|43.75|49.22|45.31,
cube,icem_flat_rh2,75,8,42|43|44|45|46|47|48|49,40.23,0.39,40.62|39.06|39.84|39.06|39.84|41.41|42.19|39.84,
cube,mppi_flat_rh2,75,8,42|43|44|45|46|47|48|49,28.12,1.01,22.66|30.47|30.47|27.34|28.12|31.25|25.78|28.91,
cube,gd_flat_rh2,100,8,42|43|44|45|46|47|48|49,35.84,0.70,33.59|32.81|35.94|38.28|35.16|35.94|38.28|36.72,
cube,icem_flat_rh2,100,8,42|43|44|45|46|47|48|49,27.73,0.15,28.12|27.34|27.34|28.12|27.34|28.12|27.34|28.12,
cube,mppi_flat_rh2,100,8,42|43|44|45|46|47|48|49,20.70,0.71,21.09|21.88|21.09|23.44|22.66|18.75|18.75|17.97,
