env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
tworoom,gcrouter_off_s42_mp_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.854
tworoom,gcrouter_off_s42_tauown_lewmarb_arb1.160,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
tworoom,gcrouter_off_s42_tauown_lewmarb_arb1.364,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
tworoom,gd_router_mp_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,83.59,1.18,85.94|85.94|78.12|87.50|82.81|82.81|85.94|79.69,0.958
tworoom,gd_router_tauown_lewmarb_arb1.160,25,8,42|43|44|45|46|47|48|49,81.84,1.84,90.62|79.69|82.81|82.81|81.25|84.38|81.25|71.88,0.936
tworoom,gd_router_tauown_lewmarb_arb1.364,25,8,42|43|44|45|46|47|48|49,82.03,1.84,90.62|79.69|82.81|82.81|82.81|84.38|81.25|71.88,0.937
tworoom,icem_router_mp_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,85.94,1.51,89.06|81.25|84.38|89.06|87.50|92.19|84.38|79.69,0.929
tworoom,icem_router_tauown_lewmarb_arb1.160,25,8,42|43|44|45|46|47|48|49,86.13,1.71,93.75|81.25|81.25|90.62|84.38|89.06|87.50|81.25,0.929
tworoom,icem_router_tauown_lewmarb_arb1.364,25,8,42|43|44|45|46|47|48|49,85.74,1.71,93.75|81.25|81.25|90.62|84.38|89.06|84.38|81.25,0.928
tworoom,mppi_router_mp_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,53.12,2.25,64.06|54.69|46.88|54.69|57.81|50.00|43.75|53.12,0.946
tworoom,mppi_router_tauown_lewmarb_arb1.160,25,8,42|43|44|45|46|47|48|49,53.32,1.81,59.38|56.25|45.31|56.25|57.81|51.56|46.88|53.12,0.880
tworoom,mppi_router_tauown_lewmarb_arb1.364,25,8,42|43|44|45|46|47|48|49,52.54,2.07,59.38|56.25|45.31|56.25|57.81|46.88|45.31|53.12,0.882
tworoom,router_tauown_lewmarb_arb1.160,25,8,42|43|44|45|46|47|48|49,75.98,3.23,92.19|73.44|68.75|75.00|75.00|87.50|68.75|67.19,0.943
tworoom,router_tauown_lewmarb_arb1.364,25,8,42|43|44|45|46|47|48|49,75.20,3.15,92.19|71.88|68.75|75.00|75.00|84.38|67.19|67.19,0.950
tworoom,gcrouter_off_s42_mp_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,99.81,0.20,100.00|98.44|100.00|100.00|100.00|100.00|100.00|100.00,0.829
tworoom,gd_router_mp_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,72.46,1.59,71.88|71.88|79.69|70.31|71.88|78.12|65.62|70.31,0.947
tworoom,icem_router_mp_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,82.23,2.17,85.94|87.50|70.31|84.38|84.38|75.00|85.94|84.38,0.929
tworoom,mppi_router_mp_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,44.92,1.69,50.00|37.50|39.06|48.44|48.44|45.31|42.19|48.44,0.948
tworoom,gcrouter_off_s42_mp_tauown_lewmarb,75,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.700
