env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
tworoom,gcrouter_off_s42_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
tworoom,gd_router_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,82.03,1.84,90.62|79.69|82.81|82.81|82.81|84.38|81.25|71.88,0.937
tworoom,icem_router_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,85.74,1.71,93.75|81.25|81.25|90.62|84.38|89.06|84.38|81.25,0.928
tworoom,mppi_router_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,52.54,2.07,59.38|56.25|45.31|56.25|57.81|46.88|45.31|53.12,0.880
tworoom,router_tauown_lewmarb,25,8,42|43|44|45|46|47|48|49,75.20,3.15,92.19|71.88|68.75|75.00|75.00|84.38|67.19|67.19,0.950
tworoom,gcrouter_off_s42_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
tworoom,gd_router_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,72.85,1.82,62.50|73.44|75.00|71.88|76.56|78.12|68.75|76.56,0.908
tworoom,icem_router_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,82.23,1.47,82.81|89.06|76.56|79.69|78.12|81.25|84.38|85.94,0.930
tworoom,mppi_router_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,42.38,1.43,43.75|43.75|48.44|40.62|43.75|43.75|34.38|40.62,0.899
tworoom,router_tauown_lewmarb,50,8,42|43|44|45|46|47|48|49,69.53,1.45,73.44|64.06|65.62|75.00|67.19|73.44|70.31|67.19,0.941
tworoom,gcrouter_off_s42_tauown_lewmarb,75,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,1.000
tworoom,gd_router_tauown_lewmarb,75,8,42|43|44|45|46|47|48|49,59.96,2.47,57.81|57.81|56.25|54.69|71.88|68.75|51.56|60.94,0.857
tworoom,icem_router_tauown_lewmarb,75,8,42|43|44|45|46|47|48|49,76.37,0.80,73.44|73.44|78.12|75.00|76.56|76.56|79.69|78.12,0.869
tworoom,mppi_router_tauown_lewmarb,75,8,42|43|44|45|46|47|48|49,35.55,2.22,32.81|29.69|42.19|32.81|45.31|37.50|37.50|26.56,0.858
tworoom,router_tauown_lewmarb,75,8,42|43|44|45|46|47|48|49,64.06,2.95,67.19|53.12|67.19|51.56|75.00|71.88|60.94|65.62,0.880
