env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gcrouter_off_s42_tauown,25,8,42|43|44|45|46|47|48|49,76.66,0.63,78.91|75.78|78.12|78.91|74.22|76.56|75.00|75.78,0.552
cube,gcsurv_off_s42_nogate_tauown,25,8,42|43|44|45|46|47|48|49,81.44,0.29,82.81|82.03|81.25|80.47|80.47|81.25|81.25|82.03,0.472
cube,gd_router_tauown,25,8,42|43|44|45|46|47|48|49,61.52,0.80,60.94|59.38|61.72|63.28|62.50|58.59|65.62|60.16,0.779
cube,gd_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,54.98,1.51,57.81|52.34|52.34|58.59|59.38|51.56|59.38|48.44,0.551
cube,icem_router_tauown,25,8,42|43|44|45|46|47|48|49,62.50,0.51,60.94|61.72|61.72|63.28|62.50|65.62|61.72|62.50,0.742
cube,icem_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,67.19,0.59,69.53|67.19|67.97|67.97|67.97|67.19|65.62|64.06,0.518
cube,mppi_router_tauown,25,8,42|43|44|45|46|47|48|49,41.80,0.96,46.88|39.06|39.84|39.06|40.62|43.75|42.97|42.19,0.764
cube,mppi_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,32.33,0.84,32.03|34.38|28.12|33.59|32.03|34.38|34.38|29.69,0.586
cube,router_tauown,25,8,42|43|44|45|46|47|48|49,66.41,0.59,66.41|66.41|64.06|64.84|67.19|67.19|69.53|65.62,0.766
cube,surveyor_tauown,25,8,42|43|44|45|46|47|48|49,66.02,1.75,57.81|64.06|67.97|72.66|61.72|66.41|71.88|65.62,0.535
cube,gcrouter_off_s42_tauown,50,8,42|43|44|45|46|47|48|49,52.73,0.53,53.12|53.91|50.00|54.69|51.56|52.34|52.34|53.91,0.626
cube,gcsurv_off_s42_nogate_tauown,50,8,42|43|44|45|46|47|48|49,70.31,0.95,70.31|73.44|68.75|71.88|67.19|67.19|69.53|74.22,0.523
cube,gd_router_tauown,50,8,42|43|44|45|46|47|48|49,39.26,0.62,39.06|39.06|40.62|42.19|37.50|40.62|37.50|37.50,0.581
cube,gd_surveyor_tauown,50,8,42|43|44|45|46|47|48|49,43.06,0.94,46.09|40.62|39.06|41.41|42.19|46.09|45.31|43.75,0.504
cube,icem_router_tauown,50,8,42|43|44|45|46|47|48|49,43.85,0.76,42.19|46.09|46.88|42.19|46.09|42.97|41.41|42.97,0.558
cube,icem_surveyor_tauown,50,8,42|43|44|45|46|47|48|49,47.85,0.59,48.44|49.22|45.31|46.09|49.22|47.66|46.88|50.00,0.493
cube,mppi_router_tauown,50,8,42|43|44|45|46|47|48|49,27.44,1.39,25.00|32.03|28.12|31.25|21.09|23.44|28.12|30.47,0.615
cube,mppi_surveyor_tauown,50,8,42|43|44|45|46|47|48|49,28.42,1.18,27.34|30.47|34.38|31.25|26.56|27.34|25.78|24.22,0.536
cube,router_tauown,50,8,42|43|44|45|46|47|48|49,45.41,1.12,44.53|39.84|46.88|46.09|42.97|49.22|44.53|49.22,0.584
cube,surveyor_tauown,50,8,42|43|44|45|46|47|48|49,46.88,0.93,43.75|44.53|46.09|51.56|48.44|44.53|48.44|47.66,0.509
cube,gcrouter_off_s42_tauown,75,8,42|43|44|45|46|47|48|49,50.88,0.60,52.34|51.56|50.78|50.78|51.56|46.88|51.56|51.56,0.565
cube,gcsurv_off_s42_nogate_tauown,75,8,42|43|44|45|46|47|48|49,64.16,0.70,63.28|66.41|64.84|61.72|64.06|61.72|67.19|64.06,0.478
cube,gd_router_tauown,75,8,42|43|44|45|46|47|48|49,48.93,0.57,49.22|48.44|47.66|48.44|52.34|47.66|47.66|50.00,0.554
cube,gd_surveyor_tauown,75,8,42|43|44|45|46|47|48|49,31.84,0.88,32.81|34.38|34.38|26.56|31.25|31.25|32.81|31.25,0.505
cube,icem_router_tauown,75,8,42|43|44|45|46|47|48|49,50.20,0.48,52.34|50.00|50.00|48.44|50.00|48.44|51.56|50.78,0.533
cube,icem_surveyor_tauown,75,8,42|43|44|45|46|47|48|49,41.02,1.40,38.28|41.41|44.53|40.62|39.84|34.38|47.66|41.41,0.500
cube,mppi_router_tauown,75,8,42|43|44|45|46|47|48|49,29.30,0.85,24.22|29.69|28.91|29.69|31.25|32.03|30.47|28.12,0.600
cube,mppi_surveyor_tauown,75,8,42|43|44|45|46|47|48|49,16.99,0.69,16.41|18.75|17.97|14.06|18.75|17.97|14.06|17.97,0.533
cube,router_tauown,75,8,42|43|44|45|46|47|48|49,49.71,0.79,50.00|52.34|46.88|50.00|47.66|53.12|50.00|47.66,0.550
cube,surveyor_tauown,75,8,42|43|44|45|46|47|48|49,34.57,1.14,29.69|36.72|38.28|34.38|34.38|38.28|34.38|30.47,0.506
cube,gcrouter_off_s42_tauown,100,8,42|43|44|45|46|47|48|49,63.09,0.80,60.16|65.62|64.06|64.06|60.94|60.16|64.84|64.84,0.542
cube,gcsurv_off_s42_nogate_tauown,100,8,42|43|44|45|46|47|48|49,71.68,0.59,68.75|71.09|71.09|74.22|71.09|71.88|73.44|71.88,0.463
cube,gd_router_tauown,100,8,42|43|44|45|46|47|48|49,39.16,0.58,35.94|39.06|38.28|39.06|41.41|39.84|39.06|40.62,0.513
cube,gd_surveyor_tauown,100,8,42|43|44|45|46|47|48|49,33.50,0.92,33.59|37.50|33.59|34.38|30.47|29.69|35.94|32.81,0.484
cube,icem_router_tauown,100,8,42|43|44|45|46|47|48|49,32.52,0.25,32.81|33.59|32.81|31.25|32.03|32.03|32.81|32.81,0.478
cube,icem_surveyor_tauown,100,8,42|43|44|45|46|47|48|49,34.47,1.10,36.72|31.25|31.25|36.72|38.28|31.25|37.50|32.81,0.472
cube,mppi_router_tauown,100,8,42|43|44|45|46|47|48|49,21.97,0.58,22.66|19.53|21.09|25.00|22.66|22.66|21.09|21.09,0.561
cube,mppi_surveyor_tauown,100,8,42|43|44|45|46|47|48|49,20.51,1.15,20.31|22.66|20.31|23.44|22.66|23.44|15.62|15.62,0.526
cube,router_tauown,100,8,42|43|44|45|46|47|48|49,41.31,0.71,41.41|37.50|40.62|41.41|42.97|41.41|44.53|40.62,0.511
cube,surveyor_tauown,100,8,42|43|44|45|46|47|48|49,36.43,0.82,39.84|34.38|36.72|37.50|36.72|32.03|37.50|36.72,0.495
cube,gcrouter_off_s42_tauown,150,8,42|43|44|45|46|47|48|49,45.51,0.83,47.66|46.09|46.09|42.19|46.88|46.88|46.88|41.41,0.531
cube,gcsurv_off_s42_nogate_tauown,150,8,42|43|44|45|46|47|48|49,49.51,1.06,50.00|49.22|54.69|43.75|50.78|49.22|48.44|50.00,0.483
cube,gd_router_tauown,150,8,42|43|44|45|46|47|48|49,24.41,0.41,25.78|25.78|23.44|25.00|25.00|24.22|23.44|22.66,0.526
cube,gd_surveyor_tauown,150,8,42|43|44|45|46|47|48|49,26.27,1.05,28.12|25.78|25.00|21.88|27.34|25.00|25.00|32.03,0.481
cube,icem_router_tauown,150,8,42|43|44|45|46|47|48|49,24.42,0.78,24.22|22.66|23.44|28.91|23.44|23.44|22.66|26.56,0.480
cube,icem_surveyor_tauown,150,8,42|43|44|45|46|47|48|49,28.61,0.51,29.69|28.12|31.25|27.34|27.34|28.12|29.69|27.34,0.476
cube,mppi_router_tauown,150,8,42|43|44|45|46|47|48|49,15.43,1.16,15.62|15.62|10.16|14.84|16.41|15.62|13.28|21.88,0.565
cube,mppi_surveyor_tauown,150,8,42|43|44|45|46|47|48|49,14.94,1.20,16.41|7.81|14.06|14.06|19.53|14.84|17.19|15.62,0.513
cube,router_tauown,150,8,42|43|44|45|46|47|48|49,26.07,0.77,22.66|25.78|27.34|25.00|29.69|26.56|24.22|27.34,0.526
cube,surveyor_tauown,150,8,42|43|44|45|46|47|48|49,26.76,1.00,28.12|25.78|27.34|22.66|25.00|28.12|25.00|32.03,0.487
reacher,gcrouter_off_s42_tauown,25,8,42|43|44|45|46|47|48|49,95.31,0.42,95.31|95.31|95.31|96.09|93.75|94.53|94.53|97.66,0.635
reacher,gcsurv_off_s42_tauown,25,8,42|43|44|45|46|47|48|49,60.74,1.16,59.38|56.25|57.81|67.19|62.50|60.94|60.94|60.94,0.619
reacher,gd_router_tauown,25,8,42|43|44|45|46|47|48|49,96.48,0.49,96.09|95.31|99.22|96.88|94.53|96.88|96.09|96.88,0.940
reacher,gd_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,63.58,1.10,64.06|60.16|66.41|59.38|61.72|68.75|64.06|64.06,0.911
reacher,icem_router_tauown,25,8,42|43|44|45|46|47|48|49,98.83,0.26,98.44|99.22|98.44|97.66|98.44|99.22|100.00|99.22,0.925
reacher,icem_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,53.03,1.41,54.69|49.22|51.56|58.59|48.44|50.00|53.12|58.59,0.781
reacher,mppi_router_tauown,25,8,42|43|44|45|46|47|48|49,81.05,1.08,86.72|83.59|78.12|82.81|78.12|78.91|80.47|79.69,0.993
reacher,mppi_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,52.44,1.30,46.88|52.34|50.78|55.47|55.47|47.66|54.69|56.25,0.976
reacher,router_tauown,25,8,42|43|44|45|46|47|48|49,98.15,0.42,96.09|99.22|98.44|96.88|98.44|97.66|99.22|99.22,0.916
reacher,surveyor_tauown,25,8,42|43|44|45|46|47|48|49,62.79,1.39,58.59|57.03|66.41|66.41|64.84|60.94|67.19|60.94,0.825
reacher,gcrouter_off_s42_tauown,50,8,42|43|44|45|46|47|48|49,93.55,0.62,90.62|92.97|94.53|93.75|96.09|95.31|92.19|92.97,0.657
reacher,gcsurv_off_s42_tauown,50,8,42|43|44|45|46|47|48|49,82.32,1.29,88.28|81.25|82.81|75.78|79.69|84.38|83.59|82.81,0.674
reacher,gd_router_tauown,50,8,42|43|44|45|46|47|48|49,98.83,0.15,99.22|99.22|98.44|98.44|99.22|98.44|98.44|99.22,0.958
reacher,gd_surveyor_tauown,50,8,42|43|44|45|46|47|48|49,86.62,1.21,88.28|89.84|89.84|88.28|87.50|84.38|85.16|79.69,0.906
reacher,icem_router_tauown,50,8,42|43|44|45|46|47|48|49,98.24,0.24,96.88|98.44|97.66|98.44|98.44|99.22|98.44|98.44,0.904
reacher,icem_surveyor_tauown,50,8,42|43|44|45|46|47|48|49,79.69,1.74,71.88|79.69|84.38|85.94|74.22|79.69|78.12|83.59,0.752
reacher,mppi_router_tauown,50,8,42|43|44|45|46|47|48|49,93.75,1.14,91.41|92.19|95.31|98.44|94.53|90.62|89.84|97.66,0.993
reacher,mppi_surveyor_tauown,50,8,42|43|44|45|46|47|48|49,78.52,1.17,83.59|78.91|79.69|75.78|76.56|82.03|73.44|78.12,0.979
reacher,router_tauown,50,8,42|43|44|45|46|47|48|49,97.56,0.27,96.09|97.66|97.66|97.66|98.44|98.44|96.88|97.66,0.896
reacher,surveyor_tauown,50,8,42|43|44|45|46|47|48|49,82.62,0.78,82.81|85.16|85.16|82.03|79.69|79.69|82.03|84.38,0.806
reacher,gcrouter_off_s42_tauown,100,8,42|43|44|45|46|47|48|49,95.02,0.42,96.88|93.75|93.75|95.31|95.31|95.31|96.09|93.75,0.732
reacher,gcsurv_off_s42_tauown,100,8,42|43|44|45|46|47|48|49,95.51,0.64,92.97|97.66|95.31|97.66|92.97|96.09|95.31|96.09,0.761
reacher,gd_router_tauown,100,8,42|43|44|45|46|47|48|49,96.39,0.33,96.09|95.31|97.66|96.88|96.09|96.09|95.31|97.66,0.960
