env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,gcrouter_off_s42_tauown,25,8,42|43|44|45|46|47|48|49,99.85,0.07,100.00|99.61|99.61|99.61|100.00|100.00|100.00|100.00,0.839
pusht,gcsurv_off_s42_tauown,25,8,42|43|44|45|46|47|48|49,99.37,0.13,98.83|99.61|98.83|99.61|99.22|99.61|99.61|99.61,0.869
pusht,gd_router_tauown,25,8,42|43|44|45|46|47|48|49,99.22,0.21,99.61|100.00|99.22|98.44|99.61|99.61|98.83|98.44,0.895
pusht,gd_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,98.73,0.06,98.83|98.83|98.83|98.44|98.44|98.83|98.83|98.83,0.791
pusht,icem_router_tauown,25,8,42|43|44|45|46|47|48|49,97.41,0.21,96.88|97.66|96.88|98.05|97.66|96.48|97.66|98.05,0.882
pusht,icem_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,99.03,0.10,99.22|99.22|98.83|98.44|99.22|98.83|99.22|99.22,0.831
pusht,mppi_router_tauown,25,8,42|43|44|45|46|47|48|49,97.12,0.40,96.88|95.70|96.88|98.83|95.70|98.05|96.88|98.05,0.913
pusht,mppi_surveyor_tauown,25,8,42|43|44|45|46|47|48|49,97.66,0.58,98.44|97.27|98.44|98.44|98.44|98.05|93.75|98.44,0.839
pusht,router_tauown,25,8,42|43|44|45|46|47|48|49,99.37,0.15,99.61|99.22|100.00|98.83|99.61|98.83|99.22|99.61,0.884
pusht,surveyor_tauown,25,8,42|43|44|45|46|47|48|49,98.78,0.19,98.44|99.22|99.61|98.44|98.44|98.05|98.83|99.22,0.774
pusht,gcrouter_off_s42_tauown,50,8,42|43|44|45|46|47|48|49,96.09,0.42,98.05|95.70|94.53|95.31|95.70|97.27|95.31|96.88,0.759
pusht,gcsurv_off_s42_tauown,50,8,42|43|44|45|46|47|48|49,95.51,0.38,96.09|97.27|96.09|94.92|93.75|94.92|96.09|94.92,0.759
