env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,gcrouter_off_s42_tauown_a100,150,8,42|43|44|45|46|47|48|49,94.19,0.49,95.31|94.53|91.41|95.31|93.75|94.14|93.36|95.70,0.732
pusht,gd_router_tauown_a100,150,8,42|43|44|45|46|47|48|49,96.73,0.35,96.88|96.88|95.31|96.88|98.05|95.31|96.88|97.66,0.601
pusht,icem_router_tauown_a100,150,8,42|43|44|45|46|47|48|49,93.41,0.36,94.53|94.53|91.80|94.14|93.75|93.36|92.58|92.58,0.638
pusht,mppi_router_tauown_a100,150,8,42|43|44|45|46|47|48|49,94.72,0.35,94.14|96.09|94.14|94.92|95.70|95.31|92.97|94.53,0.666
pusht,router_tauown_a100,150,8,42|43|44|45|46|47|48|49,97.27,0.23,97.66|97.27|98.05|96.88|98.05|96.88|97.27|96.09,0.575
reacher,gcrouter_off_s42_tauown_a100,150,8,42|43|44|45|46|47|48|49,95.41,0.40,93.75|95.31|95.31|97.66|94.53|95.31|96.09|95.31,0.775
reacher,gd_router_tauown_a100,150,8,42|43|44|45|46|47|48|49,93.55,0.81,92.97|93.75|88.28|93.75|95.31|94.53|95.31|94.53,0.960
reacher,icem_router_tauown_a100,150,8,42|43|44|45|46|47|48|49,92.67,0.61,93.75|92.19|94.53|92.19|95.31|90.62|92.19|90.62,0.898
reacher,mppi_router_tauown_a100,150,8,42|43|44|45|46|47|48|49,92.97,0.49,92.19|93.75|94.53|91.41|95.31|92.19|92.19|92.19,0.986
reacher,router_tauown_a100,150,8,42|43|44|45|46|47|48|49,90.72,0.67,89.84|90.62|90.62|88.28|92.19|88.28|92.97|92.97,0.912
