JobID|State|Elapsed
2415420_0|COMPLETED|12189
2415420_1|COMPLETED|11881
2415420_2|COMPLETED|11983
2415420_3|COMPLETED|11503
2415420_4|COMPLETED|11764
2415420_5|COMPLETED|11713
2415420_6|COMPLETED|11865
2415420_7|COMPLETED|11898
2415420_8|COMPLETED|1349
2415420_9|COMPLETED|1334
2415420_10|COMPLETED|1529
2415420_11|COMPLETED|1270
2415420_12|COMPLETED|1202
2415420_13|COMPLETED|1259
2415420_14|COMPLETED|1283
2415420_15|COMPLETED|1298
2415420_16|COMPLETED|3109
2415420_17|COMPLETED|3059
2415420_18|COMPLETED|3098
2415420_19|COMPLETED|3144
2415420_20|COMPLETED|3057
2415420_21|COMPLETED|3093
2415420_22|COMPLETED|3102
2415420_23|COMPLETED|3148
2415420_24|COMPLETED|455
2415420_25|COMPLETED|455
2415420_26|COMPLETED|421
2415420_27|COMPLETED|428
2415420_28|COMPLETED|369
2415420_29|COMPLETED|405
2415420_30|COMPLETED|377
2415420_31|COMPLETED|351
2415420_32|COMPLETED|3329
2415420_33|COMPLETED|3371
2415420_34|COMPLETED|3365
2415420_35|COMPLETED|3296
2415420_36|COMPLETED|3370
2415420_37|COMPLETED|3327
2415420_38|COMPLETED|3441
2415420_39|COMPLETED|3407
2415420_40|COMPLETED|380
2415420_41|COMPLETED|367
2415420_42|COMPLETED|342
2415420_43|COMPLETED|394
2415420_44|COMPLETED|325
2415420_45|COMPLETED|427
2415420_46|COMPLETED|402
2415420_47|COMPLETED|374
2415420_48|COMPLETED|3151
2415420_49|COMPLETED|3090
2415420_50|COMPLETED|3078
2415420_51|COMPLETED|3140
2415420_52|COMPLETED|3158
2415420_53|COMPLETED|3224
2415420_54|COMPLETED|3277
2415420_55|COMPLETED|3190
2415420_56|COMPLETED|487
2415420_57|COMPLETED|440
2415420_58|COMPLETED|474
2415420_59|COMPLETED|447
2415420_60|COMPLETED|444
2415420_61|COMPLETED|464
2415420_62|COMPLETED|486
2415420_63|COMPLETED|451
2415420_64|COMPLETED|543
2415420_65|COMPLETED|522
2415420_66|COMPLETED|544
2415420_67|COMPLETED|512
2415420_68|COMPLETED|537
2415420_69|COMPLETED|552
2415420_70|COMPLETED|517
2415420_71|COMPLETED|520
2415420_72|COMPLETED|225
2415420_73|COMPLETED|235
2415420_74|COMPLETED|207
2415420_75|COMPLETED|221
2415420_76|COMPLETED|250
2415420_77|COMPLETED|229
2415420_78|COMPLETED|242
2415420_79|COMPLETED|208
