JobID|State|Elapsed
2415546_0|COMPLETED|4431
2415546_1|COMPLETED|4485
2415546_2|COMPLETED|4232
2415546_3|COMPLETED|4805
2415546_4|COMPLETED|4581
2415546_5|COMPLETED|4320
2415546_6|COMPLETED|4525
2415546_7|COMPLETED|4534
2415546_8|COMPLETED|11211
2415546_9|COMPLETED|10937
2415546_10|COMPLETED|11245
2415546_11|COMPLETED|10904
2415546_12|COMPLETED|10773
2415546_13|COMPLETED|10884
2415546_14|COMPLETED|11189
2415546_15|COMPLETED|10906
2415546_16|COMPLETED|1957
2415546_17|COMPLETED|1778
2415546_18|COMPLETED|1773
2415546_19|COMPLETED|1761
2415546_20|COMPLETED|1813
2415546_21|COMPLETED|1685
2415546_22|COMPLETED|1771
2415546_23|COMPLETED|1759
2415546_24|COMPLETED|4620
2415546_25|COMPLETED|4760
2415546_26|COMPLETED|4794
2415546_27|COMPLETED|4768
2415546_28|COMPLETED|4720
2415546_29|COMPLETED|4799
2415546_30|COMPLETED|4745
2415546_31|COMPLETED|4669
2415546_32|COMPLETED|1406
2415546_33|COMPLETED|1508
2415546_34|COMPLETED|1482
2415546_35|COMPLETED|1426
2415546_36|COMPLETED|1385
2415546_37|COMPLETED|1395
2415546_38|COMPLETED|1360
2415546_39|COMPLETED|1360
2415546_40|COMPLETED|2121
2415546_41|COMPLETED|2025
2415546_42|COMPLETED|2061
2415546_43|COMPLETED|2104
2415546_44|COMPLETED|2104
2415546_45|COMPLETED|2100
2415546_46|COMPLETED|2082
2415546_47|COMPLETED|2087
2415546_48|COMPLETED|490
2415546_49|COMPLETED|404
2415546_50|COMPLETED|435
2415546_51|COMPLETED|471
2415546_52|COMPLETED|494
2415546_53|COMPLETED|454
2415546_54|COMPLETED|447
2415546_55|COMPLETED|423
2415546_56|COMPLETED|1317
2415546_57|COMPLETED|1370
2415546_58|COMPLETED|1310
2415546_59|COMPLETED|1378
2415546_60|COMPLETED|1383
2415546_61|COMPLETED|1317
2415546_62|COMPLETED|1366
2415546_63|COMPLETED|1406
2415546_64|COMPLETED|2214
2415546_65|COMPLETED|2192
2415546_66|COMPLETED|2251
2415546_67|COMPLETED|2306
2415546_68|COMPLETED|2269
2415546_69|COMPLETED|2228
2415546_70|COMPLETED|2235
2415546_71|COMPLETED|2254
2415546_72|COMPLETED|528
2415546_73|COMPLETED|436
2415546_74|COMPLETED|454
2415546_75|COMPLETED|450
2415546_76|COMPLETED|467
2415546_77|COMPLETED|486
2415546_78|COMPLETED|432
2415546_79|COMPLETED|480
2415546_80|COMPLETED|1528
2415546_81|COMPLETED|1578
2415546_82|COMPLETED|1602
2415546_83|COMPLETED|1586
2415546_84|COMPLETED|1630
2415546_85|COMPLETED|1564
2415546_86|COMPLETED|1559
2415546_87|COMPLETED|1523
2415546_88|COMPLETED|2138
2415546_89|COMPLETED|2120
2415546_90|COMPLETED|2142
2415546_91|COMPLETED|2259
2415546_92|COMPLETED|2243
2415546_93|COMPLETED|2228
2415546_94|COMPLETED|2162
2415546_95|COMPLETED|2192
2415546_96|COMPLETED|467
2415546_97|COMPLETED|500
2415546_98|COMPLETED|444
2415546_99|COMPLETED|459
2415546_100|COMPLETED|456
2415546_101|COMPLETED|480
2415546_102|COMPLETED|447
2415546_103|COMPLETED|463
2415546_104|COMPLETED|365
2415546_105|COMPLETED|374
2415546_106|COMPLETED|379
2415546_107|COMPLETED|385
2415546_108|COMPLETED|354
2415546_109|COMPLETED|361
2415546_110|COMPLETED|378
2415546_111|COMPLETED|403
2415546_112|COMPLETED|214
2415546_113|COMPLETED|217
2415546_114|COMPLETED|158
2415546_115|COMPLETED|194
2415546_116|COMPLETED|161
2415546_117|COMPLETED|159
2415546_118|COMPLETED|171
2415546_119|COMPLETED|184
2415546_120|COMPLETED|350
2415546_121|COMPLETED|356
2415546_122|COMPLETED|357
2415546_123|COMPLETED|346
2415546_124|COMPLETED|354
2415546_125|COMPLETED|353
2415546_126|COMPLETED|385
2415546_127|COMPLETED|378
2415546_128|COMPLETED|1610
2415546_129|COMPLETED|1654
2415546_130|COMPLETED|1594
2415546_131|COMPLETED|1711
2415546_132|COMPLETED|1593
2415546_133|COMPLETED|1672
2415546_134|COMPLETED|1585
2415546_135|COMPLETED|1641
2415546_136|COMPLETED|1613
2415546_137|COMPLETED|1646
2415546_138|COMPLETED|1718
2415546_139|COMPLETED|1706
2415546_140|COMPLETED|1596
2415546_141|COMPLETED|1729
2415546_142|COMPLETED|1637
2415546_143|COMPLETED|1650
2415546_144|COMPLETED|1788
2415546_145|COMPLETED|1747
2415546_146|COMPLETED|1804
2415546_147|COMPLETED|1777
2415546_148|COMPLETED|1836
2415546_149|COMPLETED|1794
2415546_150|COMPLETED|1858
2415546_151|COMPLETED|1790
2415546_152|COMPLETED|417
2415546_153|COMPLETED|387
2415546_154|COMPLETED|372
2415546_155|COMPLETED|350
2415546_156|COMPLETED|386
2415546_157|COMPLETED|353
2415546_158|COMPLETED|377
2415546_159|COMPLETED|373
