JobID|State|Elapsed
2416121_0|COMPLETED|1983
2416121_1|COMPLETED|1927
2416121_2|COMPLETED|1905
2416121_3|COMPLETED|1978
2416121_4|COMPLETED|1850
2416121_5|COMPLETED|1856
2416121_6|COMPLETED|1950
2416121_7|COMPLETED|1999
2416121_8|COMPLETED|1717
2416121_9|COMPLETED|1632
2416121_10|COMPLETED|1584
2416121_11|COMPLETED|1700
2416121_12|COMPLETED|1546
2416121_13|COMPLETED|1619
2416121_14|COMPLETED|1605
2416121_15|COMPLETED|1681
2416121_16|COMPLETED|95
2416121_17|COMPLETED|146
2416121_18|COMPLETED|122
2416121_19|COMPLETED|91
2416121_20|COMPLETED|106
2416121_21|COMPLETED|101
2416121_22|COMPLETED|92
2416121_23|COMPLETED|104
2416121_24|COMPLETED|769
2416121_25|COMPLETED|836
2416121_26|COMPLETED|761
2416121_27|COMPLETED|876
2416121_28|COMPLETED|746
2416121_29|COMPLETED|779
2416121_30|COMPLETED|717
2416121_31|COMPLETED|873
2416121_32|COMPLETED|709
2416121_33|COMPLETED|755
2416121_34|COMPLETED|696
2416121_35|COMPLETED|713
2416121_36|COMPLETED|646
2416121_37|COMPLETED|675
2416121_38|COMPLETED|673
2416121_39|COMPLETED|690
2416121_40|COMPLETED|927
2416121_41|COMPLETED|953
2416121_42|COMPLETED|944
2416121_43|COMPLETED|964
2416121_44|COMPLETED|891
2416121_45|COMPLETED|972
2416121_46|COMPLETED|920
2416121_47|COMPLETED|1010
2416121_48|COMPLETED|141
2416121_49|COMPLETED|127
2416121_50|COMPLETED|108
2416121_51|COMPLETED|103
2416121_52|COMPLETED|135
2416121_53|COMPLETED|117
2416121_54|COMPLETED|113
2416121_55|COMPLETED|104
2416121_56|COMPLETED|476
2416121_57|COMPLETED|505
2416121_58|COMPLETED|476
2416121_59|COMPLETED|544
2416121_60|COMPLETED|515
2416121_61|COMPLETED|471
2416121_62|COMPLETED|443
2416121_63|COMPLETED|509
2416121_64|COMPLETED|415
2416121_65|COMPLETED|460
2416121_66|COMPLETED|399
2416121_67|COMPLETED|429
2416121_68|COMPLETED|385
2416121_69|COMPLETED|409
2416121_70|COMPLETED|392
2416121_71|COMPLETED|414
2416121_72|COMPLETED|556
2416121_73|COMPLETED|601
2416121_74|COMPLETED|575
2416121_75|COMPLETED|588
2416121_76|COMPLETED|537
2416121_77|COMPLETED|579
2416121_78|COMPLETED|575
2416121_79|COMPLETED|570
