env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,flat_rh2_a100,25,8,42|43|44|45|46|47|48|49,60.65,0.44,60.94|60.94|58.59|60.16|61.72|62.50|59.38|60.94,
cube,gcrouter_off_s42_tauown_a100,25,8,42|43|44|45|46|47|48|49,74.41,0.66,77.34|71.88|75.78|75.00|72.66|75.00|75.00|72.66,0.548
cube,gcsurv_off_s42_nogate_tauown_a100,25,8,42|43|44|45|46|47|48|49,81.64,0.39,81.25|82.81|82.81|81.25|81.25|81.25|79.69|82.81,0.470
cube,gd_blindk_a100,25,8,42|43|44|45|46|47|48|49,56.45,1.60,54.69|54.69|57.81|55.47|66.41|52.34|57.81|52.34,0.450
cube,gd_ffjepa_s10k3_a100,25,8,42|43|44|45|46|47|48|49,50.78,0.96,47.66|50.00|53.12|48.44|52.34|50.78|55.47|48.44,
cube,gd_flat_rh2_a100,25,8,42|43|44|45|46|47|48|49,59.57,0.70,56.25|59.38|60.94|58.59|60.94|60.16|62.50|57.81,
cube,gd_router_tauown_a100,25,8,42|43|44|45|46|47|48|49,60.84,0.94,57.81|63.28|65.62|58.59|60.16|60.94|61.72|58.59,0.766
cube,gd_surveyor_tauown_a100,25,8,42|43|44|45|46|47|48|49,54.78,1.37,52.34|51.56|53.12|53.12|61.72|53.12|60.16|53.12,0.547
cube,icem_router_tauown_a100,25,8,42|43|44|45|46|47|48|49,62.11,0.42,62.50|64.06|62.50|60.16|62.50|62.50|61.72|60.94,0.740
cube,icem_surveyor_tauown_a100,25,8,42|43|44|45|46|47|48|49,67.58,0.64,71.09|67.97|68.75|65.62|67.19|67.97|66.41|65.62,0.516
cube,mppi_flat_rh2_a100,25,8,42|43|44|45|46|47|48|49,41.89,1.26,46.09|37.50|40.62|37.50|40.62|41.41|46.09|45.31,
cube,mppi_router_tauown_a100,25,8,42|43|44|45|46|47|48|49,42.38,1.38,50.00|39.06|41.41|37.50|42.19|45.31|40.62|42.97,0.776
cube,mppi_surveyor_tauown_a100,25,8,42|43|44|45|46|47|48|49,32.71,0.83,33.59|28.91|32.81|36.72|33.59|33.59|30.47|32.03,0.592
cube,router_tauown_a100,25,8,42|43|44|45|46|47|48|49,65.14,0.78,66.41|67.97|62.50|65.62|65.62|64.06|67.19|61.72,0.761
cube,surveyor_tauown_a100,25,8,42|43|44|45|46|47|48|49,66.11,1.60,58.59|67.97|65.62|69.53|60.94|66.41|72.66|67.19,0.534
pusht,gcrouter_off_s42_tauown_a100,25,8,42|43|44|45|46|47|48|49,99.71,0.06,99.61|99.61|99.61|99.61|99.61|99.61|100.00|100.00,0.841
pusht,gcsurv_off_s42_tauown_a100,25,8,42|43|44|45|46|47|48|49,99.32,0.16,98.83|99.61|99.22|99.61|98.44|99.61|99.61|99.61,0.869
pusht,gd_blindk_a100,25,8,42|43|44|45|46|47|48|49,98.68,0.34,98.05|99.22|98.05|98.83|96.88|99.61|99.22|99.61,0.591
pusht,gd_ffjepa_s10k3_a100,25,8,42|43|44|45|46|47|48|49,98.63,0.26,98.83|98.44|99.61|98.05|97.66|98.83|98.05|99.61,
pusht,gd_flat_rh5_a100,25,8,42|43|44|45|46|47|48|49,98.10,0.16,98.05|98.83|97.66|97.66|98.05|98.44|98.44|97.66,
pusht,gd_router_tauown_a100,25,8,42|43|44|45|46|47|48|49,99.41,0.20,99.61|100.00|99.61|98.44|99.22|100.00|99.61|98.83,0.892
pusht,gd_surveyor_tauown_a100,25,8,42|43|44|45|46|47|48|49,98.68,0.10,98.44|98.83|98.83|98.44|98.83|98.44|98.44|99.22,0.789
pusht,icem_router_tauown_a100,25,8,42|43|44|45|46|47|48|49,97.66,0.10,97.66|97.66|98.05|98.05|97.27|97.66|97.27|97.66,0.884
pusht,icem_surveyor_tauown_a100,25,8,42|43|44|45|46|47|48|49,98.73,0.27,98.83|99.61|98.83|97.27|98.83|98.83|99.61|98.05,0.822
pusht,mppi_flat_rh2_a100,25,8,42|43|44|45|46|47|48|49,91.36,0.40,89.84|93.36|92.19|91.02|90.62|92.19|91.02|90.62,
