env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,59.47,0.83,56.25|57.03|57.03|60.94|60.16|60.94|62.50|60.94,
cube,flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,60.74,0.41,60.94|60.94|58.59|60.16|61.72|62.50|60.16|60.94,
cube,gcevery_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,75.39,1.09,71.88|79.69|76.56|75.00|73.44|79.69|71.88|75.00,1.000
cube,gcidm_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,73.44,0.00,73.44|73.44|73.44|73.44|73.44|73.44|73.44|73.44,
cube,gcrouter_off_s42_tauown_gh200,25,8,42|43|44|45|46|47|48|49,76.66,0.63,78.91|75.78|78.12|78.91|74.22|76.56|75.00|75.78,0.552
cube,gd_ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,49.12,1.60,52.34|51.56|45.31|46.88|50.78|44.53|57.03|44.53,
cube,gd_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,60.74,0.59,60.16|60.94|60.16|62.50|62.50|58.59|62.50|58.59,
cube,gd_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,61.62,0.84,60.94|59.38|61.72|64.06|62.50|58.59|65.62|60.16,0.777
cube,icem_ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,65.72,0.56,65.62|67.97|65.62|65.62|67.97|63.28|64.84|64.84,
cube,icem_flat_rh5_gh200,25,8,42|43|44|45|46|47|48|49,61.33,0.44,60.94|60.16|59.38|62.50|61.72|60.94|61.72|63.28,
cube,icem_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,62.40,0.56,60.16|61.72|61.72|63.28|62.50|65.62|61.72|62.50,0.733
cube,mppi_ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,30.08,0.90,28.12|28.91|25.78|32.81|29.69|33.59|30.47|31.25,
cube,mppi_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,41.80,1.37,46.88|36.72|39.06|39.06|42.19|39.06|46.09|45.31,
cube,mppi_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,41.80,0.96,46.88|39.06|39.84|39.06|40.62|43.75|42.97|42.19,0.764
cube,router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,66.31,0.65,66.41|66.41|63.28|64.84|67.19|67.19|69.53|65.62,0.762
pusht,ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,99.22,0.15,98.44|99.22|99.61|99.22|99.61|98.83|99.22|99.61,
pusht,flat_rh5_gh200,25,8,42|43|44|45|46|47|48|49,96.29,0.30,96.09|98.05|96.48|95.70|95.31|95.70|96.48|96.48,
pusht,gcevery_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,99.27,0.12,99.61|99.22|98.83|99.61|99.22|99.22|98.83|99.61,1.000
pusht,gcidm_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
pusht,gcrouter_off_s42_tauown_gh200,25,8,42|43|44|45|46|47|48|49,99.81,0.07,100.00|99.61|99.61|99.61|100.00|100.00|100.00|99.61,0.839
pusht,gd_ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,98.98,0.23,98.83|98.83|99.61|99.61|98.05|99.61|98.05|99.22,
pusht,gd_flat_rh5_gh200,25,8,42|43|44|45|46|47|48|49,98.15,0.32,98.05|97.66|98.05|98.83|96.88|98.83|97.27|99.61,
pusht,gd_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,99.07,0.22,99.61|100.00|99.22|98.05|99.22|99.22|98.83|98.44,0.897
pusht,icem_ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,98.98,0.15,98.44|99.61|98.83|99.22|98.44|98.83|99.22|99.22,
pusht,icem_flat_rh5_gh200,25,8,42|43|44|45|46|47|48|49,97.61,0.14,97.66|97.27|97.66|97.66|98.44|97.66|97.27|97.27,
pusht,icem_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,97.41,0.25,96.48|97.66|97.27|98.05|97.66|96.48|97.27|98.44,0.888
pusht,mppi_ffjepa_s10k3_gh200,25,8,42|43|44|45|46|47|48|49,97.66,0.26,97.66|97.27|96.88|98.44|98.05|98.44|96.48|98.05,
pusht,mppi_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,91.50,0.63,89.84|93.75|93.75|89.06|90.62|92.97|90.62|91.41,
pusht,mppi_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,96.97,0.32,97.66|96.88|96.09|97.66|95.70|96.09|97.66|98.05,0.915
pusht,router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,99.32,0.14,99.61|99.22|100.00|99.22|99.61|98.83|98.83|99.22,0.895
reacher,ffjepa_s10k8_gh200,25,8,42|43|44|45|46|47|48|49,62.50,1.24,63.28|63.28|61.72|62.50|57.03|58.59|65.62|67.97,
reacher,flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,95.80,0.25,95.31|96.09|96.88|94.53|95.31|96.09|96.09|96.09,
reacher,gcevery_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,80.57,1.58,73.44|78.12|79.69|79.69|85.16|79.69|80.47|88.28,1.000
reacher,gcidm_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
reacher,gcrouter_off_s42_tauown_gh200,25,8,42|43|44|45|46|47|48|49,95.31,0.42,95.31|95.31|95.31|96.09|93.75|94.53|94.53|97.66,0.635
reacher,gd_ffjepa_s10k8_gh200,25,8,42|43|44|45|46|47|48|49,66.80,1.29,71.09|70.31|62.50|66.41|63.28|63.28|66.41|71.09,
reacher,gd_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,97.17,0.69,98.44|94.53|100.00|98.44|95.31|95.31|98.44|96.88,
reacher,gd_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,96.48,0.49,96.09|95.31|99.22|96.88|94.53|96.88|96.09|96.88,0.940
reacher,icem_ffjepa_s10k8_gh200,25,8,42|43|44|45|46|47|48|49,60.94,1.64,60.94|53.91|60.94|65.62|59.38|57.03|60.94|68.75,
reacher,icem_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,97.37,0.14,97.66|96.88|96.88|97.66|97.66|97.66|96.88|97.66,
reacher,icem_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,98.83,0.26,98.44|99.22|98.44|97.66|98.44|99.22|100.00|99.22,0.925
reacher,mppi_ffjepa_s10k8_gh200,25,8,42|43|44|45|46|47|48|49,52.54,1.33,54.69|50.78|45.31|50.00|56.25|52.34|54.69|56.25,
reacher,mppi_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,80.96,0.81,82.03|78.91|82.81|83.59|81.25|82.03|80.47|76.56,
reacher,mppi_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,81.25,1.09,86.72|83.59|78.12|82.81|78.12|78.91|82.03|79.69,0.993
reacher,router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,98.15,0.42,96.09|99.22|98.44|96.88|98.44|97.66|99.22|99.22,0.916
tworoom,flat_rh5_gh200,25,8,42|43|44|45|46|47|48|49,78.32,2.48,89.06|75.00|75.00|78.12|76.56|89.06|73.44|70.31,
tworoom,gcevery_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,99.41,0.41,96.88|100.00|100.00|100.00|98.44|100.00|100.00|100.00,1.000
tworoom,gcidm_off_s42_gh200,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,
tworoom,gcrouter_off_s42_tauown_gh200,25,8,42|43|44|45|46|47|48|49,98.44,0.51,98.44|98.44|100.00|95.31|98.44|98.44|100.00|98.44,0.850
tworoom,gd_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,84.18,1.16,79.69|82.81|79.69|84.38|84.38|87.50|87.50|87.50,
tworoom,gd_pair_every_gh200,25,8,42|43|44|45|46|47|48|49,72.07,1.76,73.44|60.94|76.56|76.56|71.88|73.44|70.31|73.44,1.000
tworoom,gd_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,72.66,2.11,70.31|62.50|68.75|76.56|73.44|81.25|70.31|78.12,0.853
tworoom,icem_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,80.47,2.00,85.94|76.56|78.12|79.69|76.56|92.19|78.12|76.56,
tworoom,icem_pair_every_gh200,25,8,42|43|44|45|46|47|48|49,79.69,1.62,82.81|76.56|78.12|82.81|70.31|84.38|81.25|81.25,1.000
tworoom,icem_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,76.17,2.04,81.25|65.62|79.69|76.56|73.44|84.38|75.00|73.44,0.823
tworoom,mppi_flat_rh2_gh200,25,8,42|43|44|45|46|47|48|49,55.66,2.88,68.75|45.31|59.38|53.12|57.81|59.38|57.81|43.75,
tworoom,mppi_pair_every_gh200,25,8,42|43|44|45|46|47|48|49,49.02,1.64,54.69|40.62|48.44|53.12|51.56|51.56|46.88|45.31,1.000
tworoom,mppi_router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,47.46,1.41,48.44|42.19|42.19|53.12|45.31|48.44|51.56|48.44,0.854
tworoom,pair_every_gh200,25,8,42|43|44|45|46|47|48|49,67.58,1.72,76.56|60.94|70.31|65.62|68.75|67.19|62.50|68.75,1.000
tworoom,router_tauown_gh200,25,8,42|43|44|45|46|47|48|49,68.16,1.77,73.44|59.38|67.19|64.06|68.75|75.00|70.31|67.19,0.900
