env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,icem_router_every_tauown,25,8,42|43|44|45|46|47|48|49,97.81,0.18,97.66|98.05|98.05|98.83|97.27|97.66|97.27|97.66,1.000
pusht,router_every_tauown,25,8,42|43|44|45|46|47|48|49,99.56,0.16,100.00|99.22|99.61|98.83|100.00|100.00|99.22|99.61,1.000
pusht,icem_router_every_tauown,50,8,42|43|44|45|46|47|48|49,86.13,0.88,85.94|82.03|85.94|89.45|89.06|86.72|83.59|86.33,1.000
pusht,router_every_tauown,50,8,42|43|44|45|46|47|48|49,91.85,0.45,92.19|91.41|94.14|90.62|91.80|91.41|92.97|90.23,1.000
pusht,icem_router_every_tauown,75,8,42|43|44|45|46|47|48|49,86.67,1.14,92.19|83.59|89.06|87.50|87.50|81.64|85.94|85.94,1.000
pusht,router_every_tauown,75,8,42|43|44|45|46|47|48|49,93.02,0.35,94.53|93.36|93.36|91.80|91.41|92.97|93.36|93.36,1.000
pusht,icem_router_every_tauown,100,8,42|43|44|45|46|47|48|49,87.16,0.72,85.55|89.84|86.33|87.11|88.67|89.06|83.59|87.11,1.000
pusht,router_every_tauown,100,8,42|43|44|45|46|47|48|49,92.24,0.56,89.84|93.36|93.75|92.58|91.02|91.02|91.80|94.53,1.000
pusht,icem_router_every_tauown,150,8,42|43|44|45|46|47|48|49,90.67,0.33,91.41|89.45|92.19|91.02|90.62|91.02|90.23|89.45,1.000
pusht,router_every_tauown,150,8,42|43|44|45|46|47|48|49,96.29,0.35,96.88|95.31|96.09|98.05|95.31|96.88|96.48|95.31,1.000
reacher,icem_router_every_tauown,25,8,42|43|44|45|46|47|48|49,99.03,0.29,99.22|100.00|97.66|98.44|99.22|98.44|100.00|99.22,1.000
reacher,router_every_tauown,25,8,42|43|44|45|46|47|48|49,99.03,0.35,98.44|99.22|99.22|96.88|100.00|99.22|100.00|99.22,1.000
reacher,icem_router_every_tauown,50,8,42|43|44|45|46|47|48|49,98.34,0.31,97.66|99.22|98.44|97.66|98.44|99.22|96.88|99.22,1.000
reacher,router_every_tauown,50,8,42|43|44|45|46|47|48|49,97.85,0.41,96.88|97.66|96.09|99.22|98.44|96.88|99.22|98.44,1.000
reacher,icem_router_every_tauown,100,8,42|43|44|45|46|47|48|49,96.19,0.48,96.09|93.75|97.66|96.88|95.31|96.88|95.31|97.66,1.000
reacher,router_every_tauown,100,8,42|43|44|45|46|47|48|49,95.02,0.59,94.53|92.19|96.09|95.31|93.75|94.53|96.09|97.66,1.000
reacher,icem_router_every_tauown,150,8,42|43|44|45|46|47|48|49,93.55,0.81,92.19|95.31|95.31|89.06|95.31|95.31|92.19|93.75,1.000
reacher,router_every_tauown,150,8,42|43|44|45|46|47|48|49,89.45,0.83,85.16|89.84|89.84|89.84|93.75|89.84|88.28|89.06,1.000
