env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gcidm_router_tauown,25,8,42|43|44|45|46|47|48|49,77.54,0.46,79.69|75.78|77.34|78.12|75.78|78.12|77.34|78.12,0.565
cube,gcidm_surv_nogate_tauown,25,8,42|43|44|45|46|47|48|49,83.40,0.38,82.81|82.03|82.81|82.81|84.38|84.38|85.16|82.81,0.457
cube,gcrouter_off_s42_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,80.96,0.72,79.69|78.91|81.25|84.38|82.81|78.12|81.25|81.25,0.473
cube,gcrouter_off_s42_mp_tauown,25,8,42|43|44|45|46|47|48|49,75.19,0.20,75.78|75.78|74.22|75.00|75.00|75.78|75.00|75.00,0.663
cube,gcrouter_off_s42_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,80.86,0.69,82.03|78.12|79.69|78.91|81.25|81.25|84.38|81.25,0.490
cube,gd_router_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,65.33,1.46,66.41|64.06|63.28|66.41|65.62|70.31|69.53|57.03,0.647
cube,gd_router_mp_tauown,25,8,42|43|44|45|46|47|48|49,61.62,0.34,62.50|60.16|61.72|60.94|61.72|60.94|63.28|61.72,0.754
cube,gd_router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,61.62,0.80,59.38|60.94|64.84|60.94|58.59|61.72|64.84|61.72,0.727
cube,icem_router_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,72.75,0.72,71.88|70.31|75.00|75.78|71.09|74.22|71.09|72.66,0.553
cube,icem_router_mp_tauown,25,8,42|43|44|45|46|47|48|49,66.80,0.47,67.97|68.75|65.62|67.19|65.62|65.62|65.62|67.97,0.690
cube,icem_router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,65.62,0.59,66.41|64.06|67.97|65.62|64.06|66.41|63.28|67.19,0.718
cube,leflow_accept_tauown,25,8,42|43|44|45|46|47|48|49,33.20,0.85,35.94|35.94|30.47|32.03|35.94|32.03|30.47|32.81,0.647
cube,leflow_router_tauown,25,8,42|43|44|45|46|47|48|49,64.94,0.84,67.97|62.50|64.84|66.41|64.84|61.72|67.97|63.28,0.768
cube,mppi_router_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,42.19,1.77,44.53|45.31|42.19|41.41|39.84|32.03|42.97|49.22,0.730
cube,mppi_router_mp_tauown,25,8,42|43|44|45|46|47|48|49,41.99,1.31,47.66|37.50|39.84|36.72|42.97|44.53|42.97|43.75,0.915
cube,mppi_router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,41.50,1.09,42.97|43.75|42.19|40.62|39.84|42.19|35.16|45.31,0.716
cube,router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,66.60,1.12,64.84|66.41|70.31|70.31|66.41|68.75|64.84|60.94,0.733
cube,gcidm_router_tauown,50,8,42|43|44|45|46|47|48|49,68.75,0.77,66.41|72.66|67.19|69.53|66.41|67.97|70.31|69.53,0.540
cube,gcidm_surv_nogate_tauown,50,8,42|43|44|45|46|47|48|49,76.85,1.39,82.03|81.25|75.00|78.12|69.53|76.56|75.00|77.34,0.466
cube,gcrouter_off_s42_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,71.39,1.26,72.66|74.22|70.31|70.31|69.53|69.53|66.41|78.12,0.524
cube,gcrouter_off_s42_mp_tauown,50,8,42|43|44|45|46|47|48|49,47.95,0.47,48.44|46.88|46.88|46.09|48.44|49.22|47.66|50.00,0.603
cube,gcrouter_off_s42_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,65.43,0.93,67.19|63.28|68.75|61.72|64.06|67.19|63.28|67.97,0.542
cube,gd_router_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,46.00,0.84,43.75|44.53|46.09|42.97|50.00|46.88|45.31|48.44,0.527
cube,gd_router_mp_tauown,50,8,42|43|44|45|46|47|48|49,39.16,0.48,36.72|39.06|39.06|39.84|39.06|38.28|41.41|39.84,0.565
cube,gd_router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,45.02,0.61,45.31|43.75|44.53|42.97|48.44|46.09|45.31|43.75,0.561
cube,icem_router_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,47.66,0.64,47.66|47.66|46.09|50.78|48.44|46.09|45.31|49.22,0.491
cube,icem_router_mp_tauown,50,8,42|43|44|45|46|47|48|49,46.19,0.85,45.31|45.31|46.88|42.19|45.31|46.88|50.78|46.88,0.545
cube,icem_router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,49.12,0.54,50.00|48.44|46.88|51.56|47.66|50.00|48.44|50.00,0.548
cube,leflow_accept_tauown,50,8,42|43|44|45|46|47|48|49,31.15,1.13,30.47|29.69|26.56|32.03|28.91|37.50|32.03|32.03,0.599
cube,leflow_router_tauown,50,8,42|43|44|45|46|47|48|49,54.69,0.72,53.91|55.47|50.78|53.91|54.69|54.69|56.25|57.81,0.673
cube,mppi_router_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,27.93,0.66,29.69|28.12|29.69|27.34|24.22|29.69|27.34|27.34,0.585
cube,mppi_router_mp_tauown,50,8,42|43|44|45|46|47|48|49,26.56,0.84,25.78|27.34|25.00|29.69|22.66|25.00|28.12|28.91,0.663
cube,mppi_router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,29.30,0.89,31.25|28.12|30.47|32.81|28.12|25.78|26.56|31.25,0.577
cube,router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,49.90,0.71,48.44|51.56|47.66|49.22|50.00|48.44|53.91|50.00,0.564
cube,gcidm_router_tauown,75,8,42|43|44|45|46|47|48|49,63.87,0.64,65.62|62.50|61.72|62.50|63.28|64.06|64.06|67.19,0.551
cube,gcidm_surv_nogate_tauown,75,8,42|43|44|45|46|47|48|49,63.87,0.53,66.41|64.06|63.28|62.50|64.06|62.50|65.62|62.50,0.472
cube,gcrouter_off_s42_mp_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,64.26,0.48,63.28|65.62|64.84|66.41|64.84|63.28|62.50|63.28,0.477
cube,gcrouter_off_s42_mp_tauown,75,8,42|43|44|45|46|47|48|49,50.98,0.13,50.78|50.78|50.78|50.78|50.78|50.78|51.56|51.56,0.569
cube,gcrouter_off_s42_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,52.54,0.53,53.91|49.22|52.34|53.12|53.12|52.34|52.34|53.91,0.526
cube,gd_router_mp_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,45.41,0.79,46.09|45.31|48.44|46.09|43.75|41.41|47.66|44.53,0.523
cube,gd_router_mp_tauown,75,8,42|43|44|45|46|47|48|49,50.10,0.63,50.00|48.44|50.00|51.56|50.00|46.88|52.34|51.56,0.561
cube,gd_router_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,45.80,1.24,40.62|46.09|48.44|48.44|41.41|43.75|47.66|50.00,0.531
cube,icem_router_mp_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,44.14,0.85,41.41|42.97|42.19|46.09|45.31|42.19|48.44|44.53,0.521
cube,icem_router_mp_tauown,75,8,42|43|44|45|46|47|48|49,51.08,0.85,50.78|49.22|52.34|53.91|48.44|54.69|50.78|48.44,0.550
cube,icem_router_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,49.51,0.39,49.22|50.78|47.66|49.22|50.78|48.44|50.00|50.00,0.534
cube,leflow_accept_tauown,75,8,42|43|44|45|46|47|48|49,36.03,0.60,33.59|35.94|35.94|38.28|33.59|36.72|37.50|36.72,0.624
cube,leflow_router_tauown,75,8,42|43|44|45|46|47|48|49,41.02,0.75,41.41|41.41|44.53|39.84|39.84|40.62|42.97|37.50,0.667
cube,mppi_router_mp_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,28.51,1.19,22.66|32.81|32.03|27.34|31.25|28.12|26.56|27.34,0.576
cube,mppi_router_mp_tauown,75,8,42|43|44|45|46|47|48|49,29.10,0.99,26.56|33.59|27.34|27.34|30.47|32.81|27.34|27.34,0.614
cube,mppi_router_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,28.32,1.12,22.66|31.25|32.81|28.91|29.69|25.78|28.12|27.34,0.575
cube,router_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,48.44,0.90,53.12|46.88|50.00|48.44|48.44|46.88|44.53|49.22,0.531
cube,gcidm_router_tauown,100,8,42|43|44|45|46|47|48|49,75.00,0.26,74.22|75.78|74.22|75.00|75.00|75.78|75.78|74.22,0.504
cube,gcidm_surv_nogate_tauown,100,8,42|43|44|45|46|47|48|49,73.15,0.47,71.88|73.44|74.22|72.66|75.00|74.22|72.66|71.09,0.443
cube,gcrouter_off_s42_mp_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,71.48,0.81,70.31|68.75|73.44|69.53|73.44|69.53|75.00|71.88,0.466
cube,gcrouter_off_s42_mp_tauown,100,8,42|43|44|45|46|47|48|49,53.22,0.28,52.34|53.91|53.91|53.91|53.12|52.34|52.34|53.91,0.496
cube,gcrouter_off_s42_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,66.89,0.49,65.62|67.97|67.97|64.84|65.62|67.19|67.19|68.75,0.466
cube,gd_router_mp_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,35.55,0.69,36.72|33.59|36.72|34.38|33.59|37.50|33.59|38.28,0.496
cube,gd_router_mp_tauown,100,8,42|43|44|45|46|47|48|49,39.94,0.56,39.06|39.84|39.06|40.62|42.19|38.28|38.28|42.19,0.505
cube,gd_router_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,38.18,0.70,36.72|34.38|37.50|39.06|39.84|38.28|39.06|40.62,0.499
cube,icem_router_mp_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,33.79,0.82,35.16|32.03|30.47|36.72|33.59|31.25|35.16|35.94,0.472
cube,icem_router_mp_tauown,100,8,42|43|44|45|46|47|48|49,37.50,0.83,39.84|35.16|35.94|39.06|35.16|37.50|41.41|35.94,0.472
cube,icem_router_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,35.94,0.55,34.38|36.72|33.59|35.16|38.28|35.94|35.94|37.50,0.471
cube,leflow_accept_tauown,100,8,42|43|44|45|46|47|48|49,27.25,0.52,25.78|27.34|25.78|27.34|29.69|25.78|27.34|28.91,0.698
cube,leflow_router_tauown,100,8,42|43|44|45|46|47|48|49,25.29,0.44,26.56|24.22|25.00|25.78|26.56|24.22|26.56|23.44,0.747
cube,mppi_router_mp_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,22.17,0.75,22.66|19.53|22.66|25.00|25.00|21.09|19.53|21.88,0.542
cube,mppi_router_mp_tauown,100,8,42|43|44|45|46|47|48|49,21.39,1.28,21.88|19.53|22.66|28.12|21.09|23.44|17.97|16.41,0.583
cube,mppi_router_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,21.48,0.66,17.97|21.88|20.31|24.22|22.66|22.66|21.09|21.09,0.544
cube,router_rt0.10_tauown,100,8,42|43|44|45|46|47|48|49,40.63,0.95,36.72|36.72|43.75|41.41|42.97|41.41|42.19|39.84,0.489
cube,gcidm_router_tauown,150,8,42|43|44|45|46|47|48|49,48.73,0.97,48.44|52.34|51.56|46.88|43.75|50.00|47.66|49.22,0.533
cube,gcidm_surv_nogate_tauown,150,8,42|43|44|45|46|47|48|49,50.00,0.29,50.00|50.78|49.22|50.00|49.22|51.56|49.22|50.00,0.488
cube,gcrouter_off_s42_mp_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,49.80,0.80,53.12|50.00|51.56|47.66|52.34|48.44|47.66|47.66,0.485
cube,gcrouter_off_s42_mp_tauown,150,8,42|43|44|45|46|47|48|49,33.10,0.29,33.59|32.03|32.81|33.59|32.81|34.38|33.59|32.03,0.574
cube,gcrouter_off_s42_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,50.29,1.30,53.12|48.44|54.69|44.53|50.00|54.69|46.88|50.00,0.484
cube,gd_router_mp_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,26.95,0.79,26.56|25.00|25.78|26.56|28.12|25.78|25.78|32.03,0.492
cube,gd_router_mp_tauown,150,8,42|43|44|45|46|47|48|49,25.00,0.82,25.78|23.44|25.78|23.44|25.00|21.88|29.69|25.00,0.521
cube,gd_router_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,25.10,1.44,21.88|25.78|30.47|18.75|23.44|23.44|26.56|30.47,0.514
cube,icem_router_mp_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,27.93,0.86,28.91|29.69|32.81|25.78|25.78|26.56|27.34|26.56,0.479
cube,icem_router_mp_tauown,150,8,42|43|44|45|46|47|48|49,26.17,0.81,25.00|23.44|28.91|28.12|26.56|26.56|22.66|28.12,0.486
cube,icem_router_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,27.73,0.71,28.91|31.25|25.78|28.12|26.56|27.34|28.91|25.00,0.497
cube,leflow_accept_tauown,150,8,42|43|44|45|46|47|48|49,39.06,1.02,39.84|42.19|34.38|36.72|37.50|40.62|38.28|42.97,0.584
cube,leflow_router_tauown,150,8,42|43|44|45|46|47|48|49,39.55,0.88,40.62|41.41|41.41|39.06|34.38|41.41|40.62|37.50,0.635
cube,mppi_router_mp_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,14.06,0.98,14.84|13.28|9.38|12.50|18.75|13.28|14.06|16.41,0.558
cube,mppi_router_mp_tauown,150,8,42|43|44|45|46|47|48|49,13.77,1.06,14.84|17.97|11.72|14.06|10.94|10.16|12.50|17.97,0.601
cube,mppi_router_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,13.48,0.79,14.84|10.16|11.72|10.94|14.06|14.84|16.41|14.84,0.555
cube,router_rt0.10_tauown,150,8,42|43|44|45|46|47|48|49,26.66,1.49,30.47|19.53|25.00|24.22|24.22|28.91|32.81|28.12,0.512
pusht,gcidm_router_tauown,25,8,42|43|44|45|46|47|48|49,99.61,0.00,99.61|99.61|99.61|99.61|99.61|99.61|99.61|99.61,0.847
pusht,gcidm_surv_tauown,25,8,42|43|44|45|46|47|48|49,99.37,0.07,99.22|99.61|99.61|99.22|99.61|99.22|99.22|99.22,0.881
pusht,gcrouter_off_s42_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,99.37,0.10,98.83|99.22|99.22|99.61|99.22|99.61|99.61|99.61,0.869
pusht,gcrouter_off_s42_mp_tauown,25,8,42|43|44|45|46|47|48|49,99.56,0.14,99.61|99.61|100.00|99.22|100.00|99.61|98.83|99.61,0.872
pusht,gcrouter_off_s42_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,99.37,0.10,98.83|99.61|99.61|99.22|99.22|99.61|99.22|99.61,0.871
pusht,gd_router_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,99.12,0.23,98.44|99.61|98.83|98.44|100.00|100.00|98.83|98.83,0.807
pusht,gd_router_mp_tauown,25,8,42|43|44|45|46|47|48|49,98.83,0.22,99.22|98.44|98.05|98.83|98.05|99.61|99.61|98.83,0.869
pusht,gd_router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,99.03,0.13,98.83|99.61|99.22|98.44|99.22|98.83|98.83|99.22,0.836
pusht,icem_router_lat_tauown,25,8,42|43|44|45|46|47|48|49,98.88,0.12,98.44|98.83|99.22|98.44|98.83|99.22|99.22|98.83,0.826
pusht,icem_router_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,99.32,0.12,99.22|99.22|99.61|98.83|99.61|99.61|99.61|98.83,0.824
pusht,icem_router_mp_tauown,25,8,42|43|44|45|46|47|48|49,99.37,0.10,99.61|99.22|99.22|99.61|99.61|99.22|98.83|99.61,0.896
pusht,icem_router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,99.32,0.10,99.61|99.22|99.61|98.83|99.22|99.22|99.61|99.22,0.857
pusht,leflow_accept_tauown,25,8,42|43|44|45|46|47|48|49,61.82,0.50,63.28|61.72|62.11|59.77|63.28|62.89|61.72|59.77,0.987
pusht,leflow_router_tauown,25,8,42|43|44|45|46|47|48|49,73.98,0.33,72.27|75.00|74.22|75.00|74.22|73.05|73.83|74.22,0.990
pusht,mppi_router_mp_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,97.90,0.38,98.83|97.27|98.83|98.83|98.83|96.88|96.09|97.66,0.836
pusht,mppi_router_mp_tauown,25,8,42|43|44|45|46|47|48|49,97.12,0.38,97.66|97.66|98.83|96.09|95.31|96.88|96.88|97.66,0.871
pusht,mppi_router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,97.56,0.28,98.83|97.27|98.44|96.88|97.27|96.48|97.27|98.05,0.856
pusht,router_lat_tauown,25,8,42|43|44|45|46|47|48|49,98.98,0.23,98.83|99.61|99.61|98.44|99.22|99.22|97.66|99.22,0.774
pusht,router_rt0.10_tauown,25,8,42|43|44|45|46|47|48|49,99.07,0.13,99.61|98.83|99.22|99.22|99.22|98.44|98.83|99.22,0.830
pusht,gcidm_router_tauown,50,8,42|43|44|45|46|47|48|49,97.66,0.34,97.66|96.88|96.88|96.48|98.83|99.22|97.66|97.66,0.805
pusht,gcidm_surv_tauown,50,8,42|43|44|45|46|47|48|49,97.81,0.18,98.44|98.05|97.27|98.05|97.66|98.44|97.27|97.27,0.804
pusht,gcrouter_off_s42_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,95.75,0.34,96.48|96.88|94.92|94.14|94.92|96.09|96.09|96.48,0.758
pusht,gcrouter_off_s42_mp_tauown,50,8,42|43|44|45|46|47|48|49,96.58,0.45,98.83|97.27|96.88|95.31|94.53|96.48|96.88|96.48,0.747
pusht,gcrouter_off_s42_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,95.95,0.51,98.05|97.27|94.53|93.75|95.31|95.70|96.09|96.88,0.761
pusht,gd_router_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,96.19,0.38,94.92|94.92|96.09|96.09|96.09|98.05|97.27|96.09,0.616
pusht,gd_router_mp_tauown,50,8,42|43|44|45|46|47|48|49,95.99,0.19,96.48|96.48|95.70|95.70|94.92|96.09|96.09|96.48,0.619
pusht,gd_router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,96.49,0.38,97.66|96.88|96.88|94.92|97.66|96.09|94.92|96.88,0.613
pusht,icem_router_lat_tauown,50,8,42|43|44|45|46|47|48|49,94.68,0.34,94.92|95.31|93.36|95.31|94.92|95.31|92.97|95.31,0.649
pusht,icem_router_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,94.38,0.50,96.09|96.09|93.36|94.14|94.53|94.14|91.80|94.92,0.653
pusht,icem_router_mp_tauown,50,8,42|43|44|45|46|47|48|49,94.24,0.53,94.14|95.31|92.19|93.36|92.58|96.09|94.14|96.09,0.649
pusht,icem_router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,93.99,0.38,94.53|95.31|93.36|92.19|94.14|95.31|93.75|93.36,0.657
pusht,leflow_accept_tauown,50,8,42|43|44|45|46|47|48|49,26.27,0.67,27.34|25.00|25.78|26.95|23.44|25.00|29.69|26.95,0.975
pusht,leflow_router_tauown,50,8,42|43|44|45|46|47|48|49,26.85,0.54,26.17|26.56|28.52|26.17|28.12|23.83|27.34|28.12,0.975
pusht,mppi_router_mp_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,93.70,0.26,93.36|94.53|94.14|94.92|93.36|93.36|92.97|92.97,0.694
pusht,mppi_router_mp_tauown,50,8,42|43|44|45|46|47|48|49,93.36,0.57,91.80|91.80|96.09|92.19|94.53|92.58|94.92|92.97,0.694
pusht,mppi_router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,94.68,0.60,94.53|93.36|93.36|92.19|97.27|95.31|94.92|96.48,0.697
pusht,router_lat_tauown,50,8,42|43|44|45|46|47|48|49,96.73,0.32,95.31|96.88|95.70|97.27|97.66|97.66|97.27|96.09,0.596
pusht,router_rt0.10_tauown,50,8,42|43|44|45|46|47|48|49,96.14,0.36,94.92|96.88|94.92|96.48|96.88|97.66|95.31|96.09,0.599
pusht,gcidm_router_tauown,75,8,42|43|44|45|46|47|48|49,96.83,0.36,97.27|96.88|97.66|95.31|96.88|98.44|96.48|95.70,0.785
pusht,gcidm_surv_tauown,75,8,42|43|44|45|46|47|48|49,96.29,0.36,95.70|96.48|96.88|96.48|94.53|98.05|95.70|96.48,0.785
pusht,gcrouter_off_s42_mp_rt0.10_tauown,75,8,42|43|44|45|46|47|48|49,94.97,0.48,96.88|93.75|93.75|95.70|96.88|93.75|94.92|94.14,0.728
pusht,gcrouter_off_s42_mp_tauown,75,8,42|43|44|45|46|47|48|49,94.68,0.47,96.88|94.14|92.97|95.31|95.31|94.53|95.31|92.97,0.721
