env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,flat_rh5,175,8,42|43|44|45|46|47|48|49,1.66,0.27,0.78|0.78|2.34|2.34|1.56|2.34|0.78|2.34,
cube,flat_rh5,195,8,42|43|44|45|46|47|48|49,0.00,0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,
cube,flat_rh2,175,8,42|43|44|45|46|47|48|49,2.34,0.49,5.47|3.12|1.56|1.56|1.56|1.56|2.34|1.56,
cube,flat_rh2,195,8,42|43|44|45|46|47|48|49,0.20,0.13,0.78|0.00|0.00|0.00|0.00|0.00|0.00|0.78,
cube,ffjepa_s10k3,175,8,42|43|44|45|46|47|48|49,8.11,0.49,7.81|5.47|9.38|8.59|10.16|7.81|7.81|7.81,
cube,gd_ffjepa_s10k3,175,8,42|43|44|45|46|47|48|49,5.18,0.44,5.47|5.47|4.69|3.91|7.81|5.47|3.91|4.69,
cube,gd_flat_rh2,175,8,42|43|44|45|46|47|48|49,3.91,0.49,2.34|2.34|5.47|3.12|6.25|3.91|3.91|3.91,
cube,gd_flat_rh5,175,8,42|43|44|45|46|47|48|49,2.63,0.39,2.34|1.56|2.34|3.12|3.91|3.91|0.78|3.12,
cube,gd_router_tauown,175,8,42|43|44|45|46|47|48|49,7.42,0.55,3.91|7.81|7.03|8.59|7.03|7.81|8.59|8.59,0.489
cube,gd_surveyor_tauown,175,8,42|43|44|45|46|47|48|49,5.76,0.59,3.91|7.81|4.69|7.03|7.81|4.69|6.25|3.91,0.469
cube,icem_ffjepa_s10k3,175,8,42|43|44|45|46|47|48|49,11.62,0.91,9.38|15.62|14.06|10.16|9.38|8.59|13.28|12.50,
cube,icem_flat_rh2,175,8,42|43|44|45|46|47|48|49,1.66,0.23,1.56|2.34|2.34|1.56|0.78|2.34|1.56|0.78,
cube,icem_flat_rh5,175,8,42|43|44|45|46|47|48|49,2.73,0.26,3.91|2.34|3.12|1.56|2.34|2.34|3.12|3.12,
cube,icem_router_tauown,175,8,42|43|44|45|46|47|48|49,9.38,0.42,9.38|8.59|9.38|8.59|11.72|9.38|7.81|10.16,0.447
