env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gcrouter_off_s42_tau0.759,25,8,42|43|44|45|46|47|48|49,76.17,0.78,78.91|77.34|72.66|75.78|74.22|78.91|75.00|76.56,0.556
cube,gcrouter_off_s42_tau0.826,25,8,42|43|44|45|46|47|48|49,76.95,0.59,78.91|75.78|78.91|78.91|75.78|76.56|75.00|75.78,0.548
cube,gd_router_tau0.759,25,8,42|43|44|45|46|47|48|49,61.23,0.88,58.59|59.38|61.72|63.28|62.50|58.59|65.62|60.16,0.764
cube,gd_router_tau0.826,25,8,42|43|44|45|46|47|48|49,61.52,0.80,60.94|59.38|61.72|63.28|62.50|58.59|65.62|60.16,0.779
cube,icem_router_tau0.759,25,8,42|43|44|45|46|47|48|49,62.60,0.48,61.72|61.72|61.72|63.28|62.50|65.62|61.72|62.50,0.733
cube,icem_router_tau0.826,25,8,42|43|44|45|46|47|48|49,62.40,0.54,60.94|61.72|60.94|63.28|62.50|65.62|61.72|62.50,0.722
cube,mppi_router_tau0.759,25,8,42|43|44|45|46|47|48|49,41.89,1.05,47.66|38.28|40.62|39.06|40.62|43.75|42.97|42.19,0.773
cube,mppi_router_tau0.826,25,8,42|43|44|45|46|47|48|49,41.80,0.96,46.88|39.06|39.84|39.06|40.62|43.75|42.97|42.19,0.766
cube,router_tau0.759,25,8,42|43|44|45|46|47|48|49,66.41,0.68,66.41|66.41|63.28|64.84|67.97|67.19|69.53|65.62,0.763
cube,router_tau0.826,25,8,42|43|44|45|46|47|48|49,66.31,0.65,66.41|66.41|63.28|64.84|67.19|67.19|69.53|65.62,0.753
cube,gcrouter_off_s42_tau0.759,150,8,42|43|44|45|46|47|48|49,45.71,0.87,42.19|47.66|46.09|41.41|46.88|47.66|46.88|46.88,0.540
cube,gcrouter_off_s42_tau0.826,150,8,42|43|44|45|46|47|48|49,45.31,0.75,46.09|44.53|42.19|43.75|47.66|48.44|43.75|46.09,0.522
cube,gd_router_tau0.759,150,8,42|43|44|45|46|47|48|49,24.61,0.55,25.78|25.78|23.44|26.56|25.00|25.00|21.88|23.44,0.532
cube,gd_router_tau0.826,150,8,42|43|44|45|46|47|48|49,24.02,0.41,25.00|25.78|22.66|25.00|23.44|24.22|22.66|23.44,0.520
cube,icem_router_tau0.759,150,8,42|43|44|45|46|47|48|49,24.22,0.82,24.22|22.66|22.66|28.91|23.44|22.66|22.66|26.56,0.496
cube,icem_router_tau0.826,150,8,42|43|44|45|46|47|48|49,24.90,0.79,23.44|22.66|24.22|28.91|26.56|22.66|24.22|26.56,0.473
cube,mppi_router_tau0.759,150,8,42|43|44|45|46|47|48|49,15.04,0.81,16.41|14.84|11.72|14.84|14.84|14.84|13.28|19.53,0.576
cube,mppi_router_tau0.826,150,8,42|43|44|45|46|47|48|49,14.45,1.10,14.06|15.62|10.16|14.84|10.16|16.41|14.84|19.53,0.553
cube,router_tau0.759,150,8,42|43|44|45|46|47|48|49,26.27,0.72,23.44|25.00|27.34|25.00|29.69|26.56|25.00|28.12,0.535
cube,router_tau0.826,150,8,42|43|44|45|46|47|48|49,26.07,0.69,23.44|25.00|27.34|25.00|29.69|25.00|25.78|27.34,0.522
pusht,gcrouter_off_s42_tau0.207,25,8,42|43|44|45|46|47|48|49,99.85,0.10,100.00|100.00|100.00|99.22|99.61|100.00|100.00|100.00,0.858
pusht,gcrouter_off_s42_tau0.268,25,8,42|43|44|45|46|47|48|49,100.00,0.00,100.00|100.00|100.00|100.00|100.00|100.00|100.00|100.00,0.821
pusht,gd_router_tau0.207,25,8,42|43|44|45|46|47|48|49,99.17,0.17,99.22|98.83|99.22|98.44|100.00|98.83|99.61|99.22,0.911
