env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gd_oracle_s10,25,8,42|43|44|45|46|47|48|49,55.08,0.57,53.91|56.25|57.03|54.69|53.12|55.47|53.12|57.03,
cube,icem_oracle_s10,25,8,42|43|44|45|46|47|48|49,46.68,0.20,46.88|46.88|46.09|46.88|46.09|46.88|47.66|46.09,
cube,mppi_oracle_s10,25,8,42|43|44|45|46|47|48|49,37.99,0.88,42.19|37.50|35.16|38.28|34.38|39.84|37.50|39.06,
cube,oracle_s10,25,8,42|43|44|45|46|47|48|49,53.32,0.44,55.47|53.91|52.34|53.12|53.91|53.91|52.34|51.56,
cube,gd_oracle_s10,50,8,42|43|44|45|46|47|48|49,56.25,0.79,58.59|56.25|58.59|57.03|55.47|52.34|53.91|57.81,
cube,gd_voracle_s10,50,8,42|43|44|45|46|47|48|49,35.94,0.90,35.16|36.72|33.59|36.72|41.41|34.38|33.59|35.94,
cube,icem_oracle_s10,50,8,42|43|44|45|46|47|48|49,54.59,0.38,54.69|54.69|54.69|56.25|55.47|53.12|54.69|53.12,
cube,icem_voracle_s10,50,8,42|43|44|45|46|47|48|49,33.99,0.39,34.38|33.59|34.38|35.16|32.81|32.03|34.38|35.16,
cube,mppi_oracle_s10,50,8,42|43|44|45|46|47|48|49,24.12,0.96,25.78|18.75|23.44|25.00|21.88|25.78|25.00|27.34,
cube,mppi_voracle_s10,50,8,42|43|44|45|46|47|48|49,22.37,0.63,22.66|21.88|24.22|24.22|21.88|23.44|18.75|21.88,
cube,oracle_s10,50,8,42|43|44|45|46|47|48|49,64.16,1.10,60.16|61.72|63.28|60.94|68.75|67.19|65.62|65.62,
cube,voracle_s10,50,8,42|43|44|45|46|47|48|49,41.31,0.76,39.06|39.84|40.62|40.62|43.75|45.31|39.84|41.41,
cube,gd_oracle_s10,75,8,42|43|44|45|46|47|48|49,34.38,0.66,33.59|35.16|35.94|34.38|30.47|36.72|34.38|34.38,
