env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
cube,gcrouter_off_s42_tau0.967,25,8,42|43|44|45|46|47|48|49,76.17,0.39,76.56|77.34|77.34|76.56|75.78|75.00|76.56|74.22,0.556
cube,gcsurv_off_s42_nogate_tau0.967,25,8,42|43|44|45|46|47|48|49,82.52,0.53,83.59|81.25|84.38|82.03|82.81|79.69|82.81|83.59,0.448
cube,gd_router_tau0.967,25,8,42|43|44|45|46|47|48|49,61.62,0.83,60.94|59.38|61.72|63.28|63.28|58.59|65.62|60.16,0.766
cube,gd_surveyor_tau0.967,25,8,42|43|44|45|46|47|48|49,55.27,1.61,57.03|52.34|50.78|60.16|62.50|51.56|57.03|50.78,0.518
cube,icem_router_tau0.967,25,8,42|43|44|45|46|47|48|49,62.70,0.55,60.94|63.28|60.94|63.28|63.28|65.62|61.72|62.50,0.700
cube,icem_surveyor_tau0.967,25,8,42|43|44|45|46|47|48|49,68.36,0.36,67.19|68.75|70.31|68.75|67.97|67.97|68.75|67.19,0.493
cube,mppi_router_tau0.967,25,8,42|43|44|45|46|47|48|49,42.28,1.00,46.88|39.06|39.84|39.06|43.75|44.53|42.97|42.19,0.750
cube,mppi_surveyor_tau0.967,25,8,42|43|44|45|46|47|48|49,32.42,1.31,32.03|28.91|29.69|39.06|32.03|35.94|33.59|28.12,0.548
cube,router_tau0.967,25,8,42|43|44|45|46|47|48|49,66.11,0.64,66.41|65.62|63.28|64.84|67.19|66.41|69.53|65.62,0.748
cube,surveyor_tau0.967,25,8,42|43|44|45|46|47|48|49,66.41,1.28,60.94|65.62|67.19|67.19|63.28|66.41|73.44|67.19,0.505
cube,gcrouter_off_s42_tau0.967,150,8,42|43|44|45|46|47|48|49,45.41,1.19,46.09|46.88|46.09|38.28|46.09|42.97|48.44|48.44,0.512
cube,gcsurv_off_s42_nogate_tau0.967,150,8,42|43|44|45|46|47|48|49,49.90,1.04,51.56|51.56|50.00|52.34|50.78|45.31|52.34|45.31,0.446
cube,gd_router_tau0.967,150,8,42|43|44|45|46|47|48|49,22.95,0.98,20.31|25.00|19.53|23.44|19.53|25.00|26.56|24.22,0.483
cube,gd_surveyor_tau0.967,150,8,42|43|44|45|46|47|48|49,26.37,0.72,26.56|29.69|25.00|24.22|24.22|25.78|26.56|28.91,0.426
cube,icem_router_tau0.967,150,8,42|43|44|45|46|47|48|49,24.80,0.51,25.78|22.66|23.44|25.78|25.78|23.44|25.00|26.56,0.452
cube,icem_surveyor_tau0.967,150,8,42|43|44|45|46|47|48|49,28.81,0.90,27.34|34.38|28.12|28.91|28.91|29.69|27.34|25.78,0.416
cube,mppi_router_tau0.967,150,8,42|43|44|45|46|47|48|49,15.14,1.23,17.19|15.62|17.97|10.94|10.16|15.62|13.28|20.31,0.506
cube,mppi_surveyor_tau0.967,150,8,42|43|44|45|46|47|48|49,15.53,0.73,17.97|12.50|14.06|13.28|16.41|16.41|15.62|17.97,0.450
cube,router_tau0.967,150,8,42|43|44|45|46|47|48|49,25.10,0.34,23.44|24.22|25.00|26.56|25.00|25.00|25.78|25.78,0.494
cube,surveyor_tau0.967,150,8,42|43|44|45|46|47|48|49,27.34,1.46,29.69|21.09|32.81|28.91|21.88|28.12|25.78|30.47,0.428
